Symbol,Company Name,Industry,Index
360ONE,360 ONE WAM Ltd.,Financial Services,NIFTY500
3MINDIA,3M India Ltd.,Diversified,NIFTY500
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,NIFTY500
AARTIIND,Aarti Industries Ltd.,Chemicals,NIFTY500
AAVAS,Aavas Financiers Ltd.,Financial Services,NIFTY500
ABB,ABB India Ltd.,Capital Goods,NIFTY500
ABBOTINDIA,Abbott India Ltd.,Healthcare,NIFTY500
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,NIFTY500
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,NIFTY500
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,NIFTY500
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,NIFTY500
ABREL,Aditya Birla Real Estate Ltd.,Realty,NIFTY500
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,NIFTY500
ACC,ACC Ltd.,Construction Materials,NIFTY500
ACE,Action Construction Equipment Ltd.,Capital Goods,NIFTY500
ACMESOLAR,ACME Solar Holdings Ltd.,Power,NIFTY500
ACUTAAS,Acutaas Chemicals Ltd.,Healthcare,NIFTY500
ADANIENSOL,Adani Energy Solutions Ltd.,Power,NIFTY500
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,NIFTY500
ADANIGREEN,Adani Green Energy Ltd.,Power,NIFTY500
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,NIFTY500
ADANIPOWER,Adani Power Ltd.,Power,NIFTY500
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,NIFTY500
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,NIFTY500
AFCONS,Afcons Infrastructure Ltd.,Construction,NIFTY500
AFFLE,Affle 3i Ltd.,Information Technology,NIFTY500
AIAENG,AIA Engineering Ltd.,Capital Goods,NIFTY500
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,NIFTY500
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,NIFTY500
ALKEM,Alkem Laboratories Ltd.,Healthcare,NIFTY500
AMBER,Amber Enterprises India Ltd.,Consumer Durables,NIFTY500
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials,NIFTY500
ANANDRATHI,Anand Rathi Wealth Ltd.,Financial Services,NIFTY500
ANANTRAJ,Anant Raj Ltd.,Realty,NIFTY500
ANGELONE,Angel One Ltd.,Financial Services,NIFTY500
ANTHEM,Anthem Biosciences Ltd.,Healthcare,NIFTY500
ANURAS,Anupam Rasayan India Ltd.,Chemicals,NIFTY500
APARINDS,Apar Industries Ltd.,Capital Goods,NIFTY500
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,NIFTY500
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY500
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,NIFTY500
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,NIFTY500
ARE&M,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,NIFTY500
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,NIFTY500
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,NIFTY500
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,NIFTY500
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,NIFTY500
ASTRAL,Astral Ltd.,Capital Goods,NIFTY500
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY500
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,NIFTY500
ATUL,Atul Ltd.,Chemicals,NIFTY500
AUBANK,AU Small Finance Bank Ltd.,Financial Services,NIFTY500
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,NIFTY500
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,NIFTY500
AXISBANK,Axis Bank Ltd.,Financial Services,NIFTY500
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,NIFTY500
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,NIFTY500
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,NIFTY500
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,NIFTY500
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,NIFTY500
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,NIFTY500
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,NIFTY500
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,NIFTY500
BANKBARODA,Bank of Baroda,Financial Services,NIFTY500
BANKINDIA,Bank of India,Financial Services,NIFTY500
BATAINDIA,Bata India Ltd.,Consumer Durables,NIFTY500
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,NIFTY500
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,NIFTY500
BDL,Bharat Dynamics Ltd.,Capital Goods,NIFTY500
BEL,Bharat Electronics Ltd.,Capital Goods,NIFTY500
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,NIFTY500
BEML,BEML Ltd.,Capital Goods,NIFTY500
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,NIFTY500
