date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2021-08-23,2021-08-24,NIFTY200,ATGL,4,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,7,5
2021-08-23,2021-08-24,NIFTY500,ATGL,9,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,7,5
2021-08-23,2021-08-24,NIFTY500,GMMPFAUDLR,266,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,5,5
2021-09-21,2021-09-22,NIFTY200,ATGL,4,LOWER_CIRCUIT_FILTER,2020-09-16,2021-09-21,7,5
2021-09-21,2021-09-22,NIFTY500,ATGL,17,LOWER_CIRCUIT_FILTER,2020-09-16,2021-09-21,7,5
2021-09-21,2021-09-22,NIFTY500,GMMPFAUDLR,257,LOWER_CIRCUIT_FILTER,2020-09-16,2021-09-21,5,5
2021-10-21,2021-10-22,NIFTY200,ATGL,3,LOWER_CIRCUIT_FILTER,2020-10-16,2021-10-21,7,5
2021-10-21,2021-10-22,NIFTY500,ATGL,7,LOWER_CIRCUIT_FILTER,2020-10-16,2021-10-21,7,5
2021-11-22,2021-11-23,NIFTY200,ATGL,2,LOWER_CIRCUIT_FILTER,2020-11-13,2021-11-22,7,5
2021-11-22,2021-11-23,NIFTY500,ATGL,3,LOWER_CIRCUIT_FILTER,2020-11-13,2021-11-22,7,5
2021-12-21,2021-12-22,NIFTY200,ATGL,5,LOWER_CIRCUIT_FILTER,2020-12-15,2021-12-21,7,5
2021-12-21,2021-12-22,NIFTY500,ATGL,16,LOWER_CIRCUIT_FILTER,2020-12-15,2021-12-21,7,5
2022-01-21,2022-01-24,NIFTY200,ATGL,3,LOWER_CIRCUIT_FILTER,2021-01-18,2022-01-21,7,5
2022-01-21,2022-01-24,NIFTY500,ATGL,14,LOWER_CIRCUIT_FILTER,2021-01-18,2022-01-21,7,5
2022-02-21,2022-02-22,NIFTY200,ATGL,33,LOWER_CIRCUIT_FILTER,2021-02-16,2022-02-21,7,5
2022-02-21,2022-02-22,NIFTY500,ATGL,62,LOWER_CIRCUIT_FILTER,2021-02-16,2022-02-21,7,5
2022-03-21,2022-03-22,NIFTY200,ATGL,33,LOWER_CIRCUIT_FILTER,2021-03-15,2022-03-21,7,5
2022-03-21,2022-03-22,NIFTY500,ATGL,75,LOWER_CIRCUIT_FILTER,2021-03-15,2022-03-21,7,5
2022-04-21,2022-04-22,NIFTY200,ATGL,4,LOWER_CIRCUIT_FILTER,2021-04-16,2022-04-21,7,5
2022-04-21,2022-04-22,NIFTY500,ATGL,5,LOWER_CIRCUIT_FILTER,2021-04-16,2022-04-21,7,5
2022-05-23,2022-05-24,NIFTY200,ATGL,4,LOWER_CIRCUIT_FILTER,2021-05-19,2022-05-23,7,5
2022-05-23,2022-05-24,NIFTY500,ATGL,6,LOWER_CIRCUIT_FILTER,2021-05-19,2022-05-23,7,5
2022-06-21,2022-06-22,NIFTY200,ATGL,11,LOWER_CIRCUIT_FILTER,2021-06-17,2022-06-21,7,5
2022-06-21,2022-06-22,NIFTY500,ATGL,21,LOWER_CIRCUIT_FILTER,2021-06-17,2022-06-21,7,5
2023-01-23,2023-01-24,NIFTY500,KOHINOOR,8,LOWER_CIRCUIT_FILTER,2022-01-19,2023-01-23,11,5
2023-02-21,2023-02-22,NIFTY200,ATGL,171,LOWER_CIRCUIT_FILTER,2022-02-17,2023-02-21,6,5
2023-02-21,2023-02-22,NIFTY500,KOHINOOR,248,LOWER_CIRCUIT_FILTER,2022-02-17,2023-02-21,11,5
2023-02-21,2023-02-22,NIFTY500,ATGL,325,LOWER_CIRCUIT_FILTER,2022-02-17,2023-02-21,6,5
2023-03-21,2023-03-22,NIFTY100,ADANIENSOL,88,LOWER_CIRCUIT_FILTER,2022-03-17,2023-03-21,5,5
2023-03-21,2023-03-22,NIFTY200,ADANIENSOL,169,LOWER_CIRCUIT_FILTER,2022-03-17,2023-03-21,5,5
2023-03-21,2023-03-22,NIFTY200,ATGL,170,LOWER_CIRCUIT_FILTER,2022-03-17,2023-03-21,7,5
2023-03-21,2023-03-22,NIFTY500,ADANIENSOL,318,LOWER_CIRCUIT_FILTER,2022-03-17,2023-03-21,5,5
2023-03-21,2023-03-22,NIFTY500,ATGL,319,LOWER_CIRCUIT_FILTER,2022-03-17,2023-03-21,7,5
2023-04-21,2023-04-24,NIFTY100,ADANIENSOL,90,LOWER_CIRCUIT_FILTER,2022-04-18,2023-04-21,5,5
2023-04-21,2023-04-24,NIFTY200,ADANIENSOL,174,LOWER_CIRCUIT_FILTER,2022-04-18,2023-04-21,5,5
2023-04-21,2023-04-24,NIFTY200,ATGL,175,LOWER_CIRCUIT_FILTER,2022-04-18,2023-04-21,7,5
2023-04-21,2023-04-24,NIFTY500,ADANIENSOL,324,LOWER_CIRCUIT_FILTER,2022-04-18,2023-04-21,5,5
2023-04-21,2023-04-24,NIFTY500,ATGL,325,LOWER_CIRCUIT_FILTER,2022-04-18,2023-04-21,7,5
2023-05-22,2023-05-23,NIFTY100,ADANIENSOL,92,LOWER_CIRCUIT_FILTER,2022-05-17,2023-05-22,5,5
2023-05-22,2023-05-23,NIFTY200,ADANIENSOL,173,LOWER_CIRCUIT_FILTER,2022-05-17,2023-05-22,5,5
2023-05-22,2023-05-23,NIFTY200,ATGL,174,LOWER_CIRCUIT_FILTER,2022-05-17,2023-05-22,7,5
2023-05-22,2023-05-23,NIFTY500,ADANIENSOL,328,LOWER_CIRCUIT_FILTER,2022-05-17,2023-05-22,5,5
2023-05-22,2023-05-23,NIFTY500,ATGL,329,LOWER_CIRCUIT_FILTER,2022-05-17,2023-05-22,7,5
2023-06-21,2023-06-22,NIFTY100,ADANIENSOL,93,LOWER_CIRCUIT_FILTER,2022-06-16,2023-06-21,5,5
2023-06-21,2023-06-22,NIFTY200,ADANIENSOL,179,LOWER_CIRCUIT_FILTER,2022-06-16,2023-06-21,5,5
2023-06-21,2023-06-22,NIFTY200,ATGL,180,LOWER_CIRCUIT_FILTER,2022-06-16,2023-06-21,7,5
2023-06-21,2023-06-22,NIFTY500,ADANIENSOL,346,LOWER_CIRCUIT_FILTER,2022-06-16,2023-06-21,5,5
2023-06-21,2023-06-22,NIFTY500,ATGL,347,LOWER_CIRCUIT_FILTER,2022-06-16,2023-06-21,7,5
2023-07-21,2023-07-24,NIFTY100,ADANIENSOL,92,LOWER_CIRCUIT_FILTER,2022-07-15,2023-07-21,5,5
2023-07-21,2023-07-24,NIFTY200,ADANIENSOL,175,LOWER_CIRCUIT_FILTER,2022-07-15,2023-07-21,5,5
2023-07-21,2023-07-24,NIFTY200,ATGL,176,LOWER_CIRCUIT_FILTER,2022-07-15,2023-07-21,7,5
2023-07-21,2023-07-24,NIFTY500,ADANIENSOL,350,LOWER_CIRCUIT_FILTER,2022-07-15,2023-07-21,5,5
2023-07-21,2023-07-24,NIFTY500,ATGL,351,LOWER_CIRCUIT_FILTER,2022-07-15,2023-07-21,7,5
2023-08-21,2023-08-22,NIFTY100,ADANIENSOL,93,LOWER_CIRCUIT_FILTER,2022-08-16,2023-08-21,5,5
2023-08-21,2023-08-22,NIFTY200,ADANIENSOL,181,LOWER_CIRCUIT_FILTER,2022-08-16,2023-08-21,5,5
2023-08-21,2023-08-22,NIFTY200,ATGL,182,LOWER_CIRCUIT_FILTER,2022-08-16,2023-08-21,7,5
2023-08-21,2023-08-22,NIFTY500,ADANIENSOL,360,LOWER_CIRCUIT_FILTER,2022-08-16,2023-08-21,5,5
2023-08-21,2023-08-22,NIFTY500,ATGL,362,LOWER_CIRCUIT_FILTER,2022-08-16,2023-08-21,7,5
2023-09-21,2023-09-22,NIFTY100,ADANIENSOL,93,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,5,5
2023-09-21,2023-09-22,NIFTY200,ATGL,183,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,7,5
2023-09-21,2023-09-22,NIFTY200,ADANIENSOL,184,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,5,5
2023-09-21,2023-09-22,NIFTY500,ATGL,363,LOWER_CIRCUIT_FILTER,2022-09-16,2023-09-21,7,5
