date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2021-08-10,NIFTY50,0.0,699169.6418000001,0.0,699169.6418000001,"ABREL,JSWSTEEL,BAJAJFINSV",2021-08,2021
2021-08-10,NIFTY100,0.0,1198576.5288,0.0,1198576.5288,"ADANIENT,BASF,ARVIND",2021-08,2021
2021-08-10,NIFTY200,0.0,599288.2644,0.0,599288.2644,"PRAJIND,DEEPAKFERT,DALMIASUG,JSL,COFORGE",2021-08,2021
2021-08-10,NIFTY500,0.0,499406.887,0.0,499406.887,"ELECON,FLUOROCHEM,POONAWALLA,RSWM,GOKEX",2021-08,2021
2021-08-11,NIFTY50,0.0,694046.3408489571,0.0,694046.3408489571,"ABREL,JSWSTEEL,BAJAJFINSV",2021-08,2021
2021-08-11,NIFTY100,0.0,1202211.725517541,0.0,1202211.725517541,"ADANIENT,BASF,ARVIND",2021-08,2021
2021-08-11,NIFTY200,0.0,564540.0745011444,0.0,564540.0745011444,"PRAJIND,DEEPAKFERT,DALMIASUG,JSL,COFORGE",2021-08,2021
2021-08-11,NIFTY500,0.0,475788.49631094263,0.0,475788.49631094263,"ELECON,FLUOROCHEM,POONAWALLA,RSWM,GOKEX",2021-08,2021
2021-08-12,NIFTY50,0.0,696255.5617945024,0.0,696255.5617945024,"ABREL,JSWSTEEL,BAJAJFINSV",2021-08,2021
2021-08-12,NIFTY100,0.0,1211140.4761910453,0.0,1211140.4761910453,"ADANIENT,BASF,ARVIND",2021-08,2021
2021-08-12,NIFTY200,0.0,583685.5570048109,0.0,583685.5570048109,"PRAJIND,DEEPAKFERT,DALMIASUG,JSL,COFORGE",2021-08,2021
2021-08-12,NIFTY500,0.0,487769.62550779956,0.0,487769.62550779956,"ELECON,FLUOROCHEM,POONAWALLA,RSWM,GOKEX",2021-08,2021
2021-08-13,NIFTY50,0.0,702909.0508807782,0.0,702909.0508807782,"ABREL,JSWSTEEL,BAJAJFINSV",2021-08,2021
2021-08-13,NIFTY100,0.0,1191319.822360212,0.0,1191319.822360212,"ADANIENT,BASF,ARVIND",2021-08,2021
2021-08-13,NIFTY200,0.0,581663.3576959439,0.0,581663.3576959439,"PRAJIND,DEEPAKFERT,DALMIASUG,JSL,COFORGE",2021-08,2021
2021-08-13,NIFTY500,0.0,490884.7834675145,0.0,490884.7834675145,"ELECON,FLUOROCHEM,POONAWALLA,RSWM,GOKEX",2021-08,2021
2021-08-16,NIFTY50,0.0,718633.7936396434,0.0,718633.7936396434,"ABREL,JSWSTEEL,BAJAJFINSV",2021-08,2021
