universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY100,ABB,2321290.720363406,2.0,14.5,22.0,-188865.8206496344,1.0,1.0,4965.541627093968,0.0,0.0,0.0,0.0,2321290.720363406,-188865.8206496344,-0.08136241574259463
NIFTY100,ADANIENSOL,801633.2931511353,2.0,74.5,81.0,86792.40198187996,2.0,0.0,1872.4830085248943,1905617.5616610255,2475989.4433368137,570371.8816757882,109.0,2707250.854812161,657164.2836576682,0.24274229426857624
NIFTY100,ADANIENT,1192078.6323926128,3.0,57.666666666666664,112.0,242596.56744185736,2.0,1.0,2902.264512422178,0.0,0.0,0.0,0.0,1192078.6323926128,242596.56744185736,0.20350718555783814
NIFTY100,APARINDS,1073913.36576473,2.0,153.0,181.0,674433.5559233037,2.0,0.0,3087.4657533775608,1731024.4754406502,2186190.8644555495,455166.38901489927,77.0,2804937.84120538,1129599.9449382029,0.402718352023364
NIFTY100,APOLLOHOSP,744811.0238897039,2.0,4.0,6.0,-20087.02480053634,1.0,1.0,1635.2710422887335,0.0,0.0,0.0,0.0,744811.0238897039,-20087.02480053634,-0.026969290405549833
NIFTY100,ARVIND,2423592.346672802,4.0,34.75,80.0,259080.20083090803,2.0,2.0,5657.666844311294,1731024.4754406502,1972071.825970113,241047.3505294628,77.0,4154616.8221134525,500127.5513603708,0.1203787431607125
NIFTY100,BALRAMCHIN,2203070.8443874037,2.0,11.0,16.0,-9827.878899846866,1.0,1.0,4888.392769528367,0.0,0.0,0.0,0.0,2203070.8443874037,-9827.878899846866,-0.004460990859592467
NIFTY100,BANKBARODA,983945.222602213,2.0,24.0,34.0,87154.54189700104,2.0,0.0,2278.234131916848,0.0,0.0,0.0,0.0,983945.222602213,87154.54189700104,0.0885766198107104
NIFTY100,BANKINDIA,1217055.6563570332,2.0,20.5,34.0,17071.2181786492,1.0,1.0,2723.863953709508,0.0,0.0,0.0,0.0,1217055.6563570332,17071.2181786492,0.014026653661631083
NIFTY100,BASF,1086131.9711003706,2.0,48.0,67.0,56508.36909111723,1.0,1.0,2473.659811829043,0.0,0.0,0.0,0.0,1086131.9711003706,56508.36909111723,0.05202716667466115
NIFTY100,BHARTIARTL,1284436.6949757137,1.0,21.0,21.0,-13823.639122410212,0.0,1.0,2841.6402415467255,0.0,0.0,0.0,0.0,1284436.6949757137,-13823.639122410212,-0.010762413730846883
NIFTY100,CANBK,1790800.0582172873,1.0,64.0,64.0,102742.12955674925,1.0,0.0,4088.466564031534,0.0,0.0,0.0,0.0,1790800.0582172873,102742.12955674925,0.057372194670926795
NIFTY100,DMART,358850.88944094896,1.0,3.0,3.0,-8971.747466060275,0.0,1.0,788.6081963913139,0.0,0.0,0.0,0.0,358850.88944094896,-8971.747466060275,-0.02500132431059957
NIFTY100,GOLDBEES,20524866.833773628,6.0,119.16666666666667,238.0,1781952.7096522057,5.0,1.0,47486.01418566053,0.0,0.0,0.0,0.0,20524866.833773628,1781952.7096522057,0.08681920930760954
NIFTY100,HDFCAMC,1432554.7813070086,1.0,13.0,13.0,5672.468708845554,1.0,0.0,3191.2081174166524,0.0,0.0,0.0,0.0,1432554.7813070086,5672.468708845554,0.003959687114841227
NIFTY100,HINDZINC,2899499.891182511,2.0,47.0,89.0,-295803.6929131006,1.0,1.0,6140.278510791857,0.0,0.0,0.0,0.0,2899499.891182511,-295803.6929131006,-0.10201886670616916
NIFTY100,IDFCFIRSTB,628327.7013422354,1.0,39.0,39.0,39174.94318800338,1.0,0.0,1437.7397351842174,0.0,0.0,0.0,0.0,628327.7013422354,39174.94318800338,0.062347948537550955
NIFTY100,INDIGO,2739581.853087828,2.0,19.0,25.0,-54723.22329837689,0.0,2.0,6034.769437622648,0.0,0.0,0.0,0.0,2739581.853087828,-54723.22329837689,-0.019975027662231533
NIFTY100,IOC,1310838.7178758164,1.0,74.0,74.0,-112806.32539399876,0.0,1.0,2797.671021712215,0.0,0.0,0.0,0.0,1310838.7178758164,-112806.32539399876,-0.08605660166705999
NIFTY100,LUPIN,667502.6445302388,1.0,69.0,69.0,28420.718742004945,1.0,0.0,1513.6909078507947,0.0,0.0,0.0,0.0,667502.6445302388,28420.718742004945,0.042577687107151894
NIFTY100,MUTHOOTFIN,3421417.171924634,2.0,56.5,99.0,78080.68594179349,1.0,1.0,7688.606207196494,0.0,0.0,0.0,0.0,3421417.171924634,78080.68594179349,0.022821153346194004
NIFTY100,NH,1544742.7165094335,1.0,125.0,125.0,124106.02003239887,1.0,0.0,3563.5122335313763,0.0,0.0,0.0,0.0,1544742.7165094335,124106.02003239887,0.08034089994794352
NIFTY100,NYKAA,1876674.4554152004,1.0,14.0,14.0,-85874.39719791315,0.0,1.0,4083.758505510861,0.0,0.0,0.0,0.0,1876674.4554152004,-85874.39719791315,-0.04575881392221224
NIFTY100,OFSS,2281137.2868695315,2.0,80.5,126.0,68591.94808208523,1.0,1.0,5143.320558060055,0.0,0.0,0.0,0.0,2281137.2868695315,68591.94808208523,0.03006918894224726
NIFTY100,PAYTM,3203305.907582356,2.0,60.5,94.0,-62186.29031906347,0.0,2.0,7058.130890857001,0.0,0.0,0.0,0.0,3203305.907582356,-62186.29031906347,-0.01941316006437786
NIFTY100,PFC,2798458.2114425614,3.0,96.0,181.0,457845.05985816475,1.0,2.0,6697.370133136252,0.0,0.0,0.0,0.0,2798458.2114425614,457845.05985816475,0.1636061807126835
NIFTY100,RECLTD,2144286.088738211,2.0,85.0,142.0,305975.306669182,2.0,0.0,5085.266207027595,0.0,0.0,0.0,0.0,2144286.088738211,305975.306669182,0.14269332262899254
NIFTY100,SBICARD,1544742.7165094335,1.0,93.0,93.0,49753.79025128018,1.0,0.0,3486.3866002877735,0.0,0.0,0.0,0.0,1544742.7165094335,49753.79025128018,0.03220846405005616
NIFTY100,SHRIRAMFIN,1905617.5616610255,1.0,9.0,9.0,-156252.2674331169,0.0,1.0,4075.111253588726,0.0,0.0,0.0,0.0,1905617.5616610255,-156252.2674331169,-0.08199560634659565
NIFTY100,TRENT,1105559.5892553239,1.0,169.0,169.0,710936.1840089536,1.0,0.0,3195.6961900681677,0.0,0.0,0.0,0.0,1105559.5892553239,710936.1840089536,0.6430555086477263
NIFTY200,ABCAPITAL,491528.1657852146,2.0,70.0,127.0,60283.12743750715,2.0,0.0,1155.457829014093,0.0,0.0,0.0,0.0,491528.1657852146,60283.12743750715,0.12264429921570223
NIFTY200,ADANIPOWER,368949.85717644973,2.0,118.0,141.0,31040.51983258703,2.0,0.0,852.5682825979152,0.0,0.0,0.0,0.0,368949.85717644973,31040.51983258703,0.08413208252779442
NIFTY200,AJANTPHARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244673.46129264613,236369.31677033575,-8304.14452231038,16.0,244673.46129264613,-8304.14452231038,-0.0339397026487399
NIFTY200,ARVIND,215375.42356725773,1.0,34.0,34.0,-4690.905176672997,0.0,1.0,474.027163133498,0.0,0.0,0.0,0.0,215375.42356725773,-4690.905176672997,-0.02178013210132174
NIFTY200,ASHOKLEY,229878.9969316054,1.0,5.0,5.0,9020.609740107117,1.0,0.0,520.4992148019991,0.0,0.0,0.0,0.0,229878.9969316054,9020.609740107117,0.039240686885331104
NIFTY200,ATGL,237459.88195130083,2.0,70.5,78.0,13301.359694290382,2.0,0.0,541.7959420899499,0.0,0.0,0.0,0.0,237459.88195130083,13301.359694290382,0.05601518700753955
NIFTY200,BEL,215375.42356725773,1.0,97.0,97.0,18695.55276045759,1.0,0.0,498.28595648826195,0.0,0.0,0.0,0.0,215375.42356725773,18695.55276045759,0.08680448516735856
NIFTY200,BHEL,207869.98643566697,1.0,146.0,146.0,102076.08116405638,1.0,0.0,568.0881106267913,244673.46129264613,243586.31785344463,-1087.1434392014926,16.0,452543.4477283131,100988.93772485488,0.2231585458408496
NIFTY200,CHAMBLFERT,244468.88146030912,1.0,35.0,35.0,-33058.05515283247,0.0,1.0,509.2919791561326,0.0,0.0,0.0,0.0,244468.88146030912,-33058.05515283247,-0.13522398006389877
NIFTY200,CHENNPETRO,543579.2995806739,3.0,49.0,62.0,-18901.028139584814,1.0,2.0,1189.0571299310732,0.0,0.0,0.0,0.0,543579.2995806739,-18901.028139584814,-0.03477142737805759
NIFTY200,COFORGE,120000.0,1.0,58.0,58.0,15244.936488124687,1.0,0.0,282.63681138308664,0.0,0.0,0.0,0.0,120000.0,15244.936488124687,0.12704113740103906
NIFTY200,COROMANDEL,244468.88146030912,1.0,74.0,74.0,9236.24315271515,1.0,0.0,553.1638919287816,0.0,0.0,0.0,0.0,244468.88146030912,9236.24315271515,0.03778085414202177
