decision_date,exit_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,exit_price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,sell_transaction_cost,net_value,realized_pnl,entry_price,buy_transaction_cost,invested_amount,total_transaction_cost,net_realized_pnl,holding_days,proceeds,gross_realized_pnl,return_pct,sell_reason
2021-08-17,2021-08-18,NIFTY100,SELL,ARVIND,RANK_EXIT,2021-08-10,4,19.0,0.5077406029031956,94.05000305175781,4114.577918417586,386976.0657838693,400000.0,0.0,386.97606578386933,11.493189153780918,0.3869760657838693,2.1384297395216616,0.0,400.9946607429558,386575.07112312637,-13424.92887687363,97.0999984741211,474.49039999999997,400000.0,875.4850607429557,-13424.92887687363,8,386976.0657838693,-13023.9342161307,-0.03356232219218407,RANK_EXIT
2021-08-20,2021-08-23,NIFTY50,SELL,JSWSTEEL,RANK_EXIT,2021-08-10,2,5.0,0.7039508821587788,654.0103759765625,325.56364208835197,212921.9999665021,233333.33333333334,0.0,212.9219999665021,6.323783399005112,0.2129219999665021,1.1766069718148906,0.0,220.63531233728864,212701.36465416482,-20631.968679168524,715.8555721139753,276.78606666666667,233333.33333333334,497.4213790039553,-20631.968679168524,13,212921.9999665021,-20411.33336683124,-0.08842272291072224,RANK_EXIT
2021-08-23,2021-08-24,NIFTY200,SELL,JSL,RANK_EXIT,2021-08-10,6,19.0,0.539548730435499,148.33203125,761.8267255021225,113003.305654266,120000.0,0.0,113.003305654266,3.3561981779317005,0.113003305654266,0.624456267045474,0.0,117.09696340489744,112886.20869086111,-7113.791309138891,157.3292835073506,142.34712000000002,120000.0,259.44408340489747,-7113.791309138891,14,113003.305654266,-6996.694345733995,-0.059281594242824094,RANK_EXIT
2021-08-26,2021-08-27,NIFTY500,SELL,RSWM,RANK_EXIT,2021-08-10,5,,0.5212759283059842,198.86038208007812,386.73456596702044,76906.18355177487,100000.0,0.0,76.90618355177487,2.2841136514877136,0.07690618355177486,0.4249835703071079,0.0,79.69218695712146,76826.49136481775,-23173.508635182254,258.2685546875,118.62259999999999,100000.0,198.31478695712144,-23173.508635182254,17,76906.18355177487,-23093.81644822513,-0.23173508635182255,RANK_EXIT
2021-09-01,2021-09-02,NIFTY200,SELL,LTTS,RANK_EXIT,2021-08-24,8,18.0,0.5540302916614305,3812.865478515625,30.2889364154158,115487.6400392937,112886.20869086111,0.0,115.48764003929371,3.4299829091670233,0.1154876400392937,0.638184698857137,0.0,119.67129528735715,115367.96874400634,2481.7600531452335,3722.557259477899,133.9085557905254,112886.20869086111,253.57985107788255,2481.7600531452335,9,115487.6400392937,2601.4313484325976,0.02198461691579645,RANK_EXIT
2021-09-07,2021-09-08,NIFTY100,SELL,BASF,RANK_EXIT,2021-08-10,2,11.0,0.5277790082767231,3444.75,109.6693685424101,377783.55728646717,400000.0,0.0,377.78355728646716,11.220171651408075,0.3777835572864672,2.087631937565017,0.0,391.4691444327267,377392.0881420344,-22607.911857965577,3643.0,474.49039999999997,400000.0,865.9595444327267,-22607.911857965577,29,377783.55728646717,-22216.44271353283,-0.05651977964491394,RANK_EXIT
2021-09-08,2021-09-09,NIFTY100,SELL,BALRAMCHIN,RANK_EXIT,2021-08-24,1,14.0,0.5606174907727872,353.1833801269531,1118.2219985602446,394937.4251838241,386575.07112312637,0.0,394.9374251838241,11.729641527959576,0.3949374251838241,2.182424211565812,0.0,409.2444283485333,394528.18075547554,7953.109632349166,345.2950364238484,458.5654003181017,386575.07112312637,867.809828666635,7953.109632349166,16,394937.4251838241,8362.354060697719,0.020573260477564668,RANK_EXIT
2021-09-14,2021-09-15,NIFTY200,SELL,DEEPAKFERT,RANK_EXIT,2021-08-10,2,,0.617278622072102,395.4349365234375,270.62401701624503,107014.19099053653,120000.0,0.0,107.01419099053653,3.178321472418935,0.10701419099053652,0.5913604194137049,0.0,110.8908870733597,106903.30010346317,-13096.699896536826,442.8936285902709,142.34712000000002,120000.0,253.2380070733597,-13096.699896536826,36,107014.19099053653,-12985.809009463468,-0.10913916580447355,RANK_EXIT
2021-09-22,2021-09-23,NIFTY500,SELL,GOKEX,RANK_EXIT,2021-08-10,6,,0.4874874244445099,194.9499969482422,447.8985533632287,87317.82161128352,100000.0,0.0,87.31782161128352,2.5933393018551207,0.08731782161128351,0.48251828222395277,0.0,90.48099701697387,87227.34061426655,-12772.659385733452,223.0,118.62259999999999,100000.0,209.10359701697388,-12772.659385733452,44,87317.82161128352,-12682.178388716478,-0.1277265938573345,RANK_EXIT
2021-09-23,2021-09-24,NIFTY200,SELL,DALMIASUG,RANK_EXIT,2021-08-10,4,,0.6762720266425748,411.6499938964844,286.0564507875895,117755.1362207612,120000.0,0.0,117.7551362207612,3.4973275457566078,0.1177551362207612,0.6507148827559264,0.0,122.02093378549449,117633.1152869757,-2366.884713024294,419.0,142.34712000000002,120000.0,264.3680537854945,-2366.884713024294,45,117755.1362207612,-2244.8637792388035,-0.01972403927520245,RANK_EXIT
2021-09-27,2021-09-28,NIFTY100,SELL,APOLLOHOSP,RANK_EXIT,2021-09-22,3,12.0,0.6100878260405664,4356.77587890625,79.24966969303608,345273.0493299073,385960.13444875495,0.0,345.2730493299073,10.254609565098246,0.34527304932990727,1.9079788705970675,0.0,357.7809108149325,344915.26841909235,-41044.866029662604,4864.402589884657,457.8359464466087,385960.13444875495,815.6168572615412,-41044.866029662604,6,345273.0493299073,-40687.085118847666,-0.10634483296645304,RANK_EXIT
2021-09-29,2021-09-30,NIFTY50,SELL,BSOFT,RANK_EXIT,2021-08-24,1,9.0,0.5589640270427159,387.3094787597656,543.5496123088074,210521.91702339688,212701.36465416482,0.0,210.52191702339687,6.252500935594887,0.21052191702339687,1.1633441134712912,0.0,218.14828398948643,210303.7687394074,-2397.595914757432,390.854943052517,252.3118889882513,212701.36465416482,470.4601729777377,-2397.595914757432,37,210521.91702339688,-2179.4476307679433,-0.011272122859464155,RANK_EXIT
2021-10-06,2021-10-07,NIFTY100,SELL,ADANIENT,RANK_EXIT,2021-08-10,1,9.0,0.5476965556774311,1517.3626708984375,269.09768991850893,408318.78950734827,400000.0,0.0,408.3187895073483,12.127068048368244,0.40831878950734823,2.2563696308176064,0.0,423.1105459760415,407895.67896137224,7895.678961372236,1484.685764939077,474.49039999999997,400000.0,897.6009459760414,7895.678961372236,58,408318.78950734827,8318.789507348265,0.01973919740343059,RANK_EXIT
2021-10-06,2021-10-07,NIFTY200,SELL,COFORGE,RANK_EXIT,2021-08-10,7,19.0,0.5503592702468089,1029.830810546875,131.46356158019162,135385.22617950776,120000.0,0.0,135.38522617950775,4.020941217531381,0.13538522617950777,0.7481387598679599,0.0,140.2896913830866,135244.9364881247,15244.936488124687,911.7176762846781,142.34712000000002,120000.0,282.63681138308664,15244.936488124687,58,135385.22617950776,15385.226179507765,0.12704113740103906,RANK_EXIT
