year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,COMBINED,148,50,0,16418.785134762176,-14786.145565084298,0.0,1632.6395696778782,10.056588998392108,-9.056588998392108,0.0
2021,NIFTY100,74,25,0,6971.454745630617,-4002.6213200608036,0.0,2968.8334255698137,2.348213505543031,-1.3482135055430309,0.0
2021,NIFTY500,74,25,0,9447.330389131559,-10783.524245023495,0.0,-1336.1938558919355,-7.070329164794192,8.070329164794192,-0.0
2022,COMBINED,208,288,0,39393.1912071851,111435.49055392266,0.0,150828.68176110776,0.26117838296550644,0.7388216170344936,0.0
2022,NIFTY100,104,144,0,49909.26824320888,52637.87745987158,0.0,102547.14570308046,0.4866958304984751,0.5133041695015249,0.0
2022,NIFTY500,104,144,0,-10516.07703602378,58797.61309405108,0.0,48281.5360580273,-0.21780742483803756,1.2178074248380375,0.0
2023,COMBINED,309,181,0,299299.46232788055,125477.11783870077,0.0,424776.5801665813,0.7046044351374235,0.29539556486257645,0.0
2023,NIFTY100,143,102,0,67913.92915249022,73399.10128896206,0.0,141313.03044145228,0.4805921219036329,0.5194078780963671,0.0
2023,NIFTY500,166,79,0,231385.53317539033,52078.016549738706,0.0,283463.54972512904,0.8162796712302584,0.18372032876974162,0.0
2024,COMBINED,399,93,0,148089.10402681946,-49371.55018536758,0.0,98717.55384145188,1.5001293920295287,-0.5001293920295286,0.0
2024,NIFTY100,202,44,0,114406.60323009058,-19671.570378955454,0.0,94735.03285113513,1.207648319601757,-0.20764831960175698,0.0
2024,NIFTY500,197,49,0,33682.500796728884,-29699.979806412128,0.0,3982.520990316756,8.457582741842597,-7.457582741842597,0.0
2025,COMBINED,278,218,0,129531.23180381057,700877.1216527584,0.0,830408.353456569,0.15598498168357497,0.844015018316425,0.0
2025,NIFTY100,135,113,0,28940.616762432503,400208.83177698334,0.0,429149.44853941584,0.06743715239744602,0.932562847602554,0.0
2025,NIFTY500,143,105,0,100590.61504137807,300668.2898757751,0.0,401258.9049171532,0.2506875581045279,0.7493124418954721,0.0
2026,COMBINED,184,108,0,91440.38882623822,-84230.8325094399,0.0,7209.55631679832,12.683219994159895,-11.683219994159895,0.0
2026,NIFTY100,92,54,0,91159.40642609913,-41692.32552034687,0.0,49467.08090575226,1.842829711334325,-0.8428297113343249,0.0
2026,NIFTY500,92,54,0,280.98240013909526,-42538.50698909303,0.0,-42257.52458895394,-0.006649286792642457,1.0066492867926424,-0.0
