month,beginning_value,ending_value,month_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown,annualized_volatility,sharpe_ratio,cash_value,stock_value,gold_value
2021-08,1000000.0,1030069.522680009,0.030069522680008953,0.03129286909494411,0.030069522680008953,340200.022671766,689869.500008243,-15267.783174516997,45337.30585452602,1534878.8617534167,875986.6045204386,1820.7132126623092,907.720095255796,2728.4333079181038,2.410865466273855,10,13,3,10,0.23076923076923078,0.2508635560829689,0.019777453479355,0.15149236793261733,3.4961417218535655,340200.022671766,689869.500008243,0.0
2021-09,1030069.522680009,1016733.9891214735,-0.012946246117290672,-0.012946246117290117,0.016733989121473503,233215.88232883334,783518.1067926402,-14305.02427217039,46306.79656816089,482347.99033678044,375753.2152450683,572.1737271852378,389.3652512205362,961.538978405774,0.8330517374684211,11,7,3,4,0.42857142857142855,0.1363639572170841,0.03588597921044512,0.1355122608956016,-1.0858073977490952,233215.88232883334,783518.1067926402,0.0
2021-10,1016733.9891214735,1000695.9121944787,-0.015774113090143427,-0.015774113090142983,0.0006959121944787316,366442.08350134816,634253.8286931305,-15239.839106745974,45508.55874791204,733977.3683028279,868103.1204994855,870.6630376923904,899.5510241426998,1770.2140618350902,1.5757125324261252,9,13,5,8,0.38461538461538464,0.5460751963553648,0.08641033536124954,0.23538177455620277,-0.7319575591988267,366442.08350134816,634253.8286931305,0.0
2021-11,1000695.9121944787,1001169.9471157298,0.00047370526398138324,0.0004737052639811612,0.0011699471157298191,0.0,1001169.9471157298,53208.470579792054,-7225.876910628809,1487873.1618459413,1122594.3397869335,1764.9538292838638,1163.261442340055,2928.215271623919,2.608652108819195,2,17,11,6,0.6470588235294118,5.846648308283999,0.04523628348149844,0.13855898149051885,0.11271253407123658,0.0,0.0,1001169.9471157298
2021-12,1001169.9471157298,1000446.4135696779,-0.000722688039264785,-0.000722688039265007,0.0004464135696777838,0.0,1000446.4135696779,0.0,-7949.410456680751,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.021831945473907877,0.08154464123942762,-0.0564311260841921,0.0,0.0,1000446.4135696779
2022-01,1000446.4135696779,994899.1083697657,-0.0055448299125976375,-0.005544829912597415,-0.0051008916302343055,0.0,994899.1083697657,0.0,-13496.715656592918,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.01925823458972553,0.0789305474985771,-0.8480130260049883,0.0,0.0,994899.1083697657
2022-02,994899.1083697657,1051337.0251066093,0.056727276426372875,0.056727276426372875,0.051337025106609424,0.0,1051337.0251066093,0.0,42941.201080250845,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.023083792110108248,0.17774910362635132,4.0047718471602485,0.0,0.0,1051337.0251066093
2022-03,1051337.0251066093,1064119.9417844163,0.012158723960578488,0.012158723960577822,0.06411994178441627,0.0,1064119.9417844163,0.0,55724.117758057604,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.04108694325322704,0.16214763419588588,0.9751896570976986,0.0,0.0,1064119.9417844163
2022-04,1064119.9417844163,1080279.5630239793,0.0151859020821139,0.015185902082114566,0.0802795630239792,0.0,1080279.5630239793,0.0,71883.7389976207,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.04026838819992473,0.12298921908501477,1.6875080727095173,0.0,0.0,1080279.5630239793
2022-05,1080279.5630239793,1060019.7956823995,-0.018754189225673623,-0.018754189225673734,0.06001979568239957,0.0,1060019.7956823995,0.0,51623.971656041045,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.031649828766756594,0.10631184023185644,-2.082833370078066,0.0,0.0,1060019.7956823995
2022-06,1060019.7956823995,1055437.1712086261,-0.0043231499000669915,-0.004323149900067658,0.055437171208626124,0.0,1055437.1712086261,0.0,47041.34718226752,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.014030299867672569,0.08820735268567842,-0.5184024462589031,0.0,0.0,1055437.1712086261
2022-07,1055437.1712086261,1057736.3856141865,0.002178447441762321,0.0021784474417625432,0.05773638561418659,359802.20074164437,697934.1848725422,33997.88329868027,15342.678289147574,1050488.4996435402,1411753.5961671267,1246.116770978158,1462.8957819418767,2709.0125529200354,2.3329120510234147,10,7,4,3,0.5714285714285714,4.235451600755731,0.03950893946220091,0.11936994038288612,0.27839915334549825,359802.20074164437,697934.1848725422,0.0
2022-08,1057736.3856141865,1165670.8486599394,0.10204287619649155,0.10204287619649155,0.16567084865993942,212921.5399496678,952749.3087102716,6750.989862618451,116526.15147228198,519121.13605900883,372626.600638906,615.794988742734,386.125371873651,1001.9203606163849,0.8430718171618078,12,5,5,0,1.0,0.0,0.00871346972031628,0.10997504427654115,11.213959802524649,212921.5399496678,952749.3087102716,0.0
2022-09,1165670.8486599394,1167011.9809546717,0.0011505240062186228,0.0011505240062188449,0.16701198095467173,109868.36483891249,1057143.6161157591,22560.042316441366,95307.2414505728,549969.4062690972,447379.8177573774,652.3880089209663,463.5865990354561,1115.9746079564225,0.8556010688377703,13,7,6,1,0.8571428571428571,20.192295441361214,0.060505729511879935,0.1761688572049811,0.1640993988950806,109868.36483891249,1057143.6161157591,0.0
2022-10,1167011.9809546717,1155687.1259095825,-0.009704146341175557,-0.009704146341175335,0.15568712590958245,341292.45744848973,814394.6684610927,25286.42127746559,58695.96512801819,657355.8425315707,889701.8673483429,779.772591662855,921.9322071949041,1701.7047988577588,1.325657092752678,10,12,6,6,0.5,2.0384938361876332,0.026252080174905545,0.18404951140531878,-0.609651366189658,341292.45744848973,814394.6684610927,0.0
2022-11,1155687.1259095825,1181811.534554974,0.02260508753598023,0.022605087535980006,0.181811534554974,217263.03036023938,964548.5041947346,3558.170873281706,81262.20290012797,786179.1404642146,662836.5618551093,932.5861370763037,686.8484791448725,1619.4346162211764,1.2538131383776365,11,10,3,7,0.3,1.220536824571808,0.016794831541280364,0.09099357820927949,2.994564629415708,217263.03036023938,964548.5041947346,0.0
2022-12,1181811.534554974,1151275.0953307855,-0.02583867082976754,-0.025838670829767985,0.15127509533078554,0.0,1151275.0953307855,60222.352655740106,-9496.588979800348,1601007.8881728286,1385180.2175687198,1899.1571831557017,1435.359756130364,3334.5169392860657,2.5267887632066772,2,18,9,9,0.5,2.7266109879165326,0.13737287848497526,0.3826122421822272,-0.5896128989157166,0.0,0.0,1151275.0953307855
2023-01,1151275.0953307855,1197532.7139416058,0.040179466053271495,0.04017946605327194,0.19753271394160565,0.0,1197532.7139416058,0.0,36761.0296310198,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.011857701236590468,0.08614401495269719,5.535619081967163,0.0,0.0,1197532.7139416058
