date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2021-08-10,NIFTY100,0.0,499406.887,0.0,499406.887,"ADANIENT,BAJAJFINSV,AMBUJACEM,JSWSTEEL,TECHM",2021-08,2021
2021-08-10,NIFTY500,0.0,499406.887,0.0,499406.887,"TATASTEEL,DEEPAKNTR,LAURUSLABS,SAIL,COFORGE,IRCTC,MPHASIS,SRF,LTTS,TATAPOWER",2021-08,2021
2021-08-11,NIFTY100,200132.53050581733,295804.2371244343,0.0,495936.76763025165,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-11,NIFTY500,97871.87412257309,392584.9755683089,0.0,490456.849690882,"TATASTEEL,DEEPAKNTR,LAURUSLABS,SAIL,COFORGE,IRCTC,MPHASIS,SRF",2021-08,2021
2021-08-12,NIFTY100,200132.53050581733,297111.6754719992,0.0,497244.20597781654,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-12,NIFTY500,97871.87412257309,400190.73559316667,0.0,498062.60971573973,"TATASTEEL,DEEPAKNTR,LAURUSLABS,SAIL,COFORGE,IRCTC,MPHASIS,SRF",2021-08,2021
2021-08-13,NIFTY100,200132.53050581733,296573.25345536135,0.0,496705.7839611787,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-13,NIFTY500,146965.09443570324,350577.333495196,0.0,497542.42793089926,"TATASTEEL,DEEPAKNTR,LAURUSLABS,SAIL,COFORGE,IRCTC,MPHASIS",2021-08,2021
2021-08-16,NIFTY100,200132.53050581733,299413.05677728547,0.0,499545.5872831028,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-16,NIFTY500,196191.33862090413,301023.04324150825,0.0,497214.3818624124,"TATASTEEL,DEEPAKNTR,LAURUSLABS,SAIL,COFORGE,MPHASIS",2021-08,2021
2021-08-17,NIFTY100,200132.53050581733,299183.22667552315,0.0,499315.7571813405,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-17,NIFTY500,196191.33862090413,301817.5888170147,0.0,498008.92743791884,"TATASTEEL,DEEPAKNTR,LAURUSLABS,SAIL,COFORGE,MPHASIS",2021-08,2021
2021-08-18,NIFTY100,200132.53050581733,301391.5646775825,0.0,501524.0951833998,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-18,NIFTY500,243588.60353867162,254804.47086143336,0.0,498393.074400105,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS",2021-08,2021
2021-08-20,NIFTY100,200132.53050581733,292141.30798911967,0.0,492273.838494937,"ADANIENT,BAJAJFINSV,JSWSTEEL",2021-08,2021
2021-08-20,NIFTY500,243588.60353867162,247969.55163446133,0.0,491558.15517313295,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS",2021-08,2021
2021-08-23,NIFTY100,291290.2582147451,200646.9714945685,0.0,491937.2297093136,"ADANIENT,BAJAJFINSV",2021-08,2021
2021-08-23,NIFTY500,243588.60353867162,244615.5210308735,0.0,488204.12456954515,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS",2021-08,2021
2021-08-24,NIFTY100,0.0,502678.4203079008,0.0,502678.4203079008,"ADANIENT,BAJAJFINSV,TECHM,APOLLOHOSP,JSWSTEEL",2021-08,2021
2021-08-24,NIFTY500,0.0,491047.8001184755,0.0,491047.8001184755,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,SAIL,LTTS,FORTIS,SRF,LALPATHLAB",2021-08,2021
2021-08-25,NIFTY100,96003.6615911278,406153.8091980954,0.0,502157.4707892232,"ADANIENT,BAJAJFINSV,TECHM,APOLLOHOSP",2021-08,2021
2021-08-25,NIFTY500,145560.83397505654,345222.63282457925,0.0,490783.4667996358,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,FORTIS,SRF",2021-08,2021
2021-08-26,NIFTY100,96003.6615911278,404196.87635295856,0.0,500200.53794408636,"ADANIENT,BAJAJFINSV,TECHM,APOLLOHOSP",2021-08,2021
2021-08-26,NIFTY500,145560.83397505654,342768.8426963526,0.0,488329.67667140916,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,FORTIS,SRF",2021-08,2021
2021-08-27,NIFTY100,96003.6615911278,408913.7430159758,0.0,504917.4046071036,"ADANIENT,BAJAJFINSV,TECHM,APOLLOHOSP",2021-08,2021
2021-08-27,NIFTY500,145560.83397505654,352292.6853987548,0.0,497853.5193738113,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,FORTIS,SRF",2021-08,2021
2021-08-30,NIFTY100,96003.6615911278,410233.0076488055,0.0,506236.6692399333,"ADANIENT,BAJAJFINSV,TECHM,APOLLOHOSP",2021-08,2021
2021-08-30,NIFTY500,145560.83397505654,356748.2730499234,0.0,502309.10702497995,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,FORTIS,SRF",2021-08,2021
2021-08-31,NIFTY100,194639.18869670946,326588.49292689026,0.0,521227.6816235997,"ADANIENT,BAJAJFINSV,APOLLOHOSP",2021-08,2021
2021-08-31,NIFTY500,145560.83397505654,363281.00708135276,0.0,508841.8410564093,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,FORTIS,SRF",2021-08,2021
2021-09-01,NIFTY100,194639.18869670946,323946.3403521513,0.0,518585.5290488608,"ADANIENT,BAJAJFINSV,APOLLOHOSP",2021-09,2021
2021-09-01,NIFTY500,145560.83397505654,358301.6076575734,0.0,503862.44163262995,"TATASTEEL,DEEPAKNTR,LAURUSLABS,COFORGE,MPHASIS,FORTIS,SRF",2021-09,2021
2021-09-02,NIFTY100,194639.18869670946,323813.71754458477,0.0,518452.90624129423,"ADANIENT,BAJAJFINSV,APOLLOHOSP",2021-09,2021
