year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2021,COMBINED,148,0,50,16418.785134762176,0.0,-6836.735108403547,9582.05002635863,1.7134939902835848,0.0,-0.7134939902835848
2021,NIFTY100,74,0,25,6971.454745630617,0.0,-10.812512546486687,6960.642233084131,1.0015533785797945,0.0,-0.0015533785797946212
2021,NIFTY500,74,0,25,9447.330389131559,0.0,-6825.9225958570605,2621.4077932744985,3.6039148175914075,0.0,-2.6039148175914075
2022,COMBINED,208,0,288,40944.4446686547,0.0,64919.734631083615,105864.17929973832,0.3867639171199423,0.0,0.6132360828800577
2022,NIFTY100,104,0,144,49481.018411081226,0.0,29625.20885264792,79106.22726372915,0.6255009260663943,0.0,0.37449907393360576
2022,NIFTY500,104,0,144,-8536.573742426524,0.0,35294.525778435695,26757.95203600917,-0.3190294134221685,0.0,1.3190294134221685
2023,COMBINED,309,0,181,259486.7179861553,0.0,2703.1911828700686,262189.90916902537,0.9896899495810596,0.0,0.01031005041894045
2023,NIFTY100,143,0,102,55127.0679765041,0.0,2703.1911828700686,57830.25915937417,0.9532564573950748,0.0,0.04674354260492514
2023,NIFTY500,166,0,79,204359.6500096512,0.0,0.0,204359.6500096512,1.0,0.0,0.0
2024,COMBINED,399,0,93,128384.59194862831,0.0,901.3137694859179,129285.90571811423,0.9930285226028344,0.0,0.006971477397165613
2024,NIFTY100,202,0,44,98625.95409009198,0.0,4401.517449875246,103027.47153996723,0.9572782153722197,0.0,0.04272178462778031
2024,NIFTY500,197,0,49,29758.637858536327,0.0,-3500.203680389328,26258.434178147,1.1332982635842885,0.0,-0.13329826358428848
2025,COMBINED,278,0,218,50885.69245299976,0.0,2560.6869113572175,53446.37936435698,0.9520886738856454,0.0,0.047911326114354565
2025,NIFTY100,135,0,113,13440.542094507371,0.0,-5109.2873622297775,8331.254732277594,1.6132674520723727,0.0,-0.6132674520723728
2025,NIFTY500,143,0,105,37445.15035849239,0.0,7669.974273586995,45115.12463207939,0.8299910653880093,0.0,0.17000893461199068
2026,COMBINED,184,0,108,57539.54179519345,0.0,17265.45437494607,74804.99617013952,0.7691938338493217,0.0,0.23080616615067823
2026,NIFTY100,92,0,54,56023.336146024056,0.0,10003.306067531114,66026.64221355517,0.8484959141920827,0.0,0.15150408580791724
2026,NIFTY500,92,0,54,1516.2056491693947,0.0,7262.148307414958,8778.353956584353,0.17272095163491774,0.0,0.8272790483650823
