date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2021-08-23,2021-08-24,NIFTY100,BALRAMCHIN,1,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,BSOFT,3,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,BASF,4,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,ABREL,5,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,ADANIENSOL,13,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,3,5,2021,2021-08-23,3
2021-08-23,2021-08-24,NIFTY100,APARINDS,25,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,ACCELYA,35,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,ARVIND,37,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,ASAHIINDIA,52,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,ZYDUSLIFE,58,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,BALMLAWRIE,68,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,NH,72,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,APOLLOTYRE,79,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,SHRIRAMFIN,80,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,PGHL,87,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY100,DHANBANK,90,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,NAHARSPING,1,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,FLUOROCHEM,2,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ELECON,3,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SAREGAMA,4,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,KPITTECH,5,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,ECLERX,6,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,PRAJIND,7,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,LUXIND,8,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,SONATSOFTW,9,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
2021-08-23,2021-08-24,NIFTY500,OLECTRA,10,LOWER_CIRCUIT_FILTER,2020-08-19,2021-08-23,0,5,2021,2021-08-23,0
