rebalance_date,beginning_value,ending_value,monthly_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings
2021-08-10,1000000.0,998813.774,-0.001186226000000068,0.0,998813.774,0.0,-1186.2260000000242,1000000.0,0.0,1186.2259999999999,0.0,1186.2259999999999,1.0,15
2021-08-11,998813.774,986393.6173211336,-0.012434907289200381,298004.40462839045,688389.2126927432,-1995.59537160959,-11610.787307256804,0.0,298313.524859001,0.0,309.1202306105431,309.1202306105431,0.29866781238341333,11
2021-08-12,986393.6173211336,995306.8156935563,0.009036147655364424,298004.40462839045,697302.4110651659,0.0,-2697.5889348340716,0.0,0.0,0.0,0.0,0.0,0.0,11
2021-08-13,995306.8156935563,994248.2118920779,-0.0010635954509572443,347097.62494152057,647150.5869505573,-906.7796868698424,-2849.413049442628,0.0,49144.14475367167,0.0,50.92444054151818,50.92444054151818,0.04937587483456217,10
2021-08-16,994248.2118920779,996759.9691455152,0.0025262879262888394,396323.86912672146,600436.1000187937,-773.7558147991076,436.10001879373885,0.0,49277.30661152172,0.0,51.06242632083071,51.06242632083071,0.04956237891315474,9
2021-08-17,996759.9691455152,997324.6846192593,0.000566551116843339,396323.86912672146,601000.8154925378,0.0,1000.8154925378476,0.0,0.0,0.0,0.0,0.0,0.0,9
2021-08-18,997324.6846192593,999917.1695835048,0.0025994392841437453,443721.13404448895,556196.0355390159,-2602.7350822325097,6196.035539015837,0.0,47446.43014228811,0.0,49.165224520622644,49.165224520622644,0.04757370480647569,8
2021-08-20,999917.1695835048,983831.99366807,-0.01608650836762293,443721.13404448895,540110.8596235809,0.0,-9889.14037641904,0.0,0.0,0.0,0.0,0.0,0.0,8
2021-08-23,983831.99366807,980141.3542788588,-0.003751290274116026,534878.8617534167,445262.49252544204,-8842.272291072237,-4737.507474558006,0.0,91252.28569992946,0.0,94.5579910016951,94.5579910016951,0.09275189899009993,7
2021-08-24,980141.3542788588,993726.2204263763,0.013860109144678168,0.0,993726.2204263763,0.0,8847.358672959585,534878.8617534167,0.0,634.4872126623086,0.0,634.4872126623086,0.5457160433220931,15
2021-08-25,993726.2204263763,992940.937588859,-0.0007902406330592138,241564.49556618434,751376.4420226747,-1685.4192952669982,9747.495130709249,0.0,241815.07062956254,0.0,250.5750633781891,250.5750633781891,0.24334174308675016,11
2021-08-26,992940.937588859,988530.2146154955,-0.004442079892560291,241564.49556618434,746965.7190493112,0.0,5336.772157345811,0.0,0.0,0.0,0.0,0.0,0.0,11
2021-08-27,988530.2146154955,1002770.923980915,0.014405942433391994,241564.49556618434,761206.4284147306,0.0,19577.481522765236,0.0,0.0,0.0,0.0,0.0,0.0,11
