universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY100,ABB,733913.901512247,6.0,32.666666666666664,98.0,-9453.688008522993,3.0,3.0,1622.0709673799915,0.0,0.0,0.0,0.0,733913.901512247,-9453.688008522993,-0.012881194904529597
NIFTY100,ADANIENSOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153947.35968258203,200025.46422347258,46078.10454089055,109.0,153947.35968258203,46078.10454089055,0.2993107815288107
NIFTY100,ADANIENT,524720.4122969977,5.0,53.2,154.0,44361.993115304576,3.0,2.0,1212.7466746654814,0.0,0.0,0.0,0.0,524720.4122969977,44361.993115304576,0.08454405827497175
NIFTY100,ADANIPORTS,137907.75491829577,1.0,30.0,30.0,-4368.440056560154,0.0,1.0,302.1102130579694,0.0,0.0,0.0,0.0,137907.75491829577,-4368.440056560154,-0.03167653667589804
NIFTY100,AMBUJACEM,311292.3274229863,3.0,20.666666666666668,34.0,-15036.223736474101,0.0,3.0,676.5697688979396,0.0,0.0,0.0,0.0,311292.3274229863,-15036.223736474101,-0.0483025838155104
NIFTY100,APARINDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153947.35968258203,217886.7769085605,63939.41722597848,109.0,153947.35968258203,63939.41722597848,0.4153329901715277
NIFTY100,APOLLOHOSP,186335.66868342232,2.0,20.5,35.0,-2785.48539580917,1.0,1.0,411.43298122661474,0.0,0.0,0.0,0.0,186335.66868342232,-2785.48539580917,-0.014948750368033994
NIFTY100,APOLLOTYRE,324951.9525931065,3.0,24.333333333333332,57.0,15719.96985040589,2.0,1.0,738.8457392249229,0.0,0.0,0.0,0.0,324951.9525931065,15719.96985040589,0.04837628986365836
NIFTY100,ARVIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126775.91563849342,133772.97961326648,6997.06397477306,16.0,126775.91563849342,6997.06397477306,0.055192375772110114
NIFTY100,ASHOKLEY,138178.74214757484,1.0,35.0,35.0,12088.136380826763,1.0,0.0,319.78318163557935,0.0,0.0,0.0,0.0,138178.74214757484,12088.136380826763,0.08748188174934056
NIFTY100,BAJAJ-AUTO,321215.63682072394,3.0,21.333333333333332,39.0,-7736.1500452644395,1.0,2.0,706.2068869142828,0.0,0.0,0.0,0.0,321215.63682072394,-7736.1500452644395,-0.02408397711217938
NIFTY100,BAJAJFINSV,100000.0,1.0,107.0,107.0,21445.490738351073,1.0,0.0,244.5981141890046,0.0,0.0,0.0,0.0,100000.0,21445.490738351073,0.21445490738351072
NIFTY100,BAJFINANCE,391329.94610907556,3.0,39.333333333333336,105.0,-5198.726187072854,1.0,2.0,864.740010155451,0.0,0.0,0.0,0.0,391329.94610907556,-5198.726187072854,-0.013284764528661477
NIFTY100,BANKBARODA,309502.0432301061,3.0,18.333333333333332,34.0,18814.69979590275,3.0,0.0,707.7026165815379,0.0,0.0,0.0,0.0,309502.0432301061,18814.69979590275,0.06079022806939774
NIFTY100,BANKINDIA,223924.52975757493,2.0,20.5,34.0,3733.33268576485,1.0,1.0,501.77479986410407,0.0,0.0,0.0,0.0,223924.52975757493,3733.33268576485,0.01667228101274402
NIFTY100,BASF,233985.9347717521,2.0,63.5,126.0,57320.983612709315,2.0,0.0,579.733121708943,0.0,0.0,0.0,0.0,233985.9347717521,57320.983612709315,0.24497619341361102
NIFTY100,BEL,127356.22358841593,1.0,74.0,74.0,1890.3032136780093,1.0,0.0,285.14079943071715,0.0,0.0,0.0,0.0,127356.22358841593,1890.3032136780093,0.014842644987550868
NIFTY100,BHARTIARTL,223121.53545411752,2.0,13.5,21.0,-3211.175416816215,0.0,2.0,492.7857760943175,0.0,0.0,0.0,0.0,223121.53545411752,-3211.175416816215,-0.014392046067093142
NIFTY100,BSOFT,127062.41176411325,1.0,34.0,34.0,-819.9874279216019,0.0,1.0,281.6761140797197,0.0,0.0,0.0,0.0,127062.41176411325,-819.9874279216019,-0.006453422507388565
NIFTY100,CANBK,135827.35246863562,1.0,64.0,64.0,7792.713307467144,1.0,0.0,310.09915735749996,0.0,0.0,0.0,0.0,135827.35246863562,7792.713307467144,0.05737219467092673
NIFTY100,COALINDIA,440002.23164038983,4.0,25.25,42.0,25037.818166009733,4.0,0.0,1004.3285392641851,0.0,0.0,0.0,0.0,440002.23164038983,25037.818166009733,0.05690384358430467
NIFTY100,COLPAL,85263.28276739406,1.0,28.0,28.0,-126.72610471313237,0.0,1.0,189.4537478520284,0.0,0.0,0.0,0.0,85263.28276739406,-126.72610471313237,-0.0014862916439524459
NIFTY100,DLF,112816.96081571768,1.0,1.0,1.0,-3605.524946446414,0.0,1.0,247.11153049068375,0.0,0.0,0.0,0.0,112816.96081571768,-3605.524946446414,-0.03195906821436101
NIFTY100,DMART,193619.82993526588,2.0,33.5,38.0,5271.91495333839,2.0,0.0,435.9874580124873,0.0,0.0,0.0,0.0,193619.82993526588,5271.91495333839,0.02722817675803652
NIFTY100,DRREDDY,119440.78147735454,1.0,8.0,8.0,-5686.489136715449,0.0,1.0,259.6811877858673,0.0,0.0,0.0,0.0,119440.78147735454,-5686.489136715449,-0.047609276047759136
NIFTY100,EICHERMOT,579711.5856952636,5.0,23.4,48.0,-7306.562637539668,2.0,3.0,1281.4251885223312,0.0,0.0,0.0,0.0,579711.5856952636,-7306.562637539668,-0.012603789225251918
NIFTY100,GICRE,366946.536513612,3.0,8.666666666666666,20.0,6261.9394252780185,1.0,2.0,822.4110020430048,0.0,0.0,0.0,0.0,366946.536513612,6261.9394252780185,0.01706499122398919
NIFTY100,HDFCAMC,267336.7363396406,2.0,8.5,13.0,1088.4373045495595,2.0,0.0,595.5594557371602,0.0,0.0,0.0,0.0,267336.7363396406,1088.4373045495595,0.004071409412160787
NIFTY100,HINDPETRO,136563.0579916849,1.0,26.0,26.0,-24769.860380549217,0.0,1.0,277.9578320813262,0.0,0.0,0.0,0.0,136563.0579916849,-24769.860380549217,-0.18138038752806349
