symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
ABREL,2021-08-10 00:00:00,3,2021-08-30 00:00:00,10,20,433.20177064074386,768.5516247411038,743.8868878565797,333333.3333333333,322253.1169759028,-11080.216357430501,0.0,322.2531169759028,9.570917574184314,0.3222531169759028,1.7807707244088389,0.0,333.92705839147186,-11414.143415821973,-0.0332406490722915,SellReason.RANK_EXIT
BASF,2021-08-10 00:00:00,2,2021-09-08 00:00:00,10,29,91.39114045200841,3643.0,3529.35009765625,333333.3333333333,322551.33047921193,-10782.002854121383,0.0,322.5513304792119,9.579774515232595,0.3225513304792119,1.7824186522281253,0.0,334.2360749771518,-11116.238929098536,-0.03234600856236415,SellReason.RANK_EXIT
ADANIENT,2021-08-10 00:00:00,1,2021-10-08 00:00:00,10,59,224.2480749320908,1484.685764939077,1518.6100551899126,333333.3333333333,340545.38144885405,7212.048115520738,0.0,340.5453814488541,10.114197829030966,0.34054538144885405,1.8818537778863673,0.0,352.88197843722025,6859.166137083518,0.021636144346562216,SellReason.RANK_EXIT
ARVIND,2021-10-22 00:00:00,3,2021-11-22 00:00:00,10,31,2535.738464795075,134.0,125.25,340192.4994704168,317601.2427155831,-22591.25675483368,0.0,317.6012427155831,9.432756908652818,0.3176012427155831,1.755064467246312,0.0,329.1066653341978,-22920.36342016788,-0.06640727467537308,SellReason.RANK_EXIT
BAJAJFINSV,2021-09-22 00:00:00,2,2021-11-25 00:00:00,12,64,183.41337014205263,1753.8857516642656,1729.9492679222058,322068.14216087305,317295.8254043885,-4772.316756484564,0.0,317.2958254043885,9.423686014510338,0.31729582540438844,1.7533767311846506,0.0,328.7901839754879,-5101.106940460052,-0.014817723741520489,SellReason.RANK_EXIT
ADANIENSOL,2021-09-22 00:00:00,1,2021-11-29 00:00:00,,68,206.10333578500175,1560.800048828125,1924.5999755859375,322068.14216087305,396666.47501999466,74598.33285912161,0.0,396.66647501999466,11.780994308093842,0.39666647501999464,2.1919789409604906,0.0,411.036114744069,74187.29674437754,0.23162282478053897,SellReason.MARKET_EXIT
ASAHIINDIA,2021-11-23 00:00:00,2,2021-11-29 00:00:00,,6,628.5477693213572,504.17135349242085,470.3754405615648,317272.1360502489,295653.4339085222,-21618.70214172674,0.0,295.6534339085222,8.780906987083108,0.29565343390852217,1.6337808757784933,0.0,306.36377520529226,-21925.06591693203,-0.06813930277918516,SellReason.MARKET_EXIT
GOLDBEES,2021-11-29 00:00:00,0,2022-07-25 00:00:00,,238,24122.921296271426,41.7599983215332,44.290000915527344,1008569.5442589804,1068404.2062970556,59834.662038075156,0.0,1068.4042062970557,31.731604927022552,1.0684042062970556,5.904001643997529,0.0,1107.108217074373,58727.55382100078,0.059326263001563344,SellReason.MARKET_EXIT
ADANIENSOL,2022-07-25 00:00:00,1,2022-10-14 00:00:00,10,81,118.85198843875342,2989.800048828125,3204.0,355765.69935999374,380801.770957766,25036.071597772243,0.0,380.801770957766,11.30981259744565,0.38080177095776596,2.1043105863126144,0.0,394.59669591248206,24641.47490185976,0.0703723592319636,SellReason.RANK_EXIT
ABB,2022-07-25 00:00:00,3,2022-10-31 00:00:00,11,98,133.60932524129285,2659.5724527144266,2903.668988941204,355765.69935999374,387957.2543365013,32191.554976507556,0.0,387.9572543365013,11.522330453794089,0.3879572543365013,2.143851787463506,0.0,402.01139383209545,31789.543582675462,0.09048526891271051,SellReason.RANK_EXIT
ADANIENT,2022-07-25 00:00:00,2,2022-12-27 00:00:00,,155,142.1118641564845,2500.450493325617,3725.671078150604,355765.69935999374,529462.0621498817,173696.362789888,0.0,529.4620621498817,15.725023245851487,0.5294620621498817,2.925807355440246,0.0,548.6423548133233,173147.72043507468,0.4882324605839175,SellReason.MARKET_EXIT
APARINDS,2022-10-24 00:00:00,1,2022-12-27 00:00:00,,64,267.2228962244392,1421.8688995198768,1631.2402738270494,380407.1742618535,435904.7504100114,55497.57614815788,0.0,435.9047504100114,12.946371087177338,0.43590475041001137,2.408809650765723,0.0,451.69583589836446,55045.88031225952,0.14588993032491046,SellReason.MARKET_EXIT
BANKINDIA,2022-11-22 00:00:00,3,2022-12-27 00:00:00,,35,5544.712452570758,69.81345167098446,79.3738908735708,387555.2429426692,440105.40113568044,52550.158193011244,0.0,440.10540113568044,13.071130413729708,0.4401054011356804,2.43202244667577,0.0,456.04865939722157,52094.10953361402,0.1355939808580656,SellReason.MARKET_EXIT
GOLDBEES,2022-12-27 00:00:00,0,2023-05-02 00:00:00,,126,29875.381077861988,46.939998626708984,51.529998779296875,1404015.8268454648,1539478.3504732572,135462.52362779249,0.0,1539.4783504732573,45.72250700905574,1.5394783504732572,8.50715736471522,0.0,1595.2474931975014,133867.27613459498,0.09648219132411702,SellReason.MARKET_EXIT
BANKINDIA,2023-05-02 00:00:00,3,2023-05-09 00:00:00,12,7,6789.24106411956,75.4163247188387,72.92615730816827,512627.70099335327,495113.2618450588,-17514.43914829445,0.0,495.11326184505884,14.704863876798248,0.49511326184505877,2.7359958849557953,0.0,513.0492348686579,-18027.488383163105,-0.03416600217732194,SellReason.RANK_EXIT
PFC,2023-05-02 00:00:00,2,2023-05-18 00:00:00,21,16,4263.2757896579615,120.10004371009587,116.27452475603468,512627.70099335327,495710.36634638795,-16917.33464696532,0.0,495.71036634638796,14.722597880487722,0.49571036634638793,2.73929548443014,0.0,513.6679700776522,-17431.00261704297,-0.03300121045777171,SellReason.RANK_EXIT
APARINDS,2023-05-02 00:00:00,1,2023-05-19 00:00:00,10,17,184.48953688374903,2775.3314216878853,2667.6900675871407,512627.70099335327,492160.9051185287,-20466.795874824573,0.0,492.1609051185287,14.617178882020303,0.49216090511852867,2.7196811616849894,0.0,509.98992606735254,-20976.785800891925,-0.039925263178647356,SellReason.RANK_EXIT
APARINDS,2023-05-23 00:00:00,3,2023-05-31 00:00:00,11,8,178.72626545741855,2759.6960272606384,2655.5723372556113,493815.9420596539,474620.5264897238,-19195.415569930105,0.0,474.62052648972383,14.096229636744798,0.4746205264897238,2.622753029382214,0.0,491.8141296823406,-19687.229699612446,-0.038871599588032865,SellReason.RANK_EXIT
WSI,2023-05-23 00:00:00,1,2023-06-15 00:00:00,,23,6134.703425238231,80.4000015258789,84.9000015258789,493815.942059654,520836.3301635404,27020.38810388639,0.0,520.8363301635404,15.468839005857149,0.5208363301635404,2.8781415604837237,0.0,539.7041470600449,26480.683956826346,0.05471752894648807,SellReason.RANK_EXIT
APARINDS,2023-06-22 00:00:00,1,2023-06-27 00:00:00,23,5,159.3211865494171,3117.117524344457,3274.598209916426,497212.6691882609,521712.87227648223,24500.203088221315,0.0,521.7128722764822,15.494872306611523,0.5217128722764822,2.8829853321998407,0.0,540.6124427875701,23959.590645433746,0.04927509817523322,SellReason.RANK_EXIT
APOLLOTYRE,2023-05-23 00:00:00,2,2023-06-28 00:00:00,11,36,1386.985296624889,355.6131171326776,386.32080083218216,493815.9420596539,535821.2705345888,42005.32847493491,0.0,535.8212705345888,15.91389173487729,0.5358212705345888,2.9609483409741384,0.0,555.2319318809749,41450.096543053936,0.08506272255961429,SellReason.RANK_EXIT
TMPV,2023-07-24 00:00:00,3,2023-08-09 00:00:00,12,16,862.4049907800309,611.7689108599686,596.7199483287636,528219.1492182013,514614.2615367279,-13604.887681473396,0.0,514.6142615367279,15.284043567640818,0.5146142615367278,2.8437584092519583,0.0,533.2566777751573,-14138.144359248554,-0.025756142505642808,SellReason.RANK_EXIT
PFC,2023-06-22 00:00:00,2,2023-10-30 00:00:00,,130,3310.1891099231057,150.0285470409504,213.74310615408152,497212.6691882609,707530.1023123789,210317.43312411802,0.0,707.530102312379,21.013644038677654,0.7075301023123789,3.909811345378206,0.0,733.1610877987472,209584.27203631928,0.4229929085827155,SellReason.MARKET_EXIT
APARINDS,2023-07-24 00:00:00,1,2023-10-30 00:00:00,,98,143.2457575034394,3683.1287091838167,4960.264948557905,528219.1492182013,710536.9099739359,182317.76075573463,0.0,710.536909973936,21.102946226225896,0.7105369099739359,3.9264269645159695,0.0,736.2768200746517,181581.48393565998,0.34515553066483257,SellReason.MARKET_EXIT
LUPIN,2023-08-22 00:00:00,3,2023-10-30 00:00:00,,69,475.4936061850336,1079.8698067142268,1127.0187171628604,514081.0048589527,535890.194061799,21809.18920284626,0.0,535.890194061799,15.91593876363543,0.5358901940617989,2.961329212385501,0.0,555.3033522318817,21253.88585061438,0.04242364334941728,SellReason.MARKET_EXIT
GOLDBEES,2023-10-30 00:00:00,0,2023-12-04 00:00:00,,35,37277.572858283136,52.29999923706055,54.349998474121094,1951932.4650880087,2026036.0279666265,74103.56287861778,0.0,2026.0360279666265,60.173270030608805,2.0260360279666263,11.195875090543577,0.0,2099.431209115746,72004.13166950204,0.03796420429703576,SellReason.MARKET_EXIT
BSOFT,2023-12-04 00:00:00,3,2024-02-27 00:00:00,10,85,1071.9739771688191,628.6022464472957,761.1446725875304,674645.5322525036,815927.2818745136,141281.74962201004,0.0,815.9272818745136,24.233040271673055,0.8159272818745136,4.508814159638562,0.0,845.4850635876998,140436.26455842235,0.209416268051608,SellReason.RANK_EXIT
PFC,2023-12-04 00:00:00,2,2024-03-18 00:00:00,10,105,1937.8453779901565,347.7291108128776,346.03218504103216,674645.5322525036,670556.8704175988,-4088.6618349048076,0.0,670.5568704175988,19.915539051402682,0.6705568704175987,3.7054972659276504,0.0,694.8484636053468,-4783.510298510155,-0.006060459366348431,SellReason.RANK_EXIT
RECLTD,2023-12-04 00:00:00,1,2024-04-24 00:00:00,10,142,1940.8659790452941,347.18793438422995,398.9041093851152,674645.5322525036,774219.4148069327,99573.88255442912,0.0,774.2194148069327,22.9943166197659,0.7742194148069327,4.27833648622311,0.0,802.2662873277286,98771.61626710139,0.14759437036805428,SellReason.RANK_EXIT
OFSS,2024-03-22 00:00:00,1,2024-04-26 00:00:00,20,35,99.45328687883932,7456.67833786868,6429.643774238141,742471.9093824597,639449.2068080491,-103022.70257441059,0.0,639.4492068080491,18.991641442199057,0.6394492068080491,3.533596316821279,0.0,662.6138937738775,-103685.31646818446,-0.13875636407591263,SellReason.RANK_EXIT
BAJAJ-AUTO,2024-03-22 00:00:00,3,2024-04-30 00:00:00,11,39,89.35052681535126,8299.796277998757,8394.576384621489,742471.9093824597,750059.8223576368,7587.912975177052,0.0,750.0598223576368,22.27677672402181,0.7500598223576367,4.144830578348301,0.0,777.2314894823646,6810.681485694688,0.010219798054701072,SellReason.RANK_EXIT
ABB,2024-05-22 00:00:00,3,2024-07-19 00:00:00,10,58,85.25699702096131,8440.841207380005,7794.581350007791,720495.4441006782,664542.5989372549,-55952.845163423335,0.0,664.5425989372549,19.73691518843647,0.6645425989372549,3.6722624017272705,0.0,688.6163191263558,-56641.46148254969,-0.07765884659168612,SellReason.RANK_EXIT
HINDZINC,2024-05-22 00:00:00,1,2024-08-19 00:00:00,35,89,1009.1408083714196,713.122259750234,454.98685595568037,720495.4441006783,459145.8036174859,-261349.6404831924,0.0,459.1458036174859,13.636630367439333,0.4591458036174859,2.5372397107902276,0.0,475.778819499333,-261825.41930269173,-0.362736007039446,SellReason.RANK_EXIT
