symbol,total_invested_amount,closed_invested_amount,open_invested_amount,realized_pnl,unrealized_pnl,total_pnl,total_return_pct,closed_trades,winning_trades,losing_trades,total_transaction_cost,open_market_value
APARINDS,2748471.075170243,2112412.342575016,636058.7325952274,194259.52288794355,167249.25650925003,361508.7793971936,0.13153086552850163,5,3,2,2392.7127516249866,803307.9891044775
TRENT,599471.1983831471,599471.1983831471,0.0,341420.19447979034,0.0,341420.19447979034,0.5695356097184412,1,1,0,975.9874680508588,0.0
ADANIENSOL,1353764.3392779073,658257.9902471998,695506.3490307074,97472.8853179308,208172.5488866308,305645.43420456164,0.22577447590885114,2,2,0,783.9203008610331,903678.8979173382
ADANIENT,669523.1814196601,669523.1814196601,0.0,170479.5093412754,0.0,170479.5093412754,0.25462824002566997,2,2,0,871.3355287660723,0.0
PFC,1432531.0094805276,1432531.0094805276,0.0,161794.2073547532,0.0,161794.2073547532,0.11294290056131065,3,1,2,1653.7949474635861,0.0
BSOFT,561322.863336151,561322.863336151,0.0,116846.67335596125,0.0,116846.67335596125,0.2081630394698301,1,1,0,703.4658559383563,0.0
MUTHOOTFIN,663144.1560862791,663144.1560862791,0.0,97039.12540089275,0.0,97039.12540089275,0.1463318714494822,1,1,0,788.5387854338012,0.0
NH,633092.4741068633,633092.4741068633,0.0,82935.92690882813,0.0,82935.92690882813,0.13100128385798646,1,1,0,742.7368891465786,0.0
RECLTD,561322.863336151,561322.863336151,0.0,82180.58789224747,0.0,82180.58789224747,0.14640520324402537,1,1,0,667.5066950451784,0.0
ARVIND,976251.2320656442,340192.4994704168,636058.7325952274,-22920.36342016788,88571.98407560261,65651.62065543473,0.06724869429001677,1,0,1,329.1066653341978,724630.71667083
APOLLOTYRE,426024.2352372564,426024.2352372564,0.0,35759.77236905774,0.0,35759.77236905774,0.0839383523548674,1,1,0,479.0089566009232,0.0
BANKINDIA,808483.676981925,808483.676981925,0.0,33675.00315631388,0.0,33675.00315631388,0.04165205076498624,2,1,1,873.571938440409,0.0
BAJFINANCE,633092.4741068633,633092.4741068633,0.0,31921.536813615046,0.0,31921.536813615046,0.050421602086880644,1,1,0,689.8196175030503,0.0
CANBK,622933.3260416561,622933.3260416561,0.0,27990.935819825252,0.0,27990.935819825252,0.04493407986002257,1,1,0,675.204308431384,0.0
WSI,426024.2352372564,426024.2352372564,0.0,22845.38057684576,0.0,22845.38057684576,0.05362460322033788,1,1,0,465.61284665422096,0.0
SBICARD,633092.4741068633,633092.4741068633,0.0,21573.9773017324,0.0,21573.9773017324,0.03407713435887536,1,1,0,679.086084934771,0.0
LUPIN,443507.2833646562,443507.2833646562,0.0,18336.12424005969,0.0,18336.12424005969,0.041343456867163876,1,1,0,479.07057227142684,0.0
BASF,714958.8823626973,714958.8823626973,0.0,13549.379064743394,0.0,13549.379064743394,0.018951270344341034,2,1,1,755.6822593107477,0.0
BAJAJ-AUTO,617756.1966944678,617756.1966944678,0.0,5666.6664938200975,0.0,5666.6664938200975,0.009172982034242124,1,1,0,646.677083437609,0.0
BAJAJFINSV,322068.14216087305,322068.14216087305,0.0,-5101.106940460052,0.0,-5101.106940460052,-0.015838595230918708,1,0,1,328.7901839754879,0.0
HDFCAMC,659840.2311645369,659840.2311645369,0.0,-5602.3553987537,0.0,-5602.3553987537,-0.00849047259344316,1,0,1,678.6415230441324,0.0
ABREL,333333.3333333333,333333.3333333333,0.0,-11414.143415821973,0.0,-11414.143415821973,-0.03424243024746592,1,0,1,333.92705839147186,0.0
TMPV,455704.5245335029,455704.5245335029,0.0,-12197.241168846655,0.0,-12197.241168846655,-0.026765679321118802,1,0,1,460.0504944955334,0.0
ASAHIINDIA,317272.1360502489,317272.1360502489,0.0,-21925.06591693203,0.0,-21925.06591693203,-0.0691049210620235,1,0,1,306.36377520529226,0.0
PAYTM,663144.1560862791,663144.1560862791,0.0,-22245.025048621315,0.0,-22245.025048621315,-0.03354478033842027,1,0,1,664.8052314243658,0.0
MARUTI,663144.1560862791,663144.1560862791,0.0,-40210.830044622955,0.0,-40210.830044622955,-0.06063663484865466,1,0,1,646.1692861255259,0.0
BEL,659840.2311645369,659840.2311645369,0.0,-40674.039687174416,0.0,-40674.039687174416,-0.06164225484613106,1,0,1,642.2616341339135,0.0
SHRIRAMFIN,695506.3490307074,695506.3490307074,0.0,-51590.19289673036,0.0,-51590.19289673036,-0.0741764513992274,1,0,1,667.9347942061476,0.0
ABB,1631167.3955001812,1631167.3955001812,0.0,-84391.89081554783,0.0,-84391.89081554783,-0.05173711235790726,3,1,2,1604.4715892944273,0.0
OFSS,1170100.206320024,1170100.206320024,0.0,-86518.06315282275,0.0,-86518.06315282275,-0.0739407297644386,2,0,2,1124.0007086438918,0.0
HINDZINC,1240370.329420805,1240370.329420805,0.0,-183333.27664797206,0.0,-183333.27664797206,-0.1478052741986985,2,1,1,1096.465463067514,0.0
