symbol,entry_date,entry_rank,exit_date,exit_rank,holding_days,quantity,entry_price,exit_price,cost_value,proceeds,gross_realized_pnl,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,total_transaction_cost,net_realized_pnl,return_pct,sell_reason
ARVIND,2021-08-10 00:00:00,4,2021-08-18 00:00:00,16,8,2057.288959208793,97.0999984741211,95.80000305175781,200000.0,197088.28857055004,-2911.7114294499625,0.0,197.08828857055005,5.853522170545336,0.19708828857055002,1.0891098826408594,0.0,204.2280089123068,-3115.9394383622694,-0.014558557147249813,SellReason.RANK_EXIT
ABREL,2021-08-10 00:00:00,3,2021-08-30 00:00:00,10,20,259.9210623844463,768.5516247411038,743.8868878565797,200000.0,193351.8701855417,-6648.1298144583125,0.0,193.35187018554169,5.742550544510588,0.19335187018554167,1.0684624346453033,0.0,200.35623503488313,-6848.486049493195,-0.033240649072291566,SellReason.RANK_EXIT
BASF,2021-08-10 00:00:00,2,2021-09-08 00:00:00,10,29,54.83468427120505,3643.0,3529.35009765625,200000.0,193530.79828752717,-6469.20171247283,0.0,193.53079828752718,5.747864709139557,0.19353079828752717,1.069451191336875,0.0,200.54164498629112,-6669.743357459121,-0.03234600856236415,SellReason.RANK_EXIT
BALRAMCHIN,2021-08-24 00:00:00,1,2021-09-09 00:00:00,14,16,569.514446563391,345.2950364238484,345.1982802782698,196884.06056163774,196595.40754731314,-288.65301432460546,0.0,196.59540754731313,5.838883604155201,0.19659540754731314,1.0863862221064524,0.0,203.7172727811221,-492.3702871057276,-0.0014661065680034468,SellReason.RANK_EXIT
BSOFT,2021-08-10 00:00:00,5,2021-09-15 00:00:00,11,36,527.6197214478831,378.6112358571723,384.33126453742824,200000.0,202780.75473895055,2780.754738950549,0.0,202.78075473895055,6.0225884157468315,0.20278075473895055,1.1205664506874407,0.0,210.12669036012377,2570.6280485904254,0.013903773694752744,SellReason.RANK_EXIT
APOLLOHOSP,2021-09-22 00:00:00,3,2021-09-28 00:00:00,12,6,40.3190505010685,4864.402589884657,4523.6472968829385,196361.02222904254,182389.1638120452,-13971.858416997333,0.0,182.3891638120452,5.416958165217743,0.1823891638120452,1.0078825192253618,0.0,188.99639366030038,-14160.854810657633,-0.07115392993167481,SellReason.RANK_EXIT
ADANIENT,2021-08-10 00:00:00,1,2021-10-08 00:00:00,10,59,134.54884495925447,1484.685764939077,1518.6100551899126,200000.0,204327.2288693124,4327.228869312414,0.0,204.32722886931242,6.068518697418579,0.2043272288693124,1.1291122667318203,0.0,211.72918706233213,4115.499682250082,0.02163614434656207,SellReason.RANK_EXIT
ABREL,2021-09-22 00:00:00,4,2021-10-26 00:00:00,15,34,235.7898828473478,831.7918110424727,780.3906332190586,196361.02222904254,184008.2159818894,-12352.806247153145,0.0,184.0082159818894,5.465044014662115,0.18400821598188938,1.0168294015159207,0.0,190.67409761404934,-12543.480344767195,-0.06290864707734302,SellReason.RANK_EXIT
ADANIENT,2021-10-22 00:00:00,4,2021-10-29 00:00:00,22,7,121.2246472564362,1591.49734870285,1396.881547634819,193157.8335503175,169336.47287105562,-23821.36067926188,0.0,169.33647287105563,5.029293244270352,0.1693364728710556,0.9357533490854534,0.0,175.4708559372825,-23996.831535199162,-0.12332588454434301,SellReason.RANK_EXIT
ARVIND,2021-10-22 00:00:00,3,2021-11-22 00:00:00,10,31,1439.766453030272,134.0,125.25,193157.8335503175,180330.74824204156,-12827.085308275942,0.0,180.33074824204158,5.355823222788635,0.18033074824204157,0.9965077147855217,0.0,186.86340992785776,-13013.9487182038,-0.06640727467537315,SellReason.RANK_EXIT
BAJAJFINSV,2021-09-22 00:00:00,2,2021-11-25 00:00:00,12,64,111.82489708521864,1753.8857516642656,1729.9492679222058,196361.02222904252,193451.39884804998,-2909.6233809925325,0.0,193.45139884805,5.745506545787085,0.19345139884805,1.0690124300343242,0.0,200.45936922271946,-3110.082750215252,-0.014817723741520574,SellReason.RANK_EXIT
