rebalance_date,decision_date,action,symbol,reason,rank_before,rank_after,score,weight_before,weight_after,quantity,entry_price,exit_price,trade_value,transaction_cost,portfolio_value,cash_after,notes
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,PRAJIND,NEW_POSITION,,1,0.7890011268299528,,0.1,266.56358192167073,374.70001220703125,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,DEEPAKFERT,NEW_POSITION,,2,0.7209390706005374,,0.1,225.5200141802042,442.8936285902709,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ADANIENT,NEW_POSITION,,3,0.6785060765019689,,0.1,67.27442247962723,1484.685764939077,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,DALMIASUG,NEW_POSITION,,4,0.6688026203845319,,0.1,238.3803756563246,419.0,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,BASF,NEW_POSITION,,5,0.6047543294460878,,0.1,27.417342135602524,3643.0,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,JSL,NEW_POSITION,,6,0.578340449408732,,0.1,634.8556045851021,157.3292835073506,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,COFORGE,NEW_POSITION,,7,0.5537019508741089,,0.1,109.55296798349303,911.7176762846781,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ABREL,NEW_POSITION,,8,0.5415052969655791,,0.1,129.96053119222316,768.5516247411038,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,IRCTC,NEW_POSITION,,9,0.5248975642912207,,0.1,196.16514576319057,509.16984773929323,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ARVIND,NEW_POSITION,,10,0.5216877321850448,,0.1,1028.6444796043966,97.0999984741211,,100000.0,118.62260000000242,967027.9430368126,0.0,
2021-08-18 00:00:00,2021-08-18 00:00:00,SELL,ARVIND,SellReason.RANK_EXIT,,,,,,1028.6444796043966,97.0999984741211,95.80000305175781,98544.14428527502,102.1140044561534,969043.9462650504,98442.03028081887,
2021-08-24 00:00:00,2021-08-24 00:00:00,SELL,JSL,SellReason.RANK_EXIT,,,,,,634.8556045851021,157.3292835073506,126.69925328868743,80435.73104707064,83.34959583998184,940270.2125201677,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,SELL,IRCTC,SellReason.RANK_EXIT,,,,,,196.16514576319057,509.16984773929323,491.0192378054331,96320.86035663351,99.8101798439129,940270.2125201677,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,BALRAMCHIN,NEW_POSITION,,5,0.6442716073098907,,0.09938843329597576,265.1734530779072,345.2950364238484,,91671.8206362797,108.74349710608658,940270.2125201677,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,BSOFT,NEW_POSITION,,7,0.6079072010907622,,0.09938843329597576,234.2635772342549,390.854943052517,,91671.8206362797,108.74349710608658,940270.2125201677,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,LTTS,NEW_POSITION,,8,0.589693398157621,,0.09938843329597576,24.59682168918891,3722.557259477899,,91671.8206362797,108.74349710608658,940270.2125201677,0.0,
2021-09-02 00:00:00,2021-09-02 00:00:00,SELL,LTTS,SellReason.RANK_EXIT,,,,,,24.59682168918891,3722.557259477899,3679.3113145270436,90499.36434243695,93.77779431510606,976358.0376417534,90405.58654812185,
2021-09-07 00:00:00,2021-09-07 00:00:00,SELL,BASF,SellReason.RANK_EXIT,,,,,,27.417342135602524,3643.0,3594.39990234375,98548.8918947349,102.11892405251358,974869.1638677027,374475.47834138724,
2021-09-07 00:00:00,2021-09-07 00:00:00,SELL,BALRAMCHIN,SellReason.RANK_EXIT,,,,,,265.1734530779072,345.2950364238484,357.44206656379185,94784.14706602384,98.21779757763763,974869.1638677027,374475.47834138724,
2021-09-07 00:00:00,2021-09-07 00:00:00,SELL,BSOFT,SellReason.RANK_EXIT,,,,,,234.2635772342549,390.854943052517,388.585882002855,91031.51878071688,94.32922658006711,974869.1638677027,374475.47834138724,
2021-09-16 00:00:00,2021-09-16 00:00:00,SELL,DEEPAKFERT,SellReason.RANK_EXIT,,,,,,225.5200141802042,442.8936285902709,397.8314861575004,89718.96239957122,92.96912153145809,976726.1596709683,464101.471619427,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,ADANIENSOL,NEW_POSITION,,1,0.7764290866958443,,0.09548429544305308,59.39914503913497,1560.800048828125,,92820.29432388539,110.10584645465133,985899.5789878184,0.0,
