year,symbol,streak_start_date,filter_trigger_date,streak_end_date,consecutive_lower_circuit_days
2010,CGCL,2010-11-25,2010-11-29,2010-12-15,15
2011,GALLANTT,2011-11-16,2011-11-18,2011-11-25,8
2012,NEULANDLAB,2012-12-14,2012-12-18,2012-12-18,3
2013,MMTC,2013-06-13,2013-06-17,2013-07-16,24
2013,GRAVITA,2013-02-27,2013-03-01,2013-03-13,11
2013,GRAVITA,2013-03-15,2013-03-19,2013-04-02,11
2013,PGEL,2013-03-05,2013-03-07,2013-03-15,9
2013,MCX,2013-08-02,2013-08-06,2013-08-07,4
2013,WOCKPHARMA,2013-08-02,2013-08-06,2013-08-07,4
2013,WOCKPHARMA,2013-09-30,2013-10-03,2013-10-04,4
2013,JWL,2013-04-30,2013-05-03,2013-05-03,3
2013,LINDEINDIA,2013-04-12,2013-04-16,2013-04-16,3
2014,SUZLON,2014-09-22,2014-09-24,2014-09-30,7
2014,TITAGARH,2014-07-09,2014-07-11,2014-07-15,5
2014,RKFORGE,2014-01-28,2014-01-30,2014-01-30,3
2014,SUZLON,2014-06-13,2014-06-17,2014-06-17,3
2016,WELSPUNLIV,2016-08-22,2016-08-24,2016-08-24,3
2017,OLECTRA,2017-05-30,2017-06-01,2017-06-12,10
2017,HFCL,2017-09-19,2017-09-21,2017-09-22,4
2017,ABCAPITAL,2017-09-04,2017-09-06,2017-09-06,3
2018,ADANIGREEN,2018-08-13,2018-08-16,2018-08-16,3
2019,TTML,2019-06-10,2019-06-12,2019-06-14,5
2019,IIFL,2019-05-31,2019-06-04,2019-06-06,4
2019,RPOWER,2019-11-13,2019-11-15,2019-11-15,3
2020,JPPOWER,2020-02-17,2020-02-19,2020-03-13,18
2020,PATANJALI,2020-06-30,2020-07-02,2020-07-09,8
2020,JPPOWER,2020-03-17,2020-03-19,2020-03-25,7
2020,PGEL,2020-03-23,2020-03-25,2020-03-30,6
2020,TTML,2020-04-28,2020-04-30,2020-05-06,6
2020,ADANIGREEN,2020-06-25,2020-06-29,2020-07-01,5
2020,PATANJALI,2020-05-20,2020-05-22,2020-05-27,5
2020,ADANIGREEN,2020-01-13,2020-01-15,2020-01-16,4
2020,RPOWER,2020-01-16,2020-01-20,2020-01-21,4
2020,RPOWER,2020-01-29,2020-01-31,2020-02-03,4
2020,AFFLE,2020-03-23,2020-03-25,2020-03-25,3
2020,COHANCE,2020-03-19,2020-03-23,2020-03-23,3
2020,IDBI,2020-07-08,2020-07-10,2020-07-10,3
2020,RPOWER,2020-01-10,2020-01-14,2020-01-14,3
2020,RPOWER,2020-07-06,2020-07-08,2020-07-08,3
2020,TTML,2020-11-10,2020-11-12,2020-11-12,3
2021,ATGL,2021-06-25,2021-06-29,2021-07-05,7
2021,TTML,2021-02-09,2021-02-11,2021-02-15,5
2021,SUZLON,2021-01-11,2021-01-13,2021-01-14,4
2021,ADANIENSOL,2021-06-16,2021-06-18,2021-06-18,3
2021,ADANIENSOL,2021-07-01,2021-07-05,2021-07-05,3
2021,ADANIENSOL,2021-09-17,2021-09-21,2021-09-21,3
2021,ADANIPOWER,2021-06-16,2021-06-18,2021-06-18,3
2021,ATGL,2021-06-16,2021-06-18,2021-06-18,3
2021,PGEL,2021-03-17,2021-03-19,2021-03-19,3
2021,TTML,2021-07-08,2021-07-12,2021-07-12,3
2022,TTML,2022-01-12,2022-01-14,2022-02-01,14
2022,TTML,2022-02-10,2022-02-14,2022-02-15,4
2022,TTML,2022-02-22,2022-02-24,2022-02-25,4
2023,ATGL,2023-02-20,2023-02-22,2023-02-28,7
2023,ATGL,2023-02-08,2023-02-10,2023-02-15,6
2023,ADANIENSOL,2023-02-21,2023-02-23,2023-02-27,5
2023,ADANIENSOL,2023-02-10,2023-02-14,2023-02-15,4
2023,ADANIGREEN,2023-02-02,2023-02-06,2023-02-06,3
2023,ADANIGREEN,2023-02-13,2023-02-15,2023-02-15,3
2023,ADANIPOWER,2023-02-02,2023-02-06,2023-02-06,3
2023,ATGL,2023-02-02,2023-02-06,2023-02-06,3
2023,AWL,2023-02-02,2023-02-06,2023-02-06,3
2023,JIOFIN,2023-08-22,2023-08-24,2023-08-24,3
2024,SCHNEIDER,2024-05-24,2024-05-28,2024-05-30,5
2024,TATAINVEST,2024-03-12,2024-03-14,2024-03-15,4
2024,IREDA,2024-02-09,2024-02-13,2024-02-13,3
2024,PAYTM,2024-02-01,2024-02-05,2024-02-05,3
2025,ZENTEC,2025-07-28,2025-07-30,2025-07-30,3
2026,SCHNEIDER,2026-05-29,2026-06-02,2026-06-03,4
