symbol,total_invested_amount,closed_invested_amount,open_invested_amount,realized_pnl,unrealized_pnl,total_pnl,total_return_pct,closed_trades,winning_trades,losing_trades,total_transaction_cost,open_market_value
GOLDBEES,15279531.007777823,15279531.007777823,0.0,1197281.1702644548,0.0,1197281.1702644548,0.07835850260423545,5,4,1,17091.411741227006,0.0
BLISSGVS,908738.2015744469,0.0,908738.2015744469,0.0,759736.7927883079,759736.7927883079,0.8360348354146612,0,0,0,0.0,1668474.9943627547
GVT&D,1780611.651340474,1780611.651340474,0.0,679820.1073842081,0.0,679820.1073842081,0.3817902162284675,3,3,0,2552.2080239280453,0.0
JINDALSAW,313126.18880832,313126.18880832,0.0,522769.4553705474,0.0,522769.4553705474,1.669516872287423,1,1,0,867.0752857399322,0.0
BSE,1311572.5267487029,1311572.5267487029,0.0,417662.3941049492,0.0,417662.3941049492,0.3184439942031305,2,2,0,1793.7369019114167,0.0
COCHINSHIP,763215.6489628082,763215.6489628082,0.0,366135.5289651393,0.0,366135.5289651393,0.47972749178126617,1,1,0,1171.4769685928225,0.0
ACUTAAS,908738.2015744469,0.0,908738.2015744469,0.0,357199.9570979567,357199.9570979567,0.39307245637861926,0,0,0,0.0,1265938.1586724035
RECLTD,436779.37039900094,436779.37039900094,0.0,271765.24397969426,0.0,271765.24397969426,0.6222025635767432,1,1,0,734.973950696212,0.0
HSCL,436779.37039900094,436779.37039900094,0.0,182317.3299012131,0.0,182317.3299012131,0.41741286850307274,1,1,0,642.1895508748344,0.0
JSL,313126.18880832,313126.18880832,0.0,179012.91750828226,0.0,179012.91750828226,0.5716957696498037,1,1,0,510.49632714912394,0.0
LTF,937724.9097551657,937724.9097551657,0.0,154552.70520022837,0.0,154552.70520022837,0.16481667874278946,1,1,0,1133.0205291656232,0.0
FACT,606721.6149499229,606721.6149499229,0.0,150792.52553796137,0.0,150792.52553796137,0.24853659705268183,2,1,1,785.7700831313613,0.0
GODFRYPHLP,874793.156349702,874793.156349702,0.0,131576.9343192378,0.0,131576.9343192378,0.15040919486416215,1,1,0,1043.9085787844724,0.0
HINDCOPPER,1519915.2253144206,1519915.2253144206,0.0,114034.69474020452,0.0,114034.69474020452,0.0750270099548575,2,1,1,1694.8976869090393,0.0
ELECON,460979.97912082117,460979.97912082117,0.0,102999.82149033637,0.0,102999.82149033637,0.22343664834810645,2,2,0,585.0167424270355,0.0
BSOFT,835895.6441788673,835895.6441788673,0.0,89891.57810302854,0.0,89891.57810302854,0.10753923498588454,1,1,0,960.3198986435717,0.0
JBMA,275039.1583376285,275039.1583376285,0.0,83294.62117990627,0.0,83294.62117990627,0.3028464080654897,1,1,0,371.6999441606749,0.0
OLECTRA,178245.0178868877,178245.0178868877,0.0,82658.27755525097,0.0,82658.27755525097,0.4637340136356854,1,1,0,270.63521747168545,0.0
TRIDENT,178245.0178868877,178245.0178868877,0.0,78935.86176468569,0.0,78935.86176468569,0.44285031189358404,1,1,0,266.7739523033308,0.0
MCX,756699.5763516126,756699.5763516126,0.0,72437.42753515331,0.0,72437.42753515331,0.09572811958532683,1,1,0,860.0645422299045,0.0
SHOPERSTOP,260979.97912082117,260979.97912082117,0.0,65501.94933638041,0.0,65501.94933638041,0.25098457574041017,1,1,0,338.6599910854146,0.0
WOCKPHARMA,433779.9086961742,433779.9086961742,0.0,47743.57733935285,0.0,47743.57733935285,0.11006405871322443,1,1,0,499.4847349095665,0.0
KARURVYSYA,259916.8457779304,259916.8457779304,0.0,43900.81425586973,0.0,43900.81425586973,0.1689033049184431,1,1,0,315.15032554742527,0.0
FLUOROCHEM,200000.0,200000.0,0.0,36354.96277336275,0.0,36354.96277336275,0.18177481386681374,1,1,0,245.17121043749742,0.0
AEGISLOG,834662.8525201331,0.0,834662.8525201331,0.0,35156.443491123966,35156.443491123966,0.042120532122610486,0,0,0,0.0,869819.2960112571
SAREGAMA,345030.55758569145,345030.55758569145,0.0,29771.796071135323,0.0,29771.796071135323,0.08628741836508562,2,2,0,388.78281057707204,0.0
ATGL,260979.97912082117,260979.97912082117,0.0,27117.420360327982,0.0,27117.420360327982,0.10390613276803859,1,1,0,298.84368547157476,0.0
NH,874793.156349702,874793.156349702,0.0,24960.94639421185,0.0,24960.94639421185,0.028533541001129658,1,1,0,933.3157208861059,0.0
UNIONBANK,293595.4261416029,293595.4261416029,0.0,5271.3557187012475,0.0,5271.3557187012475,0.017954488555822528,1,1,0,310.01477527049497,0.0
WSTCSTPAPR,259916.8457779304,259916.8457779304,0.0,286.2339443021617,0.0,286.2339443021617,0.0011012519925188548,1,1,0,269.9088830905396,0.0
MRPL,524172.8429152415,524172.8429152415,0.0,-2361.0932728247117,0.0,-2361.0932728247117,-0.004504417397309725,1,0,1,541.2757861277189,0.0
POONAWALLA,200000.0,200000.0,0.0,-6715.998367467952,0.0,-6715.998367467952,-0.033579991837339764,1,0,1,200.49366462379058,0.0
ITI,436779.3703990009,436779.3703990009,0.0,-7530.384868731908,0.0,-7530.384868731908,-0.01724070635903168,1,0,1,445.26034963114535,0.0
KTKBANK,293595.4261416029,293595.4261416029,0.0,-18753.785715843987,0.0,-18753.785715843987,-0.0638762870467843,1,0,1,285.0934749630095,0.0
PRAJIND,200000.0,200000.0,0.0,-19616.934610490378,0.0,-19616.934610490378,-0.09808467305245189,1,0,1,187.11151213007852,0.0
ADANIPOWER,1020986.5936500842,1020986.5936500842,0.0,-28007.896038631865,0.0,-28007.896038631865,-0.027432187859100156,2,1,1,1030.017675006426,0.0
CARTRADE,874793.156349702,874793.156349702,0.0,-32618.351733466145,0.0,-32618.351733466145,-0.037286930626634705,1,0,1,873.5886643755949,0.0
GMDCLTD,937724.9097551657,937724.9097551657,0.0,-37886.716107079184,0.0,-37886.716107079184,-0.04040280439704985,1,0,1,933.4029484548477,0.0
FINCABLES,313126.18880832,313126.18880832,0.0,-38087.030470691454,0.0,-38087.030470691454,-0.12163476525435696,1,0,1,285.2983604664402,0.0
RSWM,200000.0,200000.0,0.0,-48253.444046840574,0.0,-48253.444046840574,-0.24126722023420286,1,0,1,157.40683574489518,0.0
NETWEB,1546462.2246550303,1546462.2246550303,0.0,-54281.800047259894,0.0,-54281.800047259894,-0.03510063109324804,2,1,1,1547.8400647885871,0.0
ADANIENSOL,834662.8525201331,0.0,834662.8525201331,0.0,-58241.72607762134,-58241.72607762134,-0.06977874467729049,0,0,0,0.0,776421.1264425118
SCHNEIDER,594100.709073699,594100.709073699,0.0,-69253.77029548802,0.0,-69253.77029548802,-0.11656907530621546,1,0,1,544.4241904835984,0.0
SYRMA,1697731.5242844287,937724.9097551657,760006.614529263,-118558.9263518609,33928.00098781311,-84630.92536404778,-0.04984941620832457,1,0,1,849.721593926461,793934.6155170761
RVNL,837973.1275865309,837973.1275865309,0.0,-94989.21620836237,0.0,-94989.21620836237,-0.11335592166534432,2,1,1,770.6978637162813,0.0
NATIONALUM,1808576.3952225335,1808576.3952225335,0.0,-101041.38473103126,0.0,-101041.38473103126,-0.055867910804286915,2,1,1,1771.2275658372046,0.0
IFCI,925787.2222818959,925787.2222818959,0.0,-107900.53873497486,0.0,-107900.53873497486,-0.11655004102240664,1,0,1,848.3945750620301,0.0
CHENNPETRO,1054948.8185795106,1054948.8185795106,0.0,-128979.3572048786,0.0,-128979.3572048786,-0.12226124616978994,2,0,2,960.5089354144984,0.0
NAVA,618531.7112052739,618531.7112052739,0.0,-129745.66012221893,0.0,-129745.66012221893,-0.20976395837393028,1,0,1,507.01820001091414,0.0
BDL,806997.0759459902,806997.0759459902,0.0,-137515.15634646517,0.0,-137515.15634646517,-0.17040353731798236,1,0,1,694.4541830992737,0.0
MAHSCOOTER,937724.9097551657,937724.9097551657,0.0,-143756.07029647622,0.0,-143756.07029647622,-0.15330303034608525,1,0,1,823.5845743860978,0.0
SOLARINDS,806997.0759459902,806997.0759459902,0.0,-155511.2106109477,0.0,-155511.2106109477,-0.1927035614455629,1,0,1,675.7868602076753,0.0
HINDZINC,594100.709073699,594100.709073699,0.0,-160320.80037752478,0.0,-160320.80037752478,-0.269854585138421,1,0,1,449.9602802099226,0.0
AVANTIFEED,1783531.357924149,1783531.357924149,0.0,-270353.401820148,0.0,-270353.401820148,-0.15158320632770492,2,0,2,1569.620822648394,0.0
