year,beginning_value,ending_value,annual_return,realized_pnl,unrealized_pnl,buy_value,sell_value,turnover,buy_transaction_costs,sell_transaction_costs,transaction_costs,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2016,1000000,1123702.0749468703,0.12370207494687033,216501.2753110739,-92799.20036420343,5779632.095879731,6002353.165602184,11.781985261481914,6855.949862567126,6219.794411379289,13075.744273946415,14,8,6,0.5714285714285714,2.4711227496848926,0.15872888858624531
2017,1123702.0749468703,1223027.2706628977,0.08839104058851506,125396.41619845691,97630.85446444119,13802083.702759955,13941927.106316082,24.68982787131349,16372.390542390349,14446.987357669488,30819.377900059837,33,12,21,0.36363636363636365,1.3219154007574716,0.13090105045371972
2018,1223027.2706628977,1290745.6449782902,0.05536947207946407,263638.64198142337,27107.00299686729,21111021.025924303,21396831.621149182,34.7562590522071,25042.442027498444,22171.953243456934,47214.39527095538,49,20,29,0.40816326530612246,1.4815778546530747,0.06968060228847954
2019,1290745.6449782902,1271503.7536349092,-0.014907577971107285,176411.08043318192,95092.67320172756,33301601.788232524,33512739.640812747,51.76414244664685,39503.2258828482,34726.77214704083,74229.99802988903,72,29,43,0.4027777777777778,1.2023918573190109,0.18257445851290321
2020,1271503.7536349092,2099377.251720606,0.6510979583969098,434747.9352646036,664629.3164560029,40507381.435504586,40984598.6775184,64.09102598404286,48050.90905071306,42469.306749210176,90520.21579992323,86,36,50,0.4186046511627907,1.44495107780835,0.11328792171410254
2021,2099377.251720606,1985678.8094936805,-0.05415817577986068,1001456.7419023506,-15777.93240866973,52369716.92805259,53426535.63527013,50.39411209996408,62122.31983269635,55361.96531519343,117484.28514788978,103,44,59,0.42718446601941745,1.818218148082303,0.18207479550022088
2022,1985678.8094936805,2307431.3198745525,0.16203653322105718,1359120.1828387906,-51688.862964237924,62088103.08573344,63513037.12898425,63.25350283953736,73650.52217097708,65813.86041201884,139464.38258299592,112,49,63,0.4375,2.03604078577357,0.08903244455355677
2023,2307431.3198745525,3229947.3022607667,0.39980214121231933,1386121.4612561828,843825.8410045842,73772357.7187214,75236441.13643062,64.577782910242,87510.6888072479,77961.95645303896,165472.64526028687,126,54,72,0.42857142857142855,1.8008947946439995,0.15239063369367012
2024,3229947.3022607667,2789942.654551534,-0.13622657168470095,1872142.1586773666,-82199.50412583305,96376486.24198203,98350541.78917542,60.2879891863438,114324.29376888077,101913.38851603009,216237.68228491087,148,62,86,0.4189189189189189,1.7466347078868276,0.29035439068279717
2025,2789942.654551534,4261714.216893699,0.5275275317724203,2951235.7638415373,310478.45305216126,113639255.43011482,116711430.6128546,82.5646669357786,134801.8394118431,120939.41889823588,255741.258310079,160,67,93,0.41875,2.06384639597176,0.09225349799873514
2026,4261714.216893699,3847909.819050402,-0.09709811047464208,3116732.8160264287,-268822.99697602773,118877969.42387189,122121247.45166016,56.54983056353151,141016.13815780147,126545.211761844,267561.34991964546,164,68,96,0.4146341463414634,2.0762556449205922,0.24438680036113783
