year,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2016,132,107,4,71519.99618222541,56438.75803599181,-4256.679271346889,123702.07494687033,0.578163270203374,0.4562474644037465,-0.03441073460712054
2017,216,19,13,72895.97573474213,24931.246871583164,1497.973109702114,99325.1957160274,0.7339122285059784,0.25100626977732887,0.015081501716692784
2018,137,108,0,-15038.686705074972,82757.06102046743,0.0,67718.37431539246,-0.2220769009461685,1.2220769009461685,0.0
2019,168,69,4,-139583.26939789345,121197.44718603208,-856.0691315196455,-19241.891343381023,7.254134581001488,-6.298624445134004,0.04448986413251538
2020,168,82,0,683310.8961612568,144562.6019244399,0.0,827873.4980856967,0.8253808072625661,0.1746191927374339,0.0
2021,139,109,0,20152.067394754617,-133850.50962168002,0.0,-113698.4422269254,-0.17724136760408774,1.1772413676040878,-0.0
2022,77,171,0,107365.84230468981,214386.66807618225,0.0,321752.51038087206,0.33369076803036074,0.6663092319696393,0.0
2023,185,60,0,835491.6702337796,87024.3121524346,0.0,922515.9823862142,0.9056663366120398,0.09433366338796026,0.0
2024,202,44,0,-350932.6729393052,-89071.97476992756,0.0,-440004.64770923276,0.7975658320118728,0.20243416798812722,-0.0
2025,135,114,0,141746.6027612076,1330024.9595809574,0.0,1471771.562342165,0.0963101926875345,0.9036898073124655,0.0
2026,16,131,0,-147790.1068120161,-266014.291031281,0.0,-413804.3978432971,0.3571496764710135,0.6428503235289865,-0.0
