Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2016,4.81,9.31,-3.22,2.9,4.53,3.74,0.28,1.75,-5.1,0.42,-3.65,-3.06
2017,3.13,-1.83,1.11,2.62,-1.87,-3.83,2.67,8.05,1.48,-0.69,-3.35,1.59
2018,2.72,-0.15,-0.15,1.06,1.37,-2.82,4.55,1.12,-5.56,4.97,-4.88,3.84
2019,5.34,-1.29,1.71,0.56,-1.49,0.06,-14.25,10.25,-3.25,2.41,-0.42,0.74
2020,2.47,0.79,2.25,11.41,-3.71,-5.23,7.83,9.89,11.76,-6.88,8.09,15.38
2021,-1.23,-9.13,-5.17,6.34,4.93,-3.72,5.01,2.13,7.81,-5.47,-5.28,-0.07
2022,-0.55,5.67,1.22,1.52,-1.88,-0.43,0.69,13.94,-2.06,0.31,0.06,-2.33
2023,-11.89,-2.59,7.72,0.35,-0.86,4.03,6.04,2.93,2.98,4.44,14.0,9.3
2024,11.74,-2.21,-1.25,-2.05,-4.53,1.45,-4.49,3.72,-5.07,-6.31,-3.93,-0.31
2025,7.79,2.92,4.3,-1.9,1.75,3.04,-5.2,0.3,12.32,11.21,0.87,7.12
2026,-3.1,0.37,-7.91,1.85,4.23,-9.86,0.98,4.32,,,,
