symbol,total_invested_amount,closed_invested_amount,open_invested_amount,realized_pnl,unrealized_pnl,total_pnl,total_return_pct,closed_trades,winning_trades,losing_trades,total_transaction_cost,open_market_value
GOLDBEES,27123585.753852617,23006852.937826186,4116732.8160264296,1871488.4589788346,-268822.99697602773,1602665.4620028068,0.05908752170701343,13,11,2,25806.325377566372,3847909.819050402
BSOFT,5143462.091583801,5143462.091583801,0.0,1372131.3643380469,0.0,1372131.3643380469,0.26677194074848,10,7,3,6758.6308134293495,0.0
COALINDIA,3281026.3723919773,3281026.3723919773,0.0,347401.7961376933,0.0,347401.7961376933,0.10588204930654849,4,3,1,3763.771725482837,0.0
SHRIRAMFIN,2312106.075302578,2312106.075302578,0.0,281426.385454204,0.0,281426.385454204,0.1217186306719836,2,1,1,2690.27349902696,0.0
NTPC,2687017.318495489,2687017.318495489,0.0,238229.28344038082,0.0,238229.28344038082,0.08865937774222081,3,3,0,3034.360868963401,0.0
EICHERMOT,2841166.5365237817,2841166.5365237817,0.0,137958.39071545715,0.0,137958.39071545715,0.048556953259153796,3,1,2,3090.2489031132845,0.0
BAJAJ-AUTO,4995353.002638714,4995353.002638714,0.0,84689.83998652874,0.0,84689.83998652874,0.016953724780169228,5,3,2,5269.532901642723,0.0
YESBANK,746410.1332063513,746410.1332063513,0.0,81704.12803416204,0.0,81704.12803416204,0.10946277977656321,2,1,1,859.0036503848359,0.0
CIPLA,478481.14921048237,478481.14921048237,0.0,77270.99474334446,0.0,77270.99474334446,0.16149224451338456,1,1,0,576.4821869513539,0.0
JSWSTEEL,1646897.1608852516,1646897.1608852516,0.0,53019.2490056861,0.0,53019.2490056861,0.032193418183553625,3,2,1,1763.324784744043,0.0
TCS,851885.6997895553,851885.6997895553,0.0,51914.396058486236,0.0,51914.396058486236,0.060940565232296844,2,2,0,937.5126330859648,0.0
INDUSINDBK,723922.9852611605,723922.9852611605,0.0,42581.83895039881,0.0,42581.83895039881,0.05882095169976831,2,2,0,795.0961272530062,0.0
ABB,2535720.1551859444,2535720.1551859444,0.0,34495.67962967853,0.0,34495.67962967853,0.01360389850557029,3,2,1,2666.0871424629404,0.0
TECHM,1219947.078505198,1219947.078505198,0.0,24567.750364122556,0.0,24567.750364122556,0.020138373866369217,3,2,1,1290.9363248440884,0.0
AXISBANK,854303.0244426441,854303.0244426441,0.0,14780.332102354889,0.0,14780.332102354889,0.017301041526802185,2,1,1,901.5009289207701,0.0
BEL,2376469.3382362337,2376469.3382362337,0.0,9082.203234084547,0.0,9082.203234084547,0.0038217211928453366,2,1,1,2474.5347088147983,0.0
GRASIM,1679628.9104767304,1679628.9104767304,0.0,1215.8097813935,0.0,1215.8097813935,0.0007238561885960964,3,1,2,1743.5417043403168,0.0
ASAHIINDIA,4010840.4104154822,4010840.4104154822,0.0,828.007789988922,0.0,828.007789988922,0.00020644246722924307,5,2,3,4161.307173010042,0.0
ASIANPAINT,416132.89503898495,416132.89503898495,0.0,-1628.8784618475615,0.0,-1628.8784618475615,-0.003914322759067057,1,0,1,429.96538038791863,0.0
ULTRACEMCO,1094825.9346567728,1094825.9346567728,0.0,-2582.06963306138,0.0,-2582.06963306138,-0.0023584293642722825,2,1,1,1132.9855203318518,0.0
SBILIFE,976167.9610884555,976167.9610884555,0.0,-2806.133563041107,0.0,-2806.133563041107,-0.002874642146534073,1,0,1,1009.6690784398255,0.0
NESTLEIND,790558.2971109478,790558.2971109478,0.0,-2881.709755443295,0.0,-2881.709755443295,-0.003645157815652996,2,1,1,817.0576157539873,0.0
POWERGRID,386639.219185167,386639.219185167,0.0,-2935.9727328517197,0.0,-2935.9727328517197,-0.007593571958476465,1,0,1,398.01571449005996,0.0
ACC,327824.1483886361,327824.1483886361,0.0,-4778.418902835495,0.0,-4778.418902835495,-0.014576165076072036,1,0,1,335.0956188749176,0.0
BHARTIARTL,2561921.061396219,2561921.061396219,0.0,-6540.894049826504,0.0,-6540.894049826504,-0.0025531208390401337,4,1,3,2650.6980915693175,0.0
AMBUJACEM,366632.3661406569,366632.3661406569,0.0,-7322.611746367088,0.0,-7322.611746367088,-0.019972627685461358,1,0,1,372.71232375737515,0.0
GAIL,759900.5405359109,759900.5405359109,0.0,-8611.715522402967,0.0,-8611.715522402967,-0.011332687717697446,2,1,1,779.3125579230937,0.0
INFY,490465.66007967165,490465.66007967165,0.0,-14023.618225141709,0.0,-14023.618225141709,-0.028592456855926877,1,0,1,494.2137483984,0.0
UPL,1267506.985291528,1267506.985291528,0.0,-16886.427807222044,0.0,-16886.427807222044,-0.013322552067307264,3,1,2,1297.269802498096,0.0
BRITANNIA,1473456.8527352596,1473456.8527352596,0.0,-23122.497711761673,0.0,-23122.497711761673,-0.015692687348691683,2,0,2,1504.4331000621241,0.0
