year,beginning_value,ending_value,annual_return,realized_pnl,unrealized_pnl,buy_value,sell_value,turnover,buy_transaction_costs,sell_transaction_costs,transaction_costs,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown
2015,1000000,1042812.1153082737,0.0428121153082737,42812.11530827384,45238.30111137103,0.0,0.0,0.0,0,2426.1858030971816,2426.1858030971816,34,19,15,0.5588235294117647,1.4291365518758525,0.0
2016,1042812.1153082737,1215818.0432816753,0.16590325853881935,173005.92797340176,175807.1125326301,0.0,0.0,0.0,0,2801.1845592283676,2801.1845592283676,51,28,23,0.5490196078431373,1.9071312697542941,0.0
2017,1215818.0432816753,2491156.172435218,1.0489547644080144,481599.80274298566,1279880.539524932,0.0,0.0,0.0,0,4542.410371389296,4542.410371389296,45,22,23,0.4888888888888889,3.4156380400350987,0.0
2018,2491156.172435218,2263247.1227138946,-0.09148725890538288,565829.2766892333,-222828.35548933593,0.0,0.0,0.0,0,5080.694231987788,5080.694231987788,43,19,24,0.4418604651162791,3.4467491452116303,0.0
2019,2263247.1227138946,2591783.0806630813,0.14516132801054182,-83575.33763385251,333980.35198689555,0.0,0.0,0.0,0,5444.394037708312,5444.394037708312,51,19,32,0.37254901960784315,0.6752431678187756,0.0
2020,2591783.0806630813,4890774.088487444,0.887030641173948,720904.7658250694,2306671.8896969063,0.0,0.0,0.0,0,7680.8818725431665,7680.8818725431665,45,27,18,0.6,3.672626095027506,0.0
2021,4890774.088487444,7856126.152213038,0.6063154850488462,4955549.601307927,2984132.130466714,0.0,0.0,0.0,0,18780.06674112161,18780.06674112161,66,41,25,0.6212121212121212,6.102979830772098,0.0
2022,7856126.152213038,9820742.693577787,0.25007446460254773,1964616.5413647492,1979363.3582373937,0.0,0.0,0.0,0,14746.816872644502,14746.816872644502,50,33,17,0.66,4.487703318755675,0.0
2023,9820742.693577787,22433349.302669045,1.2842823605733191,3902183.5785842035,12626962.286219869,0.0,0.0,0.0,0,14355.677128610467,14355.677128610467,38,30,8,0.7894736842105263,14.081129295119586,0.0
2024,22433349.302669045,29773086.16639677,0.32717971644361055,16050159.894234776,7410373.379864607,0.0,0.0,0.0,0,70636.51613688792,70636.51613688792,58,43,15,0.7413793103448276,8.926366025635142,0.0
2025,29773086.16639677,28958546.267854832,-0.027358262223459537,1168530.0027873712,-744590.4443800608,0.0,0.0,0.0,0,69949.45416187505,69949.45416187505,91,59,32,0.6483516483516484,4.380822151031744,0.0
2026,28958546.267854832,31493425.760748606,0.08753476329395699,-3120112.7337225312,2565739.2694095443,0.0,0.0,0.0,0,30859.776515769376,30859.776515769376,24,6,18,0.25,0.2673855410438365,0.0
