Trading Date,2026-07-31

Rank,Symbol,Score,Avg Daily Traded Value,Weight %,Allocation,Quantity,Buy Price,Current Price,Market Value
1,HFCL,0.8172,4758864945.0,10.0,100000.0,515.0649,193.92,193.92,99881.38
2,CPPLUS,0.7612,581161783.0,10.0,100000.0,30.6394,3259.9,3259.9,99881.38
3,LAURUSLABS,0.6777,3331873854.0,10.0,100000.0,55.956,1785.0,1785.0,99881.38
4,KIRLOSENG,0.6535,1329298318.0,10.0,100000.0,45.9647,2173.0,2173.0,99881.38
5,WELCORP,0.6448,2121162351.0,10.0,100000.0,59.8666,1668.4,1668.4,99881.38
6,RRKABEL,0.6336,1408619517.0,10.0,100000.0,38.4159,2600.0,2600.0,99881.38
7,ATHERENERG,0.6113,5283892242.0,10.0,100000.0,80.0973,1247.0,1247.0,99881.38
8,AEGISLOG,0.6027,2448858595.0,10.0,100000.0,79.9691,1249.0,1249.0,99881.38
9,ADANIENSOL,0.5908,4101497727.0,10.0,100000.0,59.9528,1666.0,1666.0,99881.38
10,CEMPRO,0.587,950711793.0,10.0,100000.0,72.9061,1370.0,1370.0,99881.38
