Trading Date,2026-07-31

Rank,Symbol,Score,Avg Daily Traded Value,return_9m,return_6m,return_3m,volatility_3m
1,HFCL,0.8172,4758864945.0,151.35,194.62,50.59,61.08
2,CPPLUS,0.7612,581161783.0,146.89,140.7,41.54,45.29
3,LAURUSLABS,0.6777,3331873854.0,89.2,86.79,56.17,27.64
4,KIRLOSENG,0.6535,1329298318.0,143.93,99.79,28.95,56.8
5,WELCORP,0.6448,2121162351.0,82.6,122.85,32.06,37.84
6,RRKABEL,0.6336,1408619517.0,86.4,93.57,46.99,41.06
7,ATHERENERG,0.6113,5283892242.0,78.46,109.58,34.39,44.22
8,AEGISLOG,0.6027,2448858595.0,59.53,83.76,80.76,59.77
9,ADANIENSOL,0.5908,4101497727.0,73.87,93.78,22.59,31.86
10,CEMPRO,0.587,950711793.0,63.77,117.79,43.37,57.33
11,SYRMA,0.582,1882229681.0,70.37,89.07,34.19,40.3
12,HONASA,0.5601,395384631.0,62.7,66.28,31.99,30.64
13,LLOYDSME,0.5421,887254815.0,54.27,86.08,16.09,31.03
14,SONACOMS,0.5406,2160631929.0,60.0,58.7,27.07,29.14
15,BHARATFORG,0.5401,1456819854.0,69.74,51.39,19.54,25.23
16,APARINDS,0.5339,1814943747.0,59.58,99.04,16.36,45.19
17,SAILIFE,0.5208,406407726.0,49.75,60.33,22.97,28.83
18,POWERINDIA,0.5171,4611954863.0,89.76,81.95,-4.61,44.56
19,ACUTAAS,0.5136,1297445218.0,81.09,66.71,16.01,49.1
20,RADICO,0.5134,1570055679.0,35.06,58.03,28.08,25.81
21,BHEL,0.5055,5177577926.0,71.48,56.75,7.94,34.62
22,SCHNEIDER,0.5027,474089204.0,57.15,114.07,8.97,59.26
23,FEDERALBNK,0.4957,2230780861.0,52.76,24.77,22.64,21.61
24,HSCL,0.4911,7532752830.0,54.74,63.12,22.28,45.59
25,GRANULES,0.4908,1031389017.0,48.01,45.96,17.86,28.54
26,JBCHEPHARM,0.4901,825022644.0,45.71,27.9,20.26,19.44
27,CAPLIPOINT,0.4826,271081878.0,25.08,45.72,45.24,40.03
28,CRAFTSMAN,0.4825,459972170.0,48.06,37.16,28.43,35.89
29,NYKAA,0.4807,1876889583.0,30.67,40.97,25.93,25.97
30,ACMESOLAR,0.4803,641193488.0,27.97,75.15,19.73,38.2
31,EMCURE,0.4802,234689811.0,46.32,36.54,15.96,25.28
32,TORNTPHARM,0.4774,3074868359.0,44.5,30.55,20.72,25.97
33,ANANDRATHI,0.4764,704479638.0,30.5,44.31,15.22,20.8
34,GLAND,0.4745,1120864573.0,30.49,48.13,37.86,42.14
35,AUROPHARMA,0.4744,1276995455.0,44.35,38.63,14.84,26.81
36,BELRISE,0.4742,1150635070.0,58.8,47.87,9.73,36.75
37,MOTHERSON,0.4717,2079545306.0,40.37,32.79,25.37,30.85
38,SAREGAMA,0.4699,261777163.0,15.46,62.05,52.06,54.02
39,NEULANDLAB,0.4689,645436142.0,20.54,48.82,26.93,29.88
40,AJANTPHARM,0.4677,361012649.0,45.13,28.42,22.76,30.99
41,LALPATHLAB,0.4662,623978544.0,25.9,39.1,39.69,39.4
42,WOCKPHARMA,0.4653,1043884943.0,51.11,44.45,37.52,56.53
43,DIVISLAB,0.4627,2984995968.0,24.13,33.03,21.7,21.81
44,MINDACORP,0.462,163199932.0,24.18,29.24,34.77,30.73
45,NAVINFLUOR,0.4609,893986482.0,50.0,29.06,11.08,27.73
46,ADANIGREEN,0.46,3937030043.0,37.72,68.06,7.15,38.77
47,REDINGTON,0.4585,1657496881.0,25.83,26.46,48.3,42.72
48,STARHEALTH,0.4584,326175145.0,23.31,41.35,14.33,21.71
49,GABRIEL,0.458,1013805605.0,12.5,60.74,40.16,46.88
