Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2015,0.0,-0.28,-0.1,0.0,0.0,0.0,4.92,-4.01,-0.1,0.0,0.0,0.0
2016,0.0,0.0,0.0,1.09,7.17,6.84,6.65,2.57,6.77,-13.67,-0.1,0.0
2017,2.69,7.17,9.52,5.69,4.81,3.32,5.14,-0.1,6.8,8.95,2.01,19.15
2018,-8.14,-0.1,0.0,0.0,0.0,0.0,3.97,-4.68,-0.1,0.0,0.0,0.0
2019,0.0,0.0,4.1,0.03,-0.1,-6.24,-0.1,0.0,0.0,9.42,-0.99,8.49
2020,0.96,-0.1,0.0,0.0,16.21,-3.61,7.69,16.2,-1.94,12.52,8.64,11.37
2021,21.64,-0.1,0.0,0.0,-3.06,1.12,-1.67,6.8,13.5,13.27,-0.1,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,11.86,9.77,-5.3,4.43,3.06,-0.1
2023,0.0,0.0,0.0,0.0,15.58,17.65,7.74,7.15,6.76,13.44,-1.69,22.21
2024,3.86,-12.08,22.82,10.21,8.81,-2.55,1.32,-4.33,4.57,-0.1,0.0,0.0
2025,0.0,0.0,0.0,0.77,3.53,1.5,3.18,-0.1,1.75,-6.43,-2.28,-4.21
2026,-0.1,0.0,0.0,3.55,5.14,,,,,,,
