date,portfolio_value,daily_return,month,year
2020-05-05,998813.774,0.0,2020-05,2020
2020-05-06,967469.2637973554,-0.03138173603385308,2020-05,2020
2020-05-07,960451.8547853716,-0.007253366359609381,2020-05,2020
2020-05-08,970977.9236877488,0.010959496668085933,2020-05,2020
2020-05-11,963024.836345848,-0.008190801405345227,2020-05,2020
2020-05-12,964662.3180388012,0.0017003525050989232,2020-05,2020
2020-05-13,958346.6231586568,-0.006547052540607723,2020-05,2020
2020-05-14,970510.1737539872,0.012692224609964331,2020-05,2020
2020-05-15,977761.4577328518,0.007471620777365295,2020-05,2020
2020-05-18,995071.1499115288,0.017703389760129307,2020-05,2020
2020-05-19,967703.1387642362,-0.027503572131224785,2020-05,2020
2020-05-20,979632.8143926858,0.012327825704568696,2020-05,2020
2020-05-21,969106.6562591116,-0.01074500361658437,2020-05,2020
2020-05-22,974252.7978424582,0.005310191143678145,2020-05,2020
2020-05-26,963726.6397088843,-0.010804339650740347,2020-05,2020
2020-05-27,950861.3749817145,-0.013349495797953637,2020-05,2020
2020-05-28,963492.6755108065,0.013284061022391214,2020-05,2020
2020-05-29,958814.4623236153,-0.004855473535085197,2020-05,2020
2020-06-01,963960.5146757651,0.005367099219257376,2020-06,2020
2020-06-02,963258.8005439257,-0.0007279490406050249,2020-06,2020
2020-06-03,956241.391531942,-0.007285071268511856,2020-06,2020
2020-06-04,954603.9990701856,-0.0017123212572226487,2020-06,2020
2020-06-05,963492.6755108065,0.009311375658680232,2020-06,2020
2020-06-08,950861.3749817145,-0.013109908201840104,2020-06,2020
2020-06-09,959048.3372904961,0.008610048240669244,2020-06,2020
2020-06-10,963960.5146757651,0.0051219288895769655,2020-06,2020
2020-06-11,976124.0652710954,0.012618307918371041,2020-06,2020
2020-06-12,977761.4577328518,0.0016774429808794622,2020-06,2020
2020-06-15,968638.8170941531,-0.009330129109252794,2020-06,2020
2020-06-16,978931.0110296496,0.010625419665063918,2020-06,2020
2020-06-17,974252.7978424582,-0.004778899773816403,2020-06,2020
2020-06-18,978697.1360627688,0.004561791590594222,2020-06,2020
2020-06-19,976358.0294691732,-0.0023900208832792202,2020-06,2020
2020-06-22,989223.2941963428,0.013176790008235129,2020-06,2020
2020-06-23,987585.9017345866,-0.0016552303927360734,2020-06,2020
2020-06-24,998813.7739999999,0.011369008251021828,2020-06,2020
2020-06-25,989691.1333613013,-0.009133475004218905,2020-06,2020
2020-06-26,990158.9725262598,0.00047271229294509887,2020-06,2020
2020-06-29,993901.596614731,0.0037798214148605513,2020-06,2020
2020-06-30,996708.542373285,0.0028241686783827546,2020-06,2020
2020-07-01,1005831.1830119838,0.00915276658207076,2020-07,2020
2020-07-02,988053.740899545,-0.017674379570539633,2020-07,2020
2020-07-03,987118.062569628,-0.0009469913337559754,2020-07,2020
2020-07-06,988755.4550313842,0.0016587605108693282,2020-07,2020
2020-07-07,992264.1149217779,0.0035485618537318686,2020-07,2020
2020-07-08,1006065.0579788645,0.01390853790794866,2020-07,2020
2020-07-09,1013550.3953870037,0.0074402120904355495,2020-07,2020
2020-07-10,1010509.4854303718,-0.003000255310907085,2020-07,2020
2020-07-13,1011912.9136940505,0.0013888323503277178,2020-07,2020
2020-07-14,1008638.1287705378,-0.00323623197134415,2020-07,2020
2020-07-15,1010977.3245953304,0.002319162599617286,2020-07,2020
2020-07-16,1008638.1287705378,-0.0023137965292435725,2020-07,2020
2020-07-17,1003024.2372534296,-0.005565813305066225,2020-07,2020
2020-07-20,1007468.5754737401,0.004430938012505381,2020-07,2020
2020-07-21,1011912.9136940505,0.004411391410616083,2020-07,2020
2020-07-22,1026415.6601141733,0.014332010416963303,2020-07,2020
2020-07-23,1040918.3173030993,0.014129419252345343,2020-07,2020
2020-07-24,1050742.6720736374,0.009438161099894815,2020-07,2020
2020-07-27,1086531.6097277892,0.03406061122798265,2020-07,2020
2020-07-28,1076239.326561096,-0.009472603534536717,2020-07,2020
2020-07-29,1088169.0021895457,0.01108459367171477,2020-07,2020
2020-07-30,1088870.7163213848,0.0006448576741546752,2020-07,2020
2020-07-31,1102671.6593784716,0.012674546987278212,2020-07,2020
2020-08-03,1106180.4085000618,0.003182043441261495,2020-08,2020
2020-08-04,1105478.6051370257,-0.0006344384312390039,2020-08,2020
2020-08-05,1134717.8837129555,0.02644942963170749,2020-08,2020
2020-08-06,1143840.613582851,0.008039645801690032,2020-08,2020
2020-08-07,1150156.2192317985,0.005521403571399075,2020-08,2020
2020-08-10,1132144.902152479,-0.015659887568446607,2020-08,2020
2020-08-11,1106414.2834669428,-0.022727319300396953,2020-08,2020
2020-08-12,1068520.2034172728,-0.03424944942949326,2020-08,2020
2020-08-13,1075771.5766273343,0.006786369772766809,2020-08,2020
2020-08-14,1083490.6997711575,0.007175429534979294,2020-08,2020
2020-08-17,1079514.2007158054,-0.0036700813917387443,2020-08,2020
2020-08-18,1106648.2476650204,0.025135423814918623,2020-08,2020
2020-08-19,1096589.9286964047,-0.00908899371578853,2020-08,2020
2020-08-20,1068520.2034172728,-0.02559728531566985,2020-08,2020
2020-08-21,1069455.88174719,0.0008756767788991038,2020-08,2020
2020-08-24,1064309.7401638431,-0.004811925083753277,2020-08,2020
2020-08-25,1050976.636271715,-0.0125274658203125,2020-08,2020
2020-08-26,1047935.7263150831,-0.0028934134705594916,2020-08,2020
2020-08-27,1053783.582030269,0.005580357237890077,2020-08,2020
2020-08-28,1054953.135327067,0.0011098609968325235,2020-08,2020
2020-08-31,1060567.116075372,0.0053215451571360095,2020-08,2020
2020-09-01,1063374.0618339262,0.002646646040602496,2020-09,2020
2020-09-02,1052614.0287334714,-0.010118765810309238,2020-09,2020
2020-09-03,1039514.799808224,-0.012444474962022611,2020-09,2020
2020-09-04,1046064.4588864461,0.006300688628416262,2020-09,2020
2020-09-07,1046766.1730182854,0.0006708134722275272,2020-09,2020
2020-09-08,1048403.5654800417,0.0015642389904853005,2020-09,2020
2020-09-09,1051210.511238596,0.002677352358363194,2020-09,2020
2020-09-10,1057760.170316818,0.0062305875066877014,2020-09,2020
2020-09-11,1056590.5277888232,-0.0011057728971249903,2020-09,2020
2020-09-14,1053315.7428653105,-0.003099388871454334,2020-09,2020
2020-09-15,1065713.2576587189,0.011769989081985566,2020-09,2020
2020-09-16,1061502.794405289,-0.003950840644208475,2020-09,2020
2020-09-17,1052146.1895685128,-0.008814489124372216,2020-09,2020
2020-09-18,1060099.2769104138,0.007558918542643234,2020-09,2020
2020-09-21,1052614.0287334714,-0.0070608935785312354,2020-09,2020
2020-09-22,1035304.3365547942,-0.016444481743706718,2020-09,2020
2020-09-23,1028754.766707769,-0.006326226613538988,2020-09,2020
2020-09-24,1014252.109518843,-0.01409729282260097,2020-09,2020
2020-09-25,1020333.8402009099,0.005996271168666301,2020-09,2020
2020-09-28,1013082.5562220452,-0.007106775932705367,2020-09,2020
2020-09-29,1032731.3549943179,0.019395061786027012,2020-09,2020
2020-09-30,1033433.0691261571,0.0006794740262758836,2020-09,2020
2020-10-01,1031561.7124663232,-0.0018108155387520641,2020-10,2020
2020-10-05,1033433.0691261571,0.0018141005401992594,2020-10,2020
2020-10-06,1043491.3880947727,0.009732917659699636,2020-10,2020
2020-10-07,1028053.0525759298,-0.014794885415423065,2020-10,2020
2020-10-08,1029222.6058727275,0.0011376390487507493,2020-10,2020
2020-10-09,1038579.2107095039,0.009090943769975324,2020-10,2020
2020-10-12,1047701.8513482024,0.008783769735258407,2020-10,2020
2020-10-13,1046064.4588864461,-0.0015628420047644198,2020-10,2020
2020-10-14,1032731.3549943179,-0.012745967783210577,2020-10,2020
2020-10-15,1036240.0148847112,0.0033974565344854213,2020-10,2020
2020-10-16,1040684.4423362187,0.004288994236534949,2020-10,2020
2020-10-19,1041386.1564680579,0.0006742813703104478,2020-10,2020
2020-10-20,1039514.799808224,-0.0017969863035061096,2020-10,2020
2020-10-21,1047701.8513482024,0.007875839325701683,2020-10,2020
2020-10-22,1047701.8513482024,0.0,2020-10,2020
2020-10-23,1044427.0664246897,-0.0031256840095287286,2020-10,2020
2020-10-26,1042087.8705998972,-0.002239692842124552,2020-10,2020
2020-10-27,1041386.1564680579,-0.0006733732841889273,2020-10,2020
2020-10-28,1043491.3880947727,0.002021566748932946,2020-10,2020
2020-10-29,1037409.5681815092,-0.005828337428225305,2020-10,2020
2020-10-30,1036707.8540496698,-0.0006764099285004876,2020-10,2020
2020-11-02,1043725.2630616536,0.00676893590086336,2020-11,2020
2020-11-03,1047935.7263150831,0.004034072377512965,2020-11,2020
2020-11-04,1048871.4046450001,0.0008928775939409661,2020-11,2020
2020-11-05,1050742.6720736374,0.0017840770759409708,2020-11,2020
