rebalance_date,beginning_value,ending_value,monthly_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings
2020-05-05,1000000.0,998813.774,-0.001186226000000068,0.0,998813.7739999999,0.0,-1186.225999999966,1000000.0,0.0,1186.2259999999999,0.0,1186.2259999999999,1.0,19
2020-05-06,998813.774,967469.2637973554,-0.03138173603385308,0.0,967469.2637973555,0.0,-32530.73620264462,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-07,967469.2637973554,960451.8547853716,-0.007253366359609381,0.0,960451.8547853715,0.0,-39548.14521462839,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-08,960451.8547853716,970977.9236877488,0.010959496668085933,0.0,970977.923687749,0.0,-29022.07631225117,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-11,970977.9236877488,963024.836345848,-0.008190801405345227,0.0,963024.8363458479,0.0,-36975.16365415196,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-12,963024.836345848,964662.3180388012,0.0017003525050989232,0.0,964662.3180388011,0.0,-35337.68196119881,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-13,964662.3180388012,958346.6231586568,-0.006547052540607723,0.0,958346.6231586566,0.0,-41653.37684134318,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-14,958346.6231586568,970510.1737539872,0.012692224609964331,0.0,970510.1737539873,0.0,-29489.82624601281,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-15,970510.1737539872,977761.4577328518,0.007471620777365295,0.0,977761.4577328518,0.0,-22238.54226714815,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-18,977761.4577328518,995071.1499115288,0.017703389760129307,0.0,995071.1499115288,0.0,-4928.850088471176,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-19,995071.1499115288,967703.1387642362,-0.027503572131224785,0.0,967703.1387642364,0.0,-32296.861235763732,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-20,967703.1387642362,979632.8143926858,0.012327825704568696,0.0,979632.8143926858,0.0,-20367.185607314248,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-21,979632.8143926858,969106.6562591116,-0.01074500361658437,0.0,969106.6562591116,0.0,-30893.34374088834,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-22,969106.6562591116,974252.7978424582,0.005310191143678145,0.0,974252.7978424582,0.0,-25747.20215754174,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-26,974252.7978424582,963726.6397088843,-0.010804339650740347,0.0,963726.6397088842,0.0,-36273.36029111569,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-27,963726.6397088843,950861.3749817145,-0.013349495797953637,0.0,950861.3749817146,0.0,-49138.625018285464,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-28,950861.3749817145,963492.6755108065,0.013284061022391214,0.0,963492.6755108066,0.0,-36507.32448919345,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-05-29,963492.6755108065,958814.4623236153,-0.004855473535085197,0.0,958814.4623236153,0.0,-41185.53767638467,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-01,958814.4623236153,963960.5146757651,0.005367099219257376,0.0,963960.514675765,0.0,-36039.48532423494,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-02,963960.5146757651,963258.8005439257,-0.0007279490406050249,0.0,963258.8005439258,0.0,-36741.1994560742,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-03,963258.8005439257,956241.391531942,-0.007285071268511856,0.0,956241.3915319422,0.0,-43758.60846805797,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-04,956241.391531942,954603.9990701856,-0.0017123212572226487,0.0,954603.9990701856,0.0,-45396.00092981439,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-05,954603.9990701856,963492.6755108065,0.009311375658680232,0.0,963492.6755108066,0.0,-36507.32448919345,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-08,963492.6755108065,950861.3749817145,-0.013109908201840104,0.0,950861.3749817146,0.0,-49138.625018285464,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-09,950861.3749817145,959048.3372904961,0.008610048240669244,0.0,959048.3372904961,0.0,-40951.66270950392,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-10,959048.3372904961,963960.5146757651,0.0051219288895769655,0.0,963960.514675765,0.0,-36039.48532423494,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-11,963960.5146757651,976124.0652710954,0.012618307918371041,0.0,976124.0652710953,0.0,-23875.93472890457,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-12,976124.0652710954,977761.4577328518,0.0016774429808794622,0.0,977761.4577328518,0.0,-22238.54226714815,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-15,977761.4577328518,968638.8170941531,-0.009330129109252794,0.0,968638.8170941533,0.0,-31361.18290584685,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-16,968638.8170941531,978931.0110296496,0.010625419665063918,0.0,978931.0110296496,0.0,-21068.98897035038,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-17,978931.0110296496,974252.7978424582,-0.004778899773816403,0.0,974252.7978424582,0.0,-25747.20215754174,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-18,974252.7978424582,978697.1360627688,0.004561791590594222,0.0,978697.1360627688,0.0,-21302.86393723127,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-19,978697.1360627688,976358.0294691732,-0.0023900208832792202,0.0,976358.0294691732,0.0,-23641.97053082681,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-22,976358.0294691732,989223.2941963428,0.013176790008235129,0.0,989223.2941963429,0.0,-10776.705803657176,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-23,989223.2941963428,987585.9017345866,-0.0016552303927360734,0.0,987585.9017345865,0.0,-12414.098265413457,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-24,987585.9017345866,998813.7739999999,0.011369008251021828,0.0,998813.7739999997,0.0,-1186.2260000001042,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-25,998813.7739999999,989691.1333613013,-0.009133475004218905,0.0,989691.1333613013,0.0,-10308.866638698666,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-26,989691.1333613013,990158.9725262598,0.00047271229294509887,0.0,990158.97252626,0.0,-9841.027473740156,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-29,990158.9725262598,993901.596614731,0.0037798214148605513,0.0,993901.596614731,0.0,-6098.403385268946,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-06-30,993901.596614731,996708.542373285,0.0028241686783827546,0.0,996708.5423732849,0.0,-3291.457626714895,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-01,996708.542373285,1005831.1830119838,0.00915276658207076,0.0,1005831.1830119839,0.0,5831.183011983805,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-02,1005831.1830119838,988053.740899545,-0.017674379570539633,0.0,988053.7408995451,0.0,-11946.259100454947,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-03,988053.740899545,987118.062569628,-0.0009469913337559754,0.0,987118.0625696281,0.0,-12881.937430371967,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-06,987118.062569628,988755.4550313842,0.0016587605108693282,0.0,988755.4550313842,0.0,-11244.544968615686,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-07,988755.4550313842,992264.1149217779,0.0035485618537318686,0.0,992264.1149217779,0.0,-7735.885078222098,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-08,992264.1149217779,1006065.0579788645,0.01390853790794866,0.0,1006065.0579788646,0.0,6065.0579788645555,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-09,1006065.0579788645,1013550.3953870037,0.0074402120904355495,0.0,1013550.3953870037,0.0,13550.395387003708,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-10,1013550.3953870037,1010509.4854303718,-0.003000255310907085,0.0,1010509.4854303718,0.0,10509.485430371897,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-13,1010509.4854303718,1011912.9136940505,0.0013888323503277178,0.0,1011912.9136940505,0.0,11912.913694050556,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-14,1011912.9136940505,1008638.1287705378,-0.00323623197134415,0.0,1008638.1287705378,0.0,8638.128770537856,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-15,1008638.1287705378,1010977.3245953304,0.002319162599617286,0.0,1010977.3245953305,0.0,10977.324595330407,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-16,1010977.3245953304,1008638.1287705378,-0.0023137965292435725,0.0,1008638.1287705378,0.0,8638.128770537856,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-07-17,1008638.1287705378,1003024.2372534296,-0.005565813305066225,0.0,1003024.2372534295,0.0,3024.2372534296155,0.0,0.0,0.0,0.0,0.0,0.0,19
