universe,symbol,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,closed_invested_amount,realized_pnl,total_transaction_cost,closed_trades,winning_trades,losing_trades,average_closed_holding_days,max_closed_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_BANK,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_CHEMICALS,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_CONSUMER_DURABLES,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_FINANCIAL_SERVICES,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_FINANCIAL_SERVICES_EX_BANK,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_FMCG,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_HEALTHCARE,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_IT,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_MEDIA,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_METAL,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_MIDSMALL_FINANCIAL_SERVICES,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_MIDSMALL_HEALTHCARE,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_MIDSMALL_IT_TELECOM,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_OIL_GAS,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_PHARMA,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_PRIVATE_BANK,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_PSU_BANK,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
NIFTY_REALTY,GOLDBEES,52631.57894736842,150406.84674032088,97775.26779295245,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52631.57894736842,97775.26779295245,1.8577300880660965
