date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2020-05-21,2020-05-22,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,NAVINFLUOR,1,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,DEEPAKNTR,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,CHAMBLFERT,11,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,SOLARINDS,12,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,LINDEINDIA,13,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,EIDPARRY,14,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,GNFC,15,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,HSCL,16,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,PCBL,17,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,FLUOROCHEM,19,MARKET_CAP_FILTER,2019-10-16,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CHEMICALS,SUMICHEM,20,MARKET_CAP_FILTER,2020-01-27,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CONSUMER_DURABLES,AMBER,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CONSUMER_DURABLES,TTKPRESTIG,5,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CONSUMER_DURABLES,ORIENTELEC,8,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CONSUMER_DURABLES,BLUESTARCO,12,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_CONSUMER_DURABLES,KAJARIACER,13,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FINANCIAL_SERVICES_EX_BANK,IEX,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FINANCIAL_SERVICES_EX_BANK,MCX,3,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FINANCIAL_SERVICES_EX_BANK,LTF,20,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FINANCIAL_SERVICES_EX_BANK,SHRIRAMFIN,22,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FINANCIAL_SERVICES_EX_BANK,360ONE,25,MARKET_CAP_FILTER,2019-09-19,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FINANCIAL_SERVICES_EX_BANK,SBICARD,26,MARKET_CAP_FILTER,2020-03-16,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_FMCG,TATACONSUM,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_HEALTHCARE,ZYDUSLIFE,4,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_HEALTHCARE,GRANULES,10,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_HEALTHCARE,LAURUSLABS,12,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_HEALTHCARE,STAR,18,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_HEALTHCARE,METROPOLIS,19,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_IT,TATAELXSI,3,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_IT,JUSTDIAL,7,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MEDIA,NETWORK18,1,MARKET_CAP_FILTER,2019-05-13,2020-05-21,1,5
2020-05-21,2020-05-22,NIFTY_MEDIA,BALAJITELE,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MEDIA,JAGRAN,4,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MEDIA,SAREGAMA,5,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MEDIA,TVTODAY,6,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MEDIA,DBCORP,7,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MEDIA,DISHTV,9,MARKET_CAP_FILTER,2019-05-13,2020-05-21,1,5
2020-05-21,2020-05-22,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,RATNAMANI,3,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,NATIONALUM,7,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,HINDCOPPER,8,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-13,2020-05-21,1,5
2020-05-21,2020-05-22,NIFTY_OIL_GAS,MGL,4,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_OIL_GAS,AEGISLOG,5,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_OIL_GAS,ATGL,9,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_OIL_GAS,MRPL,13,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_PSU_BANK,IOB,1,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_PSU_BANK,MAHABANK,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_PSU_BANK,CENTRALBK,4,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_PSU_BANK,PSB,5,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_PSU_BANK,J&KBANK,10,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_PSU_BANK,INDIANB,12,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_REALTY,IBREALEST,5,LOWER_CIRCUIT_FILTER,2019-05-13,2020-05-21,9,5
2020-05-21,2020-05-22,NIFTY_REALTY,SOBHA,6,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_REALTY,BRIGADE,7,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,IEX,1,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,CDSL,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,MCX,3,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,BSE,6,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,NAM-INDIA,10,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,CANFINHOME,11,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,LTF,18,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,CHOLAHLDNG,19,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_MIDSMALL_FINANCIAL_SERVICES,SHRIRAMFIN,20,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
