date,portfolio_value,daily_return,month,year
2020-05-05,1000000.0,0.0,2020-05,2020
2020-05-06,1000000.0,0.0,2020-05,2020
2020-05-07,1000000.0,0.0,2020-05,2020
2020-05-08,1000000.0,0.0,2020-05,2020
2020-05-11,1000000.0,0.0,2020-05,2020
2020-05-12,1000000.0,0.0,2020-05,2020
2020-05-13,1000000.0,0.0,2020-05,2020
2020-05-14,1000000.0,0.0,2020-05,2020
2020-05-15,1000000.0,0.0,2020-05,2020
2020-05-18,1000000.0,0.0,2020-05,2020
2020-05-19,1000000.0,0.0,2020-05,2020
2020-05-20,1000000.0,0.0,2020-05,2020
2020-05-21,1000000.0,0.0,2020-05,2020
2020-05-22,999812.7011578947,-0.00018729884210533232,2020-05,2020
2020-05-26,1000954.3332307684,0.0011418459392960045,2020-05,2020
2020-05-27,1001061.6649026531,0.00010722933936269108,2020-05,2020
2020-05-28,1003323.1831093865,0.002259119778553531,2020-05,2020
2020-05-29,1007714.5879153819,0.004376859699769087,2020-05,2020
2020-06-01,1010970.1940889286,0.0032306827871584343,2020-06,2020
2020-06-02,1011507.4464334593,0.000531422536165671,2020-06,2020
2020-06-03,1011475.3148504231,-3.1766037066227604e-05,2020-06,2020
2020-06-04,1013043.8530528703,0.0015507429389702843,2020-06,2020
2020-06-05,1015216.8134650311,0.002144981587532069,2020-06,2020
2020-06-08,1013615.1644448249,-0.0015776423311386623,2020-06,2020
2020-06-09,1015026.3161218839,0.0013921966901826455,2020-06,2020
2020-06-10,1013879.7299787409,-0.001129612232640187,2020-06,2020
2020-06-11,1010802.9514771955,-0.0030346582642597486,2020-06,2020
2020-06-12,1012084.6430537683,0.0012679935042727575,2020-06,2020
2020-06-15,1009684.6722946664,-0.002371314272549885,2020-06,2020
2020-06-16,1009665.9586930793,-1.85341048553056e-05,2020-06,2020
2020-06-17,1009616.791431901,-4.869656221939689e-05,2020-06,2020
2020-06-18,1010048.6250518699,0.00042772032283289185,2020-06,2020
2020-06-19,1010262.5907553681,0.0002118370325856489,2020-06,2020
2020-06-22,1015645.3330135684,0.005328062532906186,2020-06,2020
2020-06-23,1016553.0124707996,0.0008936972658930564,2020-06,2020
2020-06-24,1012431.8000480674,-0.004054104775820133,2020-06,2020
2020-06-25,1009710.3994047446,-0.0026879841616922473,2020-06,2020
2020-06-26,1017921.0805331967,0.008131718890181272,2020-06,2020
2020-06-29,1009398.5387236328,-0.008372497605708018,2020-06,2020
2020-06-30,1009264.0911296887,-0.00013319574854364635,2020-06,2020
2020-07-01,1009610.6807501346,0.0003434082550761719,2020-07,2020
2020-07-02,1012627.4170372494,0.0029880193867137805,2020-07,2020
2020-07-03,1013378.8177015742,0.0007420307328072084,2020-07,2020
2020-07-06,1015941.3970903589,0.0025287477338404862,2020-07,2020
2020-07-07,1014971.955621876,-0.0009542297137012934,2020-07,2020
2020-07-08,1012452.9634441611,-0.002481834265234961,2020-07,2020
2020-07-09,1015824.6593783165,0.0033302247668727247,2020-07,2020
2020-07-10,1013620.5590138392,-0.002169764579082134,2020-07,2020
2020-07-13,1014774.3159578088,0.0011382532977548543,2020-07,2020
2020-07-14,1008493.4566842602,-0.006189414902189716,2020-07,2020
2020-07-15,1009027.4501180633,0.0005294961809259036,2020-07,2020
2020-07-16,1013041.5785456491,0.003978215287518738,2020-07,2020
2020-07-17,1017156.2101984856,0.004061661179537879,2020-07,2020
2020-07-20,1017866.574403167,0.0006983826058957199,2020-07,2020
2020-07-21,1019599.2513522911,0.0017022633346026605,2020-07,2020
2020-07-22,1018463.3016285873,-0.0011141139248554977,2020-07,2020
2020-07-23,1019108.6255712188,0.0006336251307235141,2020-07,2020
2020-07-24,1014449.6693824048,-0.004571599211225075,2020-07,2020
2020-07-27,1008136.5482514187,-0.0062231979777068736,2020-07,2020
2020-07-28,1015352.6700937137,0.007157881394947108,2020-07,2020
