date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2020-05-05,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_CONSUMER_DURABLES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_FINANCIAL_SERVICES_EX_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_FMCG,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_IT,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_MEDIA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_METAL,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_OIL_GAS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_PHARMA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_PRIVATE_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_PSU_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_REALTY,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_IT_TELECOM,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_CONSUMER_DURABLES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_FINANCIAL_SERVICES_EX_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_FMCG,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_IT,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_MEDIA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_METAL,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_OIL_GAS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_PHARMA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_PRIVATE_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_PSU_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_REALTY,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_IT_TELECOM,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_CONSUMER_DURABLES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_FINANCIAL_SERVICES_EX_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_FMCG,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_IT,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_MEDIA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_METAL,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_OIL_GAS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_PHARMA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_PRIVATE_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_PSU_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_REALTY,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_MIDSMALL_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_MIDSMALL_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-07,NIFTY_MIDSMALL_IT_TELECOM,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_CONSUMER_DURABLES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_FINANCIAL_SERVICES_EX_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_FMCG,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_IT,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_MEDIA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_METAL,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_OIL_GAS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_PHARMA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_PRIVATE_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_PSU_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_REALTY,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_MIDSMALL_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_MIDSMALL_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-08,NIFTY_MIDSMALL_IT_TELECOM,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_CONSUMER_DURABLES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_FINANCIAL_SERVICES_EX_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_FMCG,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_IT,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_MEDIA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_METAL,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_OIL_GAS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_PHARMA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_PRIVATE_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_PSU_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_REALTY,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_MIDSMALL_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_MIDSMALL_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-11,NIFTY_MIDSMALL_IT_TELECOM,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_CONSUMER_DURABLES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_FINANCIAL_SERVICES_EX_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_FMCG,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_IT,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_MEDIA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_METAL,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_OIL_GAS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_PHARMA,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_PRIVATE_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_PSU_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_REALTY,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_MIDSMALL_FINANCIAL_SERVICES,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_MIDSMALL_HEALTHCARE,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-12,NIFTY_MIDSMALL_IT_TELECOM,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-13,NIFTY_AUTO,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-13,NIFTY_BANK,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
2020-05-13,NIFTY_CHEMICALS,52631.57894736842,0.0,0,52631.57894736842,,2020-05,2020
