universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,APOLLOTYRE,41649.01883484921,2.0,289.5,553.0,8450.447976468859,1.0,1.0,101.37336993410139,0.0,0.0,0.0,0.0,41649.01883484921,8450.447976468859,0.20289668791424373
NIFTY_AUTO,ASHOKLEY,70545.15594333739,2.0,29.0,38.0,-11778.276354459089,0.0,2.0,144.6414339571178,0.0,0.0,0.0,0.0,70545.15594333739,-11778.276354459089,-0.1669608096680589
NIFTY_AUTO,BAJAJ-AUTO,62306.59205692687,3.0,168.0,312.0,3170.816502159003,1.0,2.0,141.8294728659752,40843.28598414963,45270.443875584526,4427.157891434894,77.0,103149.8780410765,7597.974393593897,0.07365955770270731
NIFTY_AUTO,BHARATFORG,94338.02347032077,3.0,30.666666666666668,38.0,-4607.664198072569,1.0,2.0,204.98359669800317,40843.28598414963,47747.711312528096,6904.425328378464,77.0,135181.3094544704,2296.7611303058948,0.016990226974236057
NIFTY_AUTO,BOSCHLTD,43298.71763690937,2.0,295.5,553.0,18102.948007893254,1.0,1.0,115.05406632015762,0.0,0.0,0.0,0.0,43298.71763690937,18102.948007893254,0.41809432232380145
NIFTY_AUTO,EICHERMOT,86550.25860138508,2.0,135.0,250.0,6676.412648512996,1.0,1.0,199.3722750132518,40843.28598414963,47266.04643922073,6422.760455071097,77.0,127393.54458553472,13099.173103584093,0.10282446529140282
NIFTY_AUTO,EXIDEIND,37417.6780961389,2.0,432.5,553.0,33617.9268577208,2.0,0.0,118.0711180150976,0.0,0.0,0.0,0.0,37417.6780961389,33617.9268577208,0.8984503734129298
NIFTY_AUTO,M&M,42745.065268653794,2.0,92.0,158.0,-2024.4846361747987,1.0,1.0,92.94480184180513,0.0,0.0,0.0,0.0,42745.065268653794,-2024.4846361747987,-0.047361832844349694
NIFTY_AUTO,MRF,56973.86149706377,2.0,281.0,312.0,6056.592143671362,1.0,1.0,132.96542073929737,0.0,0.0,0.0,0.0,56973.86149706377,6056.592143671362,0.10630475071421122
NIFTY_AUTO,TVSMOTOR,105967.93464357813,4.0,117.0,250.0,12233.560057360679,2.0,2.0,248.31243349122812,0.0,0.0,0.0,0.0,105967.93464357813,12233.560057360679,0.11544586670022502
NIFTY_BANK,BANDHANBNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38255.324903955065,31645.626341195875,-6609.698562759189,45.0,38255.324903955065,-6609.698562759189,-0.17277852375724664
NIFTY_BANK,BANKBARODA,139610.23498376232,5.0,125.6,160.0,16229.13736828206,5.0,0.0,327.2616083933718,0.0,0.0,0.0,0.0,139610.23498376232,16229.13736828206,0.11624604292206532
NIFTY_BANK,FEDERALBNK,96912.28316110017,3.0,70.33333333333333,160.0,3126.3313162144404,1.0,2.0,218.7300126502617,38255.324903955065,41571.3351609033,3316.0102569482333,45.0,135167.60806505525,6442.341573162674,0.04766187450814413
NIFTY_BANK,HDFCBANK,88860.20273165824,3.0,134.66666666666666,251.0,7856.8106967519525,2.0,1.0,205.732925805908,0.0,0.0,0.0,0.0,88860.20273165824,7856.8106967519525,0.08841765441924662
NIFTY_BANK,ICICIBANK,201334.38219974755,7.0,116.71428571428571,251.0,6943.7455665260095,4.0,3.0,454.8751636885366,0.0,0.0,0.0,0.0,201334.38219974755,6943.7455665260095,0.03448862281076757
NIFTY_BANK,IDFCFIRSTB,28483.35244440686,1.0,160.0,160.0,7073.806662882547,1.0,0.0,70.67116560286513,0.0,0.0,0.0,0.0,28483.35244440686,7073.806662882547,0.24834880924529643
NIFTY_BANK,INDUSINDBK,36354.160003184086,1.0,38.0,38.0,-1175.198095140193,0.0,1.0,79.61541788319585,0.0,0.0,0.0,0.0,36354.160003184086,-1175.198095140193,-0.032326371866033016
NIFTY_BANK,KOTAKBANK,52138.63825509699,2.0,195.5,251.0,3219.819472000494,1.0,1.0,119.2715851155712,0.0,0.0,0.0,0.0,52138.63825509699,3219.819472000494,0.061754959081343666
NIFTY_BANK,PNB,102294.99608852855,3.0,93.33333333333333,160.0,16432.471453897713,2.0,1.0,244.50109037117846,0.0,0.0,0.0,0.0,102294.99608852855,16432.471453897713,0.1606380769561461
NIFTY_BANK,RBLBANK,36110.186712203744,1.0,137.0,137.0,-3180.8116329805634,0.0,1.0,76.99251202914203,38255.324903955065,39118.504251333616,863.179347378551,45.0,74365.51161615881,-2317.6322856020124,-0.031165418420901665
NIFTY_BANK,SBIN,124747.80749893823,4.0,97.5,137.0,5608.282956062347,2.0,2.0,283.1975797980724,0.0,0.0,0.0,0.0,124747.80749893823,5608.282956062347,0.04495696612631914
NIFTY_CHEMICALS,HSCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17171.075464631445,22008.154808692292,4837.079344060847,77.0,17171.075464631445,4837.079344060847,0.28169926537357215
NIFTY_CHEMICALS,NAVINFLUOR,17543.859649122805,1.0,4.0,4.0,-521.9634698857626,0.0,1.0,38.46781031046661,17171.075464631445,20351.708099026964,3180.632634395519,77.0,34714.935113754254,2658.6691645097562,0.07658574489042834
NIFTY_CHEMICALS,PIDILITIND,17543.859649122805,1.0,4.0,4.0,-331.8608327389047,0.0,1.0,38.66500394291573,0.0,0.0,0.0,0.0,17543.859649122805,-331.8608327389047,-0.01891606746611757
NIFTY_CHEMICALS,SOLARINDS,17543.859649122805,1.0,4.0,4.0,-264.52825084940923,0.0,1.0,38.73484808923712,17171.075464631445,17253.23808714839,82.1626225169457,77.0,34714.935113754254,-182.36562833246353,-0.005253232585193836
NIFTY_CONSUMER_DURABLES,AMBER,26461.626537065633,1.0,130.0,130.0,6256.762143380489,1.0,0.0,65.32828271010167,22913.20257044154,21546.737033723995,-1366.4655367175437,107.0,49374.829107507176,4890.296606662945,0.09904432471077458
NIFTY_CONSUMER_DURABLES,BATAINDIA,19391.61432476294,1.0,122.0,122.0,-1175.6787602097065,0.0,1.0,41.89824305125444,0.0,0.0,0.0,0.0,19391.61432476294,-1175.6787602097065,-0.06062820456924898
NIFTY_CONSUMER_DURABLES,BLUESTARCO,72921.90998891706,3.0,190.33333333333334,524.0,26695.390824726215,1.0,2.0,189.8349792104171,0.0,0.0,0.0,0.0,72921.90998891706,26695.390824726215,0.3660818926545325
NIFTY_CONSUMER_DURABLES,DIXON,29829.220632207813,1.0,27.0,27.0,-923.1783452186573,0.0,1.0,65.36846012149998,0.0,0.0,0.0,0.0,29829.220632207813,-923.1783452186573,-0.03094879201174517
NIFTY_CONSUMER_DURABLES,HAVELLS,36935.473973885746,2.0,109.5,122.0,558.4171152079434,1.0,1.0,82.70626570173967,0.0,0.0,0.0,0.0,36935.473973885746,558.4171152079434,0.015118720707435826
NIFTY_CONSUMER_DURABLES,KAJARIACER,35786.94423941551,2.0,281.0,524.0,-1336.0119039663732,1.0,1.0,78.18738608163946,22913.20257044154,22594.910897867045,-318.29167257449444,107.0,58700.14680985705,-1654.3035765408677,-0.028182273238592202
NIFTY_CONSUMER_DURABLES,KALYANKJIL,29829.220632207813,1.0,27.0,27.0,-8002.909292579312,0.0,1.0,58.0246489928096,0.0,0.0,0.0,0.0,29829.220632207813,-8002.909292579312,-0.2682909282563772
NIFTY_CONSUMER_DURABLES,PGEL,26461.626537065633,1.0,82.0,82.0,-9179.882542501731,0.0,1.0,49.31583762190473,0.0,0.0,0.0,0.0,26461.626537065633,-9179.882542501731,-0.34691301117273277
NIFTY_CONSUMER_DURABLES,RELAXO,17543.859649122805,1.0,97.0,97.0,646.9727408537765,1.0,0.0,39.68034886835609,0.0,0.0,0.0,0.0,17543.859649122805,646.9727408537765,0.03687744622866526
NIFTY_CONSUMER_DURABLES,TITAN,87098.17554289769,4.0,192.75,524.0,5873.138961175726,2.0,2.0,199.7573465584317,22913.20257044154,25604.625401236815,2691.4228307952762,107.0,110011.37811333923,8564.561791971002,0.07785159988767126
NIFTY_CONSUMER_DURABLES,TTKPRESTIG,19391.61432476294,1.0,122.0,122.0,-1208.237736729301,0.0,1.0,41.86446959631934,0.0,0.0,0.0,0.0,19391.61432476294,-1208.237736729301,-0.0623072280880912
NIFTY_CONSUMER_DURABLES,VOLTAS,24587.489111857634,1.0,20.0,20.0,-2096.754440182882,0.0,1.0,52.49597768413881,0.0,0.0,0.0,0.0,24587.489111857634,-2096.754440182882,-0.08527729003331597
NIFTY_FINANCIAL_SERVICES,AXISBANK,29649.029124126595,1.0,138.0,138.0,52.89250527306649,1.0,0.0,65.98027861041054,26952.223790703396,24501.360093077787,-2450.8636976256093,107.0,56601.252914829995,-2397.971192352543,-0.04236604436938629
NIFTY_FINANCIAL_SERVICES,BAJAJFINSV,44704.71245970501,2.0,145.0,161.0,6602.148058043618,2.0,0.0,106.25054371188043,0.0,0.0,0.0,0.0,44704.71245970501,6602.148058043618,0.14768349229389457
NIFTY_FINANCIAL_SERVICES,BAJAJHLDNG,73020.99426839259,3.0,103.33333333333333,161.0,3245.3997167102825,2.0,1.0,165.73059940031771,0.0,0.0,0.0,0.0,73020.99426839259,3245.3997167102825,0.04444474837991991
NIFTY_FINANCIAL_SERVICES,BAJFINANCE,71236.25711604036,3.0,142.33333333333334,161.0,-2133.632608444266,1.0,2.0,156.18251341722302,0.0,0.0,0.0,0.0,71236.25711604036,-2133.632608444266,-0.02995149794252502
