date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2020-05-04,2020-05-05,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,RATNAMANI,1,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,NATIONALUM,5,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,HINDCOPPER,10,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-04,2020-05-05,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-04-22,2020-05-04,1,5
2020-05-21,2020-05-22,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,APLAPOLLO,2,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,RATNAMANI,3,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,NATIONALUM,7,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,HINDCOPPER,8,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-21,2020-05-22,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-13,2020-05-21,1,5
2020-06-05,2020-06-08,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_IT,TATAELXSI,2,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_IT,JUSTDIAL,7,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_MEDIA,BALAJITELE,1,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_MEDIA,NETWORK18,2,MARKET_CAP_FILTER,2019-05-27,2020-06-05,1,5
2020-06-05,2020-06-08,NIFTY_MEDIA,SAREGAMA,3,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_MEDIA,JAGRAN,5,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_MEDIA,TVTODAY,6,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_MEDIA,DBCORP,7,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_MEDIA,DISHTV,9,MARKET_CAP_FILTER,2019-05-27,2020-06-05,1,5
2020-06-05,2020-06-08,NIFTY_METAL,APLAPOLLO,1,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_METAL,RATNAMANI,5,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_METAL,HINDCOPPER,7,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_METAL,NATIONALUM,10,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-05-27,2020-06-05,1,5
2020-06-05,2020-06-08,NIFTY_PSU_BANK,IOB,1,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_PSU_BANK,MAHABANK,2,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_PSU_BANK,CENTRALBK,3,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_PSU_BANK,INDIANB,11,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_PSU_BANK,J&KBANK,12,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_REALTY,IBREALEST,5,LOWER_CIRCUIT_FILTER,2019-05-27,2020-06-05,9,5
2020-06-05,2020-06-08,NIFTY_REALTY,BRIGADE,6,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-05,2020-06-08,NIFTY_REALTY,SOBHA,7,MARKET_CAP_FILTER,2019-05-27,2020-06-05,0,5
2020-06-22,2020-06-23,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_IT,TATAELXSI,1,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_IT,JUSTDIAL,7,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_MEDIA,NETWORK18,1,MARKET_CAP_FILTER,2019-06-12,2020-06-22,1,5
2020-06-22,2020-06-23,NIFTY_MEDIA,BALAJITELE,2,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_MEDIA,SAREGAMA,3,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_MEDIA,TVTODAY,5,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_MEDIA,DISHTV,6,MARKET_CAP_FILTER,2019-06-12,2020-06-22,1,5
2020-06-22,2020-06-23,NIFTY_MEDIA,JAGRAN,7,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_MEDIA,DBCORP,8,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_METAL,APLAPOLLO,3,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_METAL,RATNAMANI,4,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_METAL,HINDCOPPER,6,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_METAL,NATIONALUM,12,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2019-06-12,2020-06-22,1,5
2020-06-22,2020-06-23,NIFTY_PSU_BANK,IOB,1,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_PSU_BANK,MAHABANK,2,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_PSU_BANK,CENTRALBK,3,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_PSU_BANK,INDIANB,9,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_PSU_BANK,J&KBANK,11,MARKET_CAP_FILTER,2019-06-12,2020-06-22,0,5
2020-06-22,2020-06-23,NIFTY_REALTY,IBREALEST,3,LOWER_CIRCUIT_FILTER,2019-06-12,2020-06-22,9,5
