decision_date,execution_date,universe,action,symbol,reason,entry_date,entry_rank,exit_rank,score,price,quantity,gross_value,cost_value,brokerage,stt,exchange_charge,sebi_charge,gst,stamp_duty,transaction_cost,net_value,realized_pnl,rebalance_date,rank_before,rank_after,trade_value,entry_price,exit_price,notes,portfolio_value,cash_after,weight_after,weight_before
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,MRF,INITIAL_ENTRY,2020-05-05,1,,0.9888037438070885,58056.8724963474,5.447951548771982,316666.6666666667,316666.6666666667,0.0,316.6666666666667,9.405000000000001,0.31666666666666665,1.7499,47.5,375.6382333333334,316291.0284333333,0.0,2020-05-05,1,,316666.6666666667,58056.8724963474,,NIFTY_AUTO,1897746.1705999998,0.0,0.16666666666666669,
2020-05-04,2020-05-05,NIFTY_AUTO,BUY,BAJAJ-AUTO,INITIAL_ENTRY,2020-05-05,2,,0.8112624835744965,2134.3039185939965,148.1939969644504,316666.6666666667,316666.6666666667,0.0,316.6666666666667,9.405000000000001,0.31666666666666665,1.7499,47.5,375.6382333333334,316291.0284333333,0.0,2020-05-05,2,,316666.6666666667,2134.3039185939965,,NIFTY_AUTO,1897746.1705999998,0.0,0.16666666666666669,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,HINDZINC,INITIAL_ENTRY,2020-05-05,1,,0.9241232618719729,91.13235313688446,3470.6777291073727,316666.6666666667,316666.6666666667,0.0,316.6666666666667,9.405000000000001,0.31666666666666665,1.7499,47.5,375.6382333333334,316291.0284333333,0.0,2020-05-05,1,,316666.6666666667,91.13235313688446,,NIFTY_METAL,1897746.1705999998,0.0,0.16666666666666669,
2020-05-04,2020-05-05,NIFTY_METAL,BUY,COALINDIA,INITIAL_ENTRY,2020-05-05,2,,0.8638840743303089,86.42307167032571,3659.798504268337,316666.6666666667,316666.6666666667,0.0,316.6666666666667,9.405000000000001,0.31666666666666665,1.7499,47.5,375.6382333333334,316291.0284333333,0.0,2020-05-05,2,,316666.6666666667,86.42307167032571,,NIFTY_METAL,1897746.1705999998,0.0,0.16666666666666669,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,BIOCON,INITIAL_ENTRY,2020-05-05,1,,0.9189446295209673,362.7673378156524,871.8839748303444,316666.6666666667,316666.6666666667,0.0,316.6666666666667,9.405000000000001,0.31666666666666665,1.7499,47.5,375.6382333333334,316291.0284333333,0.0,2020-05-05,1,,316666.6666666667,362.7673378156524,,NIFTY_PHARMA,1897746.1705999998,0.0,0.16666666666666669,
2020-05-04,2020-05-05,NIFTY_PHARMA,BUY,DRREDDY,INITIAL_ENTRY,2020-05-05,2,,0.8965024703881491,766.4317443932638,412.67996889106047,316666.6666666667,316666.6666666667,0.0,316.6666666666667,9.405000000000001,0.31666666666666665,1.7499,47.5,375.6382333333334,316291.0284333333,0.0,2020-05-05,2,,316666.6666666667,766.4317443932638,,NIFTY_PHARMA,1897746.1705999998,0.0,0.16666666666666669,
2020-05-05,2020-05-06,NIFTY_AUTO,SELL,BAJAJ-AUTO,RANK_EXIT,2020-05-05,2,2.0,0.8112624835744965,2131.587646484375,148.1939969644504,315888.49321256543,316666.6666666667,0.0,315.88849321256544,9.381888248413194,0.3158884932125654,1.7455998134926365,0.0,327.3318697676838,315561.16134279774,-1105.5053238689434,2020-05-06,2,2.0,315888.49321256543,,2131.587646484375,NIFTY_AUTO,1852324.7693298515,315561.16134279774,0.0,
2020-05-05,2020-05-06,NIFTY_METAL,SELL,HINDZINC,RANK_EXIT,2020-05-05,1,3.0,0.9241232618719729,91.91889953613281,3470.6777291073727,319020.8775041142,316666.6666666667,0.0,319.0208775041142,9.474920061872192,0.3190208775041142,1.7629093690877349,0.0,330.5777278125782,318690.2997763016,2023.6331096349168,2020-05-06,1,3.0,319020.8775041142,,91.91889953613281,NIFTY_METAL,1852324.7693298515,0.0,0.24844813201511387,
2020-05-05,2020-05-06,NIFTY_METAL,SELL,COALINDIA,RANK_EXIT,2020-05-05,2,4.0,0.8638840743303089,80.32720947265625,3659.798504268337,293981.40108007676,316666.6666666667,0.0,293.98140108007675,8.73124761207828,0.29398140108007675,1.624541222368504,0.0,304.63117131560364,293676.76990876114,-22989.896757905546,2020-05-06,2,4.0,293981.40108007676,,80.32720947265625,NIFTY_METAL,1852324.7693298515,0.0,0.24844813201511387,
2020-05-05,2020-05-06,NIFTY_METAL,BUY,HINDZINC,INITIAL_ENTRY,2020-05-06,1,,0.9887047081079792,93.81749000040251,3259.736878181426,306183.5348425314,306183.5348425314,0.0,306.1835348425314,9.093650984823181,0.30618353484253136,1.6919702135398282,45.9275302263797,363.20286980211665,305820.33197272924,0.0,2020-05-06,1,,306183.5348425314,93.81749000040251,,NIFTY_METAL,1852324.7693298515,0.0,0.24844813201511387,
