year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2025,COMBINED,2648,5,2021,4876172.346006629,1398311.0598608477,-6939126.903348895,-664643.4974814178,-7.3365230600829845,-2.103851260351707,10.440374320434692
2025,NIFTY_AUTO,167,5,74,93887.51835188776,1398311.0598608477,-1398311.0598608477,93887.51835188782,0.9999999999999993,14.893471298495893,-14.893471298495893
2025,NIFTY_BANK,150,0,96,202066.4318877463,0.0,-106523.15303011615,95543.27885763014,2.1149204245842057,0.0,-1.1149204245842057
2025,NIFTY_CHEMICALS,4,0,242,86746.0030956991,0.0,-86746.0030956991,0.0,0.0,0.0,0.0
2025,NIFTY_CONSUMER_DURABLES,104,0,142,134912.39189071656,0.0,-345773.0775129388,-210860.68562222226,-0.6398176667813052,-0.0,1.6398176667813054
2025,NIFTY_FINANCIAL_SERVICES,164,0,82,170503.75286135008,0.0,-286942.73285783245,-116438.97999648238,-1.464318502845877,-0.0,2.464318502845877
2025,NIFTY_FINANCIAL_SERVICES_EX_BANK,202,0,44,1380956.388763106,0.0,-1494897.9572889435,-113941.5685258375,-12.119864651941832,-0.0,13.119864651941832
2025,NIFTY_FMCG,115,0,131,123160.24980075407,0.0,-123160.24980075407,0.0,0.0,0.0,0.0
2025,NIFTY_HEALTHCARE,213,0,33,265660.59082923445,0.0,-381320.2736569941,-115659.68282775965,-2.29691612785119,-0.0,3.29691612785119
2025,NIFTY_IT,151,0,95,736834.0274975627,0.0,-855773.5224856306,-118939.49498806789,-6.195032420235873,-0.0,7.195032420235873
2025,NIFTY_MEDIA,93,0,153,115646.25998709607,0.0,-115646.25998709607,0.0,0.0,0.0,0.0
2025,NIFTY_METAL,152,0,94,107584.94089344717,0.0,0.0,107584.94089344717,1.0,0.0,0.0
2025,NIFTY_MIDSMALL_FINANCIAL_SERVICES,141,0,105,115474.64196039549,0.0,-231016.4277390194,-115541.7857786239,-0.9994188784795393,-0.0,1.9994188784795393
2025,NIFTY_MIDSMALL_HEALTHCARE,139,0,107,142471.5422237035,0.0,-353332.2278459257,-210860.68562222223,-0.6756666934060689,-0.0,1.6756666934060689
2025,NIFTY_MIDSMALL_IT_TELECOM,130,0,116,169293.46981769108,0.0,-293508.77447595145,-124215.30465826037,-1.3629034705783576,-0.0,2.3629034705783574
2025,NIFTY_OIL_GAS,106,0,140,167627.60596105363,0.0,-72367.12055511378,95260.48540593985,1.7596761684210505,0.0,-0.7596761684210505
2025,NIFTY_PHARMA,212,0,34,454592.3192640125,0.0,-363144.67581591004,91447.64344810246,4.971066526410805,0.0,-3.9710665264108047
2025,NIFTY_PRIVATE_BANK,140,0,106,178162.60288910812,0.0,-83712.16938907442,94450.4335000337,1.8863079425574532,0.0,-0.8863079425574532
2025,NIFTY_PSU_BANK,182,0,64,60169.44395890704,0.0,-176529.0538778897,-116359.60991898266,-0.517099051817044,-0.0,1.517099051817044
2025,NIFTY_REALTY,83,0,163,170422.16407315753,0.0,-170422.16407315753,0.0,0.0,0.0,0.0
2026,COMBINED,1702,0,1072,1756245.126367489,0.0,-1917543.1800745798,-161298.05370709067,-10.888197879664089,-0.0,11.888197879664089
2026,NIFTY_AUTO,97,0,49,243873.77378464688,0.0,-274283.79392868886,-30410.020144041977,-8.019520297240822,-0.0,9.019520297240822
2026,NIFTY_BANK,82,0,64,77792.44502238689,0.0,-110843.47864709535,-33051.03362470846,-2.3537068736098594,-0.0,3.3537068736098594
2026,NIFTY_CHEMICALS,68,0,78,63391.316635095776,0.0,0.0,63391.316635095776,1.0,0.0,0.0
2026,NIFTY_CONSUMER_DURABLES,96,0,50,234504.91975343236,0.0,-170917.08637532685,63587.83337810551,3.6878897627950447,0.0,-2.6878897627950447
2026,NIFTY_FINANCIAL_SERVICES,120,0,26,78306.75403739793,0.0,-111144.95063624512,-32838.19659884719,-2.38462407037745,-0.0,3.38462407037745
2026,NIFTY_FINANCIAL_SERVICES_EX_BANK,92,0,54,72287.77662271033,0.0,-107592.2133733469,-35304.43675063657,-2.0475550178946538,-0.0,3.0475550178946538
2026,NIFTY_FMCG,33,0,113,70244.95796664618,0.0,-70244.95796664618,0.0,0.0,0.0,0.0
2026,NIFTY_HEALTHCARE,117,0,29,69324.66202125205,0.0,-99492.14371833237,-30167.481697080322,-2.297993008410823,-0.0,3.297993008410823
2026,NIFTY_IT,29,0,117,116799.20125444997,0.0,-145560.1199365749,-28760.918682124917,-4.061038610948175,-0.0,5.061038610948175
2026,NIFTY_MEDIA,68,0,78,58096.194566978644,0.0,0.0,58096.194566978644,1.0,0.0,0.0
