universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,123,-1.0,-1.0
NIFTY_AUTO,GOLDBEES,5,inf,inf
NIFTY_AUTO,Stocks,264,inf,inf
NIFTY_BANK,Cash,160,-1.0,-1.0
NIFTY_BANK,Stocks,232,inf,inf
NIFTY_CHEMICALS,Cash,320,-1.0,-1.0
NIFTY_CHEMICALS,Stocks,72,inf,inf
NIFTY_CONSUMER_DURABLES,Cash,192,-1.0,-1.0
NIFTY_CONSUMER_DURABLES,Stocks,200,inf,inf
NIFTY_FINANCIAL_SERVICES,Cash,108,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,284,inf,inf
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,98,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,294,inf,inf
NIFTY_FMCG,Cash,244,-1.0,-1.0
NIFTY_FMCG,Stocks,148,inf,inf
NIFTY_HEALTHCARE,Cash,62,-1.0,-1.0
NIFTY_HEALTHCARE,Stocks,330,inf,inf
NIFTY_IT,Cash,212,-1.0,-1.0
NIFTY_IT,Stocks,180,inf,inf
NIFTY_MEDIA,Cash,231,-1.0,-1.0
NIFTY_MEDIA,Stocks,161,inf,inf
NIFTY_METAL,Cash,94,0.0,0.0
NIFTY_METAL,Stocks,298,inf,inf
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,131,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,261,inf,inf
NIFTY_MIDSMALL_HEALTHCARE,Cash,146,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,246,inf,inf
NIFTY_MIDSMALL_IT_TELECOM,Cash,175,-1.0,-1.0
NIFTY_MIDSMALL_IT_TELECOM,Stocks,217,inf,inf
NIFTY_OIL_GAS,Cash,251,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,141,inf,inf
NIFTY_PHARMA,Cash,58,-1.0,-1.0
NIFTY_PHARMA,Stocks,334,inf,inf
NIFTY_PRIVATE_BANK,Cash,132,-1.0,-1.0
NIFTY_PRIVATE_BANK,Stocks,260,inf,inf
NIFTY_PSU_BANK,Cash,128,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,264,inf,inf
NIFTY_REALTY,Cash,228,-1.0,-1.0
NIFTY_REALTY,Stocks,164,inf,inf
COMBINED,Combined,392,-0.43522235164219925,-0.3073837461702117
