date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2025-06-23,2025-06-24,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-06-19,2025-06-23,7,5,2025,2025-06-23,7
2025-07-21,2025-07-22,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2024-07-18,2025-07-21,7,5,2025,2025-07-21,7
2025-07-25,2025-07-28,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-07-24,2025-07-25,7,5,2025,2025-07-25,7
2025-08-01,2025-08-04,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-07-31,2025-08-01,7,5,2025,2025-08-01,7
2025-08-08,2025-08-11,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-08-07,2025-08-08,7,5,2025,2025-08-08,7
2025-08-21,2025-08-22,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-08-20,2025-08-21,7,5,2025,2025-08-21,7
2025-08-29,2025-09-01,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-08-27,2025-08-29,7,5,2025,2025-08-29,7
2025-09-19,2025-09-22,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-09-17,2025-09-19,7,5,2025,2025-09-19,7
2025-09-22,2025-09-23,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2024-09-18,2025-09-22,7,5,2025,2025-09-22,7
2026-04-30,2026-05-04,NIFTY_MEDIA,DISHTV,5,LOWER_CIRCUIT_FILTER,2025-04-25,2026-04-30,7,5,2026,2026-04-30,7
2026-05-08,2026-05-11,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2025-05-06,2026-05-08,7,5,2026,2026-05-08,7
2026-05-21,2026-05-22,NIFTY_MEDIA,DISHTV,6,LOWER_CIRCUIT_FILTER,2025-05-19,2026-05-21,7,5,2026,2026-05-21,7
2026-06-05,2026-06-08,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2025-06-03,2026-06-05,7,5,2026,2026-06-05,7
2026-06-12,2026-06-15,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2025-06-10,2026-06-12,7,5,2026,2026-06-12,7
