universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,ASHOKLEY,685577.6585003108,12,5.916666666666667,20,6301.781314515269,7,5,1530.937194018948,0.0,0.0,0.0,0.0,685577.6585003108,6301.781314515269,0.00919192922403613
NIFTY_AUTO,BAJAJ-AUTO,221084.01944825373,6,1.3333333333333333,3,-4944.92215006637,0,6,486.4568874817672,0.0,0.0,0.0,0.0,221084.01944825373,-4944.92215006637,-0.02236671000648133
NIFTY_AUTO,BHARATFORG,533246.1393072048,11,8.818181818181818,29,-3330.5038983111517,6,5,1182.2323887954578,31699.719818362028,31717.91242008178,18.19260171975111,3.0,564945.8591255668,-3312.3112965914006,-0.005863059695168409
NIFTY_AUTO,BOSCHLTD,363017.53018909646,7,4.142857142857143,11,2748.225332312395,4,3,810.0299721618982,0.0,0.0,0.0,0.0,363017.53018909646,2748.225332312395,0.00757050308529409
NIFTY_AUTO,EICHERMOT,1002143.7283176593,18,1.6666666666666667,6,-3158.779386608978,8,10,2225.016911041917,0.0,0.0,0.0,0.0,1002143.7283176593,-3158.779386608978,-0.0031520223071312865
NIFTY_AUTO,EXIDEIND,66397.06630648862,2,0.5,1,-267.3124865069767,1,1,147.3583780851133,0.0,0.0,0.0,0.0,66397.06630648862,-267.3124865069767,-0.0040259683353035996
NIFTY_AUTO,GOLDBEES,1398646.5554688906,1,7.0,7,-19729.21889292542,0,1,3089.463073020016,0.0,0.0,0.0,0.0,1398646.5554688906,-19729.21889292542,-0.014105936067823281
NIFTY_AUTO,HEROMOTOCO,617006.0195242986,11,5.090909090909091,12,-2856.491642018722,5,6,1368.9664270976332,0.0,0.0,0.0,0.0,617006.0195242986,-2856.491642018722,-0.004629600930345914
NIFTY_AUTO,MARUTI,587578.7999191517,9,2.0,8,-5238.940822438839,1,8,1301.0628967296948,0.0,0.0,0.0,0.0,587578.7999191517,-5238.940822438839,-0.008916150179617941
NIFTY_AUTO,MRF,576527.3780693515,13,5.461538461538462,22,-1613.3386714440421,5,8,1280.2506035000156,0.0,0.0,0.0,0.0,576527.3780693515,-1613.3386714440421,-0.002798373039710129
NIFTY_AUTO,TVSMOTOR,1192964.6932814575,22,2.909090909090909,10,-6075.578364324683,7,15,2646.286857410544,0.0,0.0,0.0,0.0,1192964.6932814575,-6075.578364324683,-0.00509284004676848
NIFTY_BANK,BANDHANBNK,34697.34648812659,1,1.0,1,-4149.719299269935,0,1,72.8459750433112,0.0,0.0,0.0,0.0,34697.34648812659,-4149.719299269935,-0.11959759806675609
NIFTY_BANK,FEDERALBNK,1133184.9142052564,20,4.8,29,6701.015752367879,13,7,2526.618084162235,31699.719818362028,30559.09026916288,-1140.6295491991477,3.0,1164884.6340236184,5560.386203168731,0.0047733363809278236
NIFTY_BANK,HDFCBANK,450232.28797909804,8,1.125,2,-1549.8365565007844,4,4,999.4959469068499,0.0,0.0,0.0,0.0,450232.28797909804,-1549.8365565007844,-0.003442304334629895
NIFTY_BANK,ICICIBANK,602560.47357146,11,2.090909090909091,4,-3851.6126488329755,1,10,1335.81412750787,0.0,0.0,0.0,0.0,602560.47357146,-3851.6126488329755,-0.006392076509771592
NIFTY_BANK,KOTAKBANK,802785.0086072457,13,4.538461538461538,14,-2024.5339698183525,6,7,1782.9139931411462,0.0,0.0,0.0,0.0,802785.0086072457,-2024.5339698183525,-0.002521888112149382
NIFTY_BANK,RBLBANK,1071950.5873848824,25,6.48,28,15016.867951478998,15,10,2399.0879534009578,0.0,0.0,0.0,0.0,1071950.5873848824,15016.867951478998,0.014008918067869124
NIFTY_BANK,SBIN,952308.7898801896,15,2.8666666666666667,8,6757.902619178902,9,6,2124.4941689085995,0.0,0.0,0.0,0.0,952308.7898801896,6757.902619178902,0.007096335443915326
NIFTY_CHEMICALS,HSCL,297842.3488652261,8,5.625,12,-13840.059797569178,1,7,647.9041619685817,31699.719818362028,32201.04591998755,501.32610162552373,3.0,329542.0686835881,-13338.733695943654,-0.040476573292227896
NIFTY_CHEMICALS,LINDEINDIA,36945.64614705875,1,2.0,2,-1953.9505916031048,0,1,80.1228025737139,0.0,0.0,0.0,0.0,36945.64614705875,-1953.9505916031048,-0.05288716791758314
NIFTY_CHEMICALS,NAVINFLUOR,309177.8304513978,8,5.25,23,574.3597923998095,5,3,688.0610000506424,0.0,0.0,0.0,0.0,309177.8304513978,574.3597923998095,0.0018577004423675774
NIFTY_CHEMICALS,SOLARINDS,300053.4836362649,8,4.75,17,-5766.439365656752,1,7,661.1954531269657,0.0,0.0,0.0,0.0,300053.4836362649,-5766.439365656752,-0.01921803838360706
NIFTY_CONSUMER_DURABLES,AMBER,1407394.8243064745,25,3.92,20,-33883.494405359335,8,17,3094.232841499096,0.0,0.0,0.0,0.0,1407394.8243064745,-33883.494405359335,-0.02407532969439204
NIFTY_CONSUMER_DURABLES,BLUESTARCO,162581.22601266846,2,1.0,1,-1234.5859816389566,0,2,360.22308879718895,0.0,0.0,0.0,0.0,162581.22601266846,-1234.5859816389566,-0.007593656487390227
NIFTY_CONSUMER_DURABLES,CROMPTON,35673.09113607499,1,3.0,3,66.88958895765973,1,0,79.38946159675584,0.0,0.0,0.0,0.0,35673.09113607499,66.88958895765973,0.001875071288398009
NIFTY_CONSUMER_DURABLES,DIXON,692595.0245995042,8,1.5,3,1694.4879073725897,3,5,1541.7613466571745,0.0,0.0,0.0,0.0,692595.0245995042,1694.4879073725897,0.0024465782270850617
NIFTY_CONSUMER_DURABLES,KAJARIACER,792200.1272883505,18,3.888888888888889,15,814.0582380428896,10,8,1762.3226992165585,0.0,0.0,0.0,0.0,792200.1272883505,814.0582380428896,0.0010275916526665528
NIFTY_CONSUMER_DURABLES,KALYANKJIL,183903.96226081942,5,4.0,12,1297.1687377712842,3,2,410.26095735411604,31831.676251045326,31793.916689052752,-37.75956199257416,0.0,215735.63851186476,1259.40917577871,0.005837742824811241
NIFTY_CONSUMER_DURABLES,PGEL,164780.50837259996,4,1.0,1,-4690.042094502212,1,3,361.5289045768688,0.0,0.0,0.0,0.0,164780.50837259996,-4690.042094502212,-0.02846235966147852
NIFTY_CONSUMER_DURABLES,TITAN,1273017.1563680437,29,4.827586206896552,17,-8115.56179405046,13,16,2822.169584141814,31831.676251045326,31793.916689052752,-37.75956199257416,0.0,1304848.8326190892,-8153.321356043034,-0.00624847963398006
NIFTY_CONSUMER_DURABLES,VOLTAS,285807.29335845937,4,1.25,2,-4139.1843618138955,0,4,631.2066191776154,0.0,0.0,0.0,0.0,285807.29335845937,-4139.1843618138955,-0.014482430847635971
NIFTY_FINANCIAL_SERVICES,AXISBANK,1244295.2981822805,21,2.238095238095238,10,-5258.4086964649105,9,12,2761.2694878927564,0.0,0.0,0.0,0.0,1244295.2981822805,-5258.4086964649105,-0.0042260134745720065
NIFTY_FINANCIAL_SERVICES,BAJAJFINSV,303846.5402717674,4,1.5,3,-3929.0206876431475,0,4,671.5353725145258,0.0,0.0,0.0,0.0,303846.5402717674,-3929.0206876431475,-0.012930937716549084
NIFTY_FINANCIAL_SERVICES,BAJAJHLDNG,1486720.312242572,24,2.2083333333333335,7,-33796.754864044684,10,14,3270.7051710489345,0.0,0.0,0.0,0.0,1486720.312242572,-33796.754864044684,-0.022732422894704108
NIFTY_FINANCIAL_SERVICES,BAJFINANCE,1675692.686509093,34,3.911764705882353,14,-6222.533363297676,16,18,3719.493088633174,31560.63797254242,30081.124318398946,-1479.513654143473,2.0,1707253.3244816354,-7702.047017441149,-0.004511367415131367
NIFTY_FINANCIAL_SERVICES,CHOLAFIN,153254.6021435573,4,1.0,1,-3351.9857187334637,0,4,337.2887093352595,0.0,0.0,0.0,0.0,153254.6021435573,-3351.9857187334637,-0.02187200692083346
NIFTY_FINANCIAL_SERVICES,EDELWEISS,391883.69710526,5,1.4,3,-10791.427252678353,1,4,860.1699766527381,0.0,0.0,0.0,0.0,391883.69710526,-10791.427252678353,-0.027537321231762737
NIFTY_FINANCIAL_SERVICES,HDFCBANK,138876.53284869183,3,1.0,1,-156.17211292785214,1,2,308.63370606204336,0.0,0.0,0.0,0.0,138876.53284869183,-156.17211292785214,-0.0011245392560167392
NIFTY_FINANCIAL_SERVICES,HDFCLIFE,434104.81385798263,11,1.9090909090909092,4,-3338.5755639305935,4,7,961.7806141788769,0.0,0.0,0.0,0.0,434104.81385798263,-3338.5755639305935,-0.007690713065952796
NIFTY_FINANCIAL_SERVICES,ICICIBANK,833118.5166894862,12,1.9166666666666667,4,-8387.170588350265,1,11,1843.76139511859,0.0,0.0,0.0,0.0,833118.5166894862,-8387.170588350265,-0.010067199828516438
NIFTY_FINANCIAL_SERVICES,M&MFIN,2520669.0131283426,41,2.5365853658536586,20,-12158.058341642602,18,23,5592.163736990611,0.0,0.0,0.0,0.0,2520669.0131283426,-12158.058341642602,-0.004823345817447695
NIFTY_FINANCIAL_SERVICES,PFC,586581.7094573441,14,4.0,17,-8855.396358076672,4,10,1295.0944867850585,0.0,0.0,0.0,0.0,586581.7094573441,-8855.396358076672,-0.01509661180241869
NIFTY_FINANCIAL_SERVICES,SBILIFE,1100550.6953491624,22,2.090909090909091,10,-2775.0835185648248,8,14,2444.2254552935374,0.0,0.0,0.0,0.0,1100550.6953491624,-2775.0835185648248,-0.0025215408343224003
NIFTY_FINANCIAL_SERVICES,SBIN,1008376.7044226894,20,3.55,10,3970.985546999469,11,9,2246.271812368816,0.0,0.0,0.0,0.0,1008376.7044226894,3970.985546999469,0.003937998100891191
NIFTY_FINANCIAL_SERVICES_EX_BANK,ABCAPITAL,365589.55332008225,8,10.5,28,-1602.5548010043349,3,5,811.2358666719598,31699.719818362028,30591.41674504142,-1108.303073320607,3.0,397289.2731384443,-2710.857874324942,-0.006823385521864526
NIFTY_FINANCIAL_SERVICES_EX_BANK,ANGELONE,36301.52223653556,1,1.0,1,-1386.9931327213853,0,1,79.27868121577899,0.0,0.0,0.0,0.0,36301.52223653556,-1386.9931327213853,-0.038207574979471526
NIFTY_FINANCIAL_SERVICES_EX_BANK,BAJFINANCE,786125.8554096572,1,21.0,21,22021.634024347295,1,0,1770.8150294155043,0.0,0.0,0.0,0.0,786125.8554096572,22021.634024347295,0.028012860628876816
NIFTY_FINANCIAL_SERVICES_EX_BANK,BSE,2792691.813890665,26,9.923076923076923,29,-170952.01908500525,12,14,6032.29663103011,0.0,0.0,0.0,0.0,2792691.813890665,-170952.01908500525,-0.06121406530957021
NIFTY_FINANCIAL_SERVICES_EX_BANK,HDFCAMC,110850.42111361791,2,4.5,7,-2220.360645588342,0,2,244.17570875178387,0.0,0.0,0.0,0.0,110850.42111361791,-2220.360645588342,-0.020030240961489428
NIFTY_FINANCIAL_SERVICES_EX_BANK,LTF,367009.15582690836,8,11.5,28,3182.1915391585353,4,4,819.3556125824891,0.0,0.0,0.0,0.0,367009.15582690836,3182.1915391585353,0.008670605320427877
NIFTY_FINANCIAL_SERVICES_EX_BANK,MCX,543777.791741627,12,8.916666666666666,17,2946.2847945648173,7,5,1212.1607194776395,0.0,0.0,0.0,0.0,543777.791741627,2946.2847945648173,0.005418177864764157
NIFTY_FINANCIAL_SERVICES_EX_BANK,MFSL,155096.49373252617,4,16.0,29,4310.174530799028,2,2,349.3321703452388,0.0,0.0,0.0,0.0,155096.49373252617,4310.174530799028,0.02779027705314989
NIFTY_FINANCIAL_SERVICES_EX_BANK,MUTHOOTFIN,87733.29947961125,2,8.5,14,-538.8279266591053,1,1,194.51842281931013,0.0,0.0,0.0,0.0,87733.29947961125,-538.8279266591053,-0.006141658068887812
NIFTY_FINANCIAL_SERVICES_EX_BANK,PAYTM,1170885.2224671107,7,7.285714285714286,12,-32932.261326163745,2,5,2569.334099779506,0.0,0.0,0.0,0.0,1170885.2224671107,-32932.261326163745,-0.028125951796345937
