universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,971,-1.0,-1.0
NIFTY_AUTO,Stocks,257,-0.0463151591198131,-0.04543487646466149
NIFTY_BANK,Cash,1077,-1.0,-1.0
NIFTY_BANK,Stocks,151,0.029739768585595794,0.050123970335893775
NIFTY_CHEMICALS,Cash,1228,0.0,0.0
NIFTY_CONSUMER_DURABLES,Cash,1134,-1.0,-1.0
NIFTY_CONSUMER_DURABLES,Stocks,94,-0.0122242490107074,-0.032435646716089006
NIFTY_FINANCIAL_SERVICES,Cash,1120,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,108,0.0014884511704125192,0.0034764996137193194
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,1215,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,13,-0.13289923509339163,-0.9369765140851511
NIFTY_FMCG,Cash,1160,-1.0,-1.0
NIFTY_FMCG,Stocks,68,-0.1362738710076632,-0.41894511654642763
NIFTY_HEALTHCARE,Cash,900,-1.0,-1.0
NIFTY_HEALTHCARE,Stocks,328,0.6703395990322178,0.4831302059680329
NIFTY_IT,Cash,1066,-1.0,-1.0
NIFTY_IT,Stocks,162,-0.013882561411105443,-0.021511646935714723
NIFTY_MEDIA,Cash,1160,-1.0,-1.0
NIFTY_MEDIA,Stocks,68,-0.22691330443845514,-0.6147107814899003
NIFTY_METAL,Cash,865,-1.0,-1.0
NIFTY_METAL,Stocks,363,0.07866488602147648,0.053975040129655705
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1195,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,33,-0.08138367243750211,-0.4770272711382083
NIFTY_MIDSMALL_HEALTHCARE,Cash,1002,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,226,0.2709113253186246,0.3064509541261986
NIFTY_MIDSMALL_IT_TELECOM,Cash,1228,0.0,0.0
NIFTY_OIL_GAS,Cash,1142,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,86,-0.011879972397897398,-0.03441342412388815
NIFTY_PHARMA,Cash,699,-1.0,-1.0
NIFTY_PHARMA,Stocks,529,0.05258219602373804,0.02471268293329132
NIFTY_PRIVATE_BANK,Cash,1209,-1.0,-1.0
NIFTY_PRIVATE_BANK,Stocks,19,-0.07712973334667073,-0.655130339552022
NIFTY_PSU_BANK,Cash,994,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,234,-0.11584699804342047,-0.12418142681963829
NIFTY_REALTY,Cash,937,-1.0,-1.0
NIFTY_REALTY,Stocks,291,1.1191708104328035,0.9162536680389475
COMBINED,Combined,1228,0.48881091659809806,0.08509734617630293
