date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2021-08-09,2021-08-10,NIFTY_IT,TATAELXSI,1,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,JUSTDIAL,4,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,WIPRO,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,HCLTECH,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_IT,TCS,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,HINDCOPPER,2,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,APLAPOLLO,4,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,VEDL,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,JSWSTEEL,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,HINDALCO,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,NATIONALUM,8,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,NMDC,9,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,RATNAMANI,10,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,JINDALSTEL,11,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,HINDZINC,12,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,COALINDIA,13,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_METAL,WELCORP,14,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,LUPIN,4,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,GLENMARK,5,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,BIOCON,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,AUROPHARMA,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PHARMA,DRREDDY,8,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,J&KBANK,2,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,INDIANB,4,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,CENTRALBK,5,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,BANKINDIA,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,BANKBARODA,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,MAHABANK,8,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,CANBK,9,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,PSB,10,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,UNIONBANK,11,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,PNB,12,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_PSU_BANK,UCOBANK,13,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,IBREALEST,1,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,BRIGADE,2,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,SOBHA,4,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,PRESTIGE,5,MARKET_CAP_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,OBEROIRLTY,6,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,GODREJPROP,7,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-09,2021-08-10,NIFTY_REALTY,PHOENIXLTD,8,ENTRY_FILTER,2020-08-06,2021-08-09,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,KAJARIACER,3,MARKET_CAP_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,RAJESHEXPO,4,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,DIXON,5,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,HAVELLS,6,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,TTKPRESTIG,7,MARKET_CAP_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,BATAINDIA,8,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,CROMPTON,9,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,ORIENTELEC,10,MARKET_CAP_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,BLUESTARCO,11,MARKET_CAP_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,VOLTAS,12,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,AMBER,13,MARKET_CAP_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_CONSUMER_DURABLES,WHIRLPOOL,14,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,MARICO,4,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,EMAMILTD,5,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,HINDUNILVR,6,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,GODREJIND,7,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,DABUR,8,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,UBL,9,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,BRITANNIA,10,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,NESTLEIND,11,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,ITC,12,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-20,2021-08-23,NIFTY_FMCG,COLPAL,13,ENTRY_FILTER,2020-08-18,2021-08-20,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,KAJARIACER,3,MARKET_CAP_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,HAVELLS,4,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,RAJESHEXPO,5,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,TTKPRESTIG,6,MARKET_CAP_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,DIXON,7,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,ORIENTELEC,8,MARKET_CAP_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,BATAINDIA,9,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,CROMPTON,10,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,BLUESTARCO,11,MARKET_CAP_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,VOLTAS,12,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,AMBER,13,MARKET_CAP_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_CONSUMER_DURABLES,WHIRLPOOL,14,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_FMCG,EMAMILTD,4,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
2021-08-23,2021-08-24,NIFTY_FMCG,MARICO,5,ENTRY_FILTER,2020-08-19,2021-08-23,0,5
