date,portfolio_value,daily_return,month,year
2021-08-10,998813.774,0.0,2021-08,2021
2021-08-11,986160.9751373985,-0.012667825766889629,2021-08,2021
2021-08-12,1002708.6445919363,0.016779886724104243,2021-08,2021
2021-08-13,1003242.8044213078,0.000532716888651974,2021-08,2021
2021-08-16,998621.3231395195,-0.004606543163251486,2021-08,2021
2021-08-17,997120.7331670525,-0.0015026616573231566,2021-08,2021
2021-08-18,996196.4657987372,-0.0009269362651598279,2021-08,2021
2021-08-20,959048.6111751106,-0.0372896872243389,2021-08,2021
2021-08-23,954400.5611056676,-0.004846521871031961,2021-08,2021
2021-08-24,957888.9516902479,0.0036550592348132405,2021-08,2021
2021-08-25,953126.4780506789,-0.004971843167378975,2021-08,2021
2021-08-26,948621.8351170237,-0.004726175420987189,2021-08,2021
2021-08-27,952238.3766853014,0.0038124165335406968,2021-08,2021
2021-08-30,969255.4234751436,0.017870574434394992,2021-08,2021
2021-08-31,978907.4304654541,0.00995816660556259,2021-08,2021
2021-09-01,981060.11997528,0.0021990736231334296,2021-09,2021
2021-09-02,992365.0078154225,0.01152313462749599,2021-09,2021
2021-09-03,1001187.1785384252,0.008890046155923814,2021-09,2021
2021-09-06,1004546.8665756367,0.003355704217183453,2021-09,2021
2021-09-07,991875.7841241723,-0.012613729506377735,2021-09,2021
2021-09-08,990734.7144007856,-0.001150415950918915,2021-09,2021
2021-09-09,992130.6348554367,0.001408975010525726,2021-09,2021
2021-09-13,998473.2429250382,0.006392916262005777,2021-09,2021
2021-09-14,1002101.2788114637,0.003633583485719738,2021-09,2021
2021-09-15,1008440.2554058612,0.006325684567447976,2021-09,2021
2021-09-16,1001265.9267647442,-0.0071142822816305795,2021-09,2021
2021-09-17,986357.4104403843,-0.014889667096264603,2021-09,2021
2021-09-20,958905.2412864114,-0.027831867904471008,2021-09,2021
2021-09-21,975050.6752335031,0.01683736124482116,2021-09,2021
2021-09-22,1000420.8016265649,0.026019290112266447,2021-09,2021
2021-09-23,1025122.7002244734,0.02469150837102352,2021-09,2021
2021-09-24,1021495.486425866,-0.0035383216056117384,2021-09,2021
2021-09-27,1019684.769590643,-0.0017726136427275163,2021-09,2021
2021-09-28,1010230.3270684035,-0.009271926779915618,2021-09,2021
2021-09-29,1012770.5372251382,0.002514486141102168,2021-09,2021
2021-09-30,1013269.1774860028,0.0004923526529818645,2021-09,2021
2021-10-01,1014512.1805874072,0.0012267254635025537,2021-10,2021
2021-10-04,1033131.1745964257,0.018352656937285827,2021-10,2021
2021-10-05,1028627.4112403815,-0.0043593335161951074,2021-10,2021
2021-10-06,1011564.1949326713,-0.016588335213752914,2021-10,2021
2021-10-07,1046904.140219982,0.034935939275374306,2021-10,2021
2021-10-08,1045830.1705565235,-0.0010258529145111828,2021-10,2021
2021-10-11,1051731.7662888865,0.005642977128134108,2021-10,2021
2021-10-12,1062335.5270773824,0.010082191228198756,2021-10,2021
2021-10-13,1082217.6378622276,0.018715471974794395,2021-10,2021
2021-10-14,1089796.7470399707,0.007003313300931291,2021-10,2021
2021-10-18,1108625.9324716714,0.01727770383132743,2021-10,2021
2021-10-19,1083453.5955192228,-0.02270588862766998,2021-10,2021
2021-10-20,1064412.0340033963,-0.017574875005792245,2021-10,2021
2021-10-21,1048731.2689155047,-0.01473185626144613,2021-10,2021
2021-10-22,1045734.3530873945,-0.002857658503125693,2021-10,2021
2021-10-25,1029415.8258091192,-0.015604849577808166,2021-10,2021
2021-10-26,1058566.2512582678,0.028317444436252392,2021-10,2021
2021-10-27,1060082.8812656312,0.0014327209143127906,2021-10,2021
2021-10-28,1033625.439247521,-0.02495789950548266,2021-10,2021
2021-10-29,1029103.800929142,-0.00437454240838997,2021-10,2021
2021-11-01,1056393.635337777,0.02651805812396746,2021-11,2021
2021-11-02,1063514.201969685,0.006740448251215891,2021-11,2021
2021-11-03,1068870.769349235,0.005036667464928479,2021-11,2021
2021-11-04,1073521.95357506,0.004351493519330507,2021-11,2021
2021-11-08,1090697.8761272794,0.01599960065559891,2021-11,2021
2021-11-09,1088889.6753239399,-0.0016578383830357923,2021-11,2021
2021-11-10,1078710.999820614,-0.009347756466051349,2021-11,2021
2021-11-11,1063564.976627817,-0.014040853569969869,2021-11,2021
2021-11-12,1079908.0784913243,0.015366340771511222,2021-11,2021
2021-11-15,1074405.5345629167,-0.005095381762580065,2021-11,2021
2021-11-16,1073562.3306678233,-0.0007848097091536221,2021-11,2021
2021-11-17,1066002.0407056678,-0.007042245937832536,2021-11,2021
2021-11-18,1052078.9821256506,-0.013061005559426908,2021-11,2021
2021-11-22,1027956.2260975331,-0.02292865501350405,2021-11,2021
2021-11-23,1028265.3157871781,0.0003006837079224667,2021-11,2021
2021-11-24,1050925.2286254142,0.022037029247542916,2021-11,2021
2021-11-25,1060026.7842755762,0.0086605168495828,2021-11,2021
2021-11-26,1025283.996601602,-0.03277538661225199,2021-11,2021
2021-11-29,1010562.4493317666,-0.014358506831893658,2021-11,2021
2021-11-30,1007739.980866662,-0.0027929678833514826,2021-11,2021
2021-12-01,1027906.7548928462,0.02001188243900054,2021-12,2021
2021-12-02,1037578.9944946272,0.009409646892328594,2021-12,2021
2021-12-03,1038905.5690810918,0.0012785287611867258,2021-12,2021
2021-12-06,1028480.5384200974,-0.010034627757569248,2021-12,2021
2021-12-07,1040386.7663301241,0.011576522321284255,2021-12,2021
2021-12-08,1056022.050467838,0.015028338156266807,2021-12,2021
2021-12-09,1065880.549999457,0.009335505378179842,2021-12,2021
