rebalance_date,beginning_value,ending_value,monthly_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings
2021-08-10,1000000.0,998813.774,-0.001186226000000068,0.0,998813.774,0.0,-1186.2260000000388,1000000.0,0.0,1186.2259999999999,0.0,1186.2259999999999,1.0,10
2021-08-11,998813.774,986160.9751373985,-0.012667825766889629,0.0,986160.9751373985,0.0,-13839.024862601596,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-12,986160.9751373985,1002708.6445919363,0.016779886724104243,0.0,1002708.6445919364,0.0,2708.6445919362523,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-13,1002708.6445919363,1003242.8044213078,0.000532716888651974,0.0,1003242.8044213078,0.0,3242.804421307803,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-16,1003242.8044213078,998621.3231395195,-0.004606543163251486,0.0,998621.3231395195,0.0,-1378.676860480453,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-17,998621.3231395195,997120.7331670525,-0.0015026616573231566,0.0,997120.7331670524,0.0,-2879.2668329475127,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-18,997120.7331670525,996196.4657987372,-0.0009269362651598279,0.0,996196.4657987372,0.0,-3803.5342012627952,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-20,996196.4657987372,959048.6111751106,-0.0372896872243389,0.0,959048.6111751106,0.0,-40951.3888248894,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-23,959048.6111751106,954400.5611056676,-0.004846521871031961,0.0,954400.5611056676,-19746.995103766225,-25852.44379056622,380253.0048962338,380647.4416721279,451.06600098603974,394.4367758941424,845.5027768801822,0.7933909060522383,10
2021-08-24,954400.5611056676,957888.9516902479,0.0036550592348132405,0.0,957888.9516902479,0.0,-22364.05320598594,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-25,957888.9516902479,953126.4780506789,-0.004971843167378975,0.0,953126.4780506787,0.0,-27126.526845554945,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-26,953126.4780506789,948621.8351170237,-0.004726175420987189,0.0,948621.8351170237,0.0,-31631.169779210068,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-27,948621.8351170237,952238.3766853014,0.0038124165335406968,0.0,952238.3766853013,0.0,-28014.628210932402,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-30,952238.3766853014,969255.4234751436,0.017870574434394992,0.0,969255.4234751436,0.0,-10997.581421090137,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-08-31,969255.4234751436,978907.4304654541,0.00995816660556259,0.0,978907.4304654541,0.0,-1345.5744307796558,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-01,978907.4304654541,981060.11997528,0.0021990736231334296,0.0,981060.1199752799,0.0,807.1150790462343,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-02,981060.11997528,992365.0078154225,0.01152313462749599,0.0,992365.0078154225,0.0,12112.002919188672,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-03,992365.0078154225,1001187.1785384252,0.008890046155923814,0.0,1001187.1785384252,0.0,20934.173642191432,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-06,1001187.1785384252,1004546.8665756367,0.003355704217183453,0.0,1004546.8665756368,0.0,24293.861679402908,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-07,1004546.8665756367,991875.7841241723,-0.012613729506377735,0.0,991875.7841241723,0.0,11622.779227938423,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-08,991875.7841241723,990734.7144007856,-0.001150415950918915,0.0,990734.7144007856,0.0,10481.709504551865,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-09,990734.7144007856,992130.6348554367,0.001408975010525726,0.0,992130.6348554366,0.0,11877.629959202968,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-13,992130.6348554367,998473.2429250382,0.006392916262005777,0.0,998473.2429250382,0.0,18220.23802880437,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-14,998473.2429250382,1002101.2788114637,0.003633583485719738,0.0,1002101.2788114636,0.0,21848.273915229962,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-15,1002101.2788114637,1008440.2554058612,0.006325684567447976,0.0,1008440.2554058613,0.0,28187.250509627404,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-16,1008440.2554058612,1001265.9267647442,-0.0071142822816305795,0.0,1001265.9267647442,0.0,21012.921868510384,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-17,1001265.9267647442,986357.4104403843,-0.014889667096264603,0.0,986357.4104403843,0.0,6104.405544150453,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-20,986357.4104403843,958905.2412864114,-0.027831867904471008,0.0,958905.2412864114,0.0,-21347.763609822352,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-21,958905.2412864114,975050.6752335031,0.01683736124482116,0.0,975050.6752335031,0.0,-5202.329662730663,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-22,975050.6752335031,1000420.8016265649,0.026019290112266447,0.0,1000420.8016265649,0.0,20167.796730331087,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-23,1000420.8016265649,1025122.7002244734,0.02469150837102352,0.0,1025122.7002244734,0.0,44869.69532823959,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-24,1025122.7002244734,1021495.486425866,-0.0035383216056117384,0.0,1021495.486425866,0.0,41242.481529632176,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-27,1021495.486425866,1019684.769590643,-0.0017726136427275163,0.0,1019684.769590643,0.0,39431.764694409256,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-28,1019684.769590643,1010230.3270684035,-0.009271926779915618,0.0,1010230.3270684034,0.0,29977.32217216969,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-29,1010230.3270684035,1012770.5372251382,0.002514486141102168,0.0,1012770.5372251382,0.0,32517.53232890443,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-09-30,1012770.5372251382,1013269.1774860028,0.0004923526529818645,0.0,1013269.1774860029,0.0,33016.172589769034,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-01,1013269.1774860028,1014512.1805874072,0.0012267254635025537,0.0,1014512.1805874072,0.0,34259.17569117339,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-04,1014512.1805874072,1033131.1745964257,0.018352656937285827,0.0,1033131.1745964257,0.0,52878.16970019194,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-05,1033131.1745964257,1028627.4112403815,-0.0043593335161951074,0.0,1028627.4112403815,0.0,48374.40634414772,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-06,1028627.4112403815,1011564.1949326713,-0.016588335213752914,0.0,1011564.1949326711,0.0,31311.19003643741,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-07,1011564.1949326713,1046904.140219982,0.034935939275374306,0.0,1046904.140219982,0.0,66651.13532374818,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-08,1046904.140219982,1045830.1705565235,-0.0010258529145111828,0.0,1045830.1705565235,0.0,65577.16566028973,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-11,1045830.1705565235,1051731.7662888865,0.005642977128134108,0.0,1051731.7662888863,0.0,71478.76139265274,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-12,1051731.7662888865,1062335.5270773824,0.010082191228198756,0.0,1062335.5270773824,0.0,82082.52218114861,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-13,1062335.5270773824,1082217.6378622276,0.018715471974794395,0.0,1082217.6378622276,0.0,101964.63296599378,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-14,1082217.6378622276,1089796.7470399707,0.007003313300931291,0.0,1089796.747039971,0.0,109543.74214373702,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-18,1089796.7470399707,1108625.9324716714,0.01727770383132743,0.0,1108625.9324716714,0.0,128372.92757543761,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-19,1108625.9324716714,1083453.5955192228,-0.02270588862766998,0.0,1083453.5955192228,0.0,103200.59062298897,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-20,1083453.5955192228,1064412.0340033963,-0.017574875005792245,0.0,1064412.0340033963,0.0,84159.02910716253,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-21,1064412.0340033963,1048731.2689155047,-0.01473185626144613,0.0,1048731.2689155047,0.0,68478.26401927083,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-22,1048731.2689155047,1045734.3530873945,-0.002857658503125693,0.0,1045734.3530873945,0.0,65481.34819116072,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-25,1045734.3530873945,1029415.8258091192,-0.015604849577808166,0.0,1029415.8258091192,0.0,49162.82091288543,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-26,1029415.8258091192,1058566.2512582678,0.028317444436252392,0.0,1058566.251258268,0.0,78313.24636203412,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-27,1058566.2512582678,1060082.8812656312,0.0014327209143127906,0.0,1060082.8812656312,0.0,79829.8763693973,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-28,1060082.8812656312,1033625.439247521,-0.02495789950548266,0.0,1033625.4392475209,0.0,53372.43435128721,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-10-29,1033625.439247521,1029103.800929142,-0.00437454240838997,0.0,1029103.800929142,0.0,48850.796032908205,0.0,0.0,0.0,0.0,0.0,0.0,10
2021-11-01,1029103.800929142,1056393.635337777,0.02651805812396746,179611.5558983806,876782.0794393964,-10514.946549736269,86655.57699127951,0.0,179797.86712303807,0.0,186.31122465743724,186.31122465743724,0.17471305320289832,7
2021-11-02,1056393.635337777,1063514.201969685,0.006740448251215891,179611.5558983806,883902.6460713043,0.0,93776.14362318751,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-03,1063514.201969685,1068870.769349235,0.005036667464928479,179611.5558983806,889259.2134508544,0.0,99132.71100273755,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-04,1068870.769349235,1073521.95357506,0.004351493519330507,179611.5558983806,893910.3976766793,0.0,103783.89522856245,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-08,1073521.95357506,1090697.8761272794,0.01599960065559891,179611.5558983806,911086.3202288987,0.0,120959.81778078178,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-09,1090697.8761272794,1088889.6753239399,-0.0016578383830357923,179611.5558983806,909278.1194255592,0.0,119151.6169774423,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-10,1088889.6753239399,1078710.999820614,-0.009347756466051349,179611.5558983806,899099.4439222335,0.0,108972.94147411658,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-11,1078710.999820614,1063564.976627817,-0.014040853569969869,179611.5558983806,883953.4207294363,0.0,93826.9182813195,0.0,0.0,0.0,0.0,0.0,0.0,7
2021-11-12,1063564.976627817,1079908.0784913243,0.015366340771511222,179611.5558983806,900296.5225929436,0.0,110170.02014482676,0.0,0.0,0.0,0.0,0.0,0.0,7
