universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,APOLLOTYRE,195630.30845856285,1.0,42.0,42.0,-11518.461235038412,0.0,1.0,423.0411390824608,0.0,0.0,0.0,0.0,195630.30845856285,-11518.461235038412,-0.058878715296194394
NIFTY_AUTO,ASHOKLEY,75392.099820374,1.0,7.0,7.0,-7150.7709392884135,0.0,1.0,160.21885937529663,0.0,0.0,0.0,0.0,75392.099820374,-7150.7709392884135,-0.09484774872069533
NIFTY_AUTO,BHARATFORG,75392.099820374,1.0,7.0,7.0,-8528.380585498351,0.0,1.0,158.78986367954928,0.0,0.0,0.0,0.0,75392.099820374,-8528.380585498351,-0.11312034823035447
NIFTY_AUTO,BOSCHLTD,76569.26337241719,1.0,148.0,148.0,-9496.780604941669,0.0,1.0,160.40279628692466,0.0,0.0,0.0,0.0,76569.26337241719,-9496.780604941669,-0.12402862697987932
NIFTY_AUTO,EICHERMOT,151961.36319279118,2.0,77.5,148.0,6315.927592228007,1.0,1.0,344.4416927356131,0.0,0.0,0.0,0.0,151961.36319279118,6315.927592228007,0.04156272001992428
NIFTY_AUTO,M&M,457411.55478976294,2.0,112.5,183.0,5184.077049116429,1.0,1.0,1022.4443341221241,0.0,0.0,0.0,0.0,457411.55478976294,5184.077049116429,0.011333506980380399
NIFTY_AUTO,MARUTI,261781.2463312001,1.0,183.0,183.0,-3175.76899802321,0.0,1.0,578.7834094399282,0.0,0.0,0.0,0.0,261781.2463312001,-3175.76899802321,-0.01213138466765986
NIFTY_AUTO,TVSMOTOR,533980.8181621801,3.0,124.33333333333333,183.0,81421.40828477991,3.0,0.0,1271.7791999078402,0.0,0.0,0.0,0.0,533980.8181621801,81421.40828477991,0.15248002459154006
NIFTY_BANK,BANKBARODA,151402.20242209494,2.0,41.5,42.0,-2249.429587168328,1.0,1.0,334.31353120900013,0.0,0.0,0.0,0.0,151402.20242209494,-2249.429587168328,-0.014857310865908887
NIFTY_BANK,FEDERALBNK,77002.0570741043,1.0,41.0,41.0,-1740.7080528018123,0.0,1.0,169.41050558456584,0.0,0.0,0.0,0.0,77002.0570741043,-1740.7080528018123,-0.022605994163592418
NIFTY_BANK,HDFCBANK,76838.25658018944,1.0,140.0,140.0,10326.381217179849,1.0,0.0,181.56349308003632,0.0,0.0,0.0,0.0,76838.25658018944,10326.381217179849,0.1343911441614126
NIFTY_BANK,ICICIBANK,151238.40192818007,2.0,91.0,140.0,-10316.940407697628,1.0,1.0,325.5808803495909,0.0,0.0,0.0,0.0,151238.40192818007,-10316.940407697628,-0.06821640718338802
NIFTY_BANK,KOTAKBANK,76838.25658018944,1.0,140.0,140.0,-4618.194966002193,0.0,1.0,166.06147108179516,0.0,0.0,0.0,0.0,76838.25658018944,-4618.194966002193,-0.0601028077879745
NIFTY_BANK,SBIN,151402.20242209494,2.0,41.5,42.0,-4727.466264614748,1.0,1.0,331.7430615874225,0.0,0.0,0.0,0.0,151402.20242209494,-4727.466264614748,-0.03122455412791831
NIFTY_CONSUMER_DURABLES,BLUESTARCO,262983.5367555795,1.0,42.0,42.0,-19629.361457362975,0.0,1.0,564.389408607239,0.0,0.0,0.0,0.0,262983.5367555795,-19629.361457362975,-0.0746410277218485
NIFTY_CONSUMER_DURABLES,DIXON,262983.5367555795,1.0,42.0,42.0,1500.4591215625987,1.0,0.0,586.3073900486938,0.0,0.0,0.0,0.0,262983.5367555795,1500.4591215625987,0.005705524916402451
NIFTY_CONSUMER_DURABLES,KALYANKJIL,262983.5367555795,1.0,42.0,42.0,-72633.26865085974,0.0,1.0,509.40840913058696,0.0,0.0,0.0,0.0,262983.5367555795,-72633.26865085974,-0.2761894130215691
NIFTY_CONSUMER_DURABLES,RELAXO,95063.25122405845,1.0,98.0,98.0,980.3699552205362,1.0,0.0,212.39263283549766,0.0,0.0,0.0,0.0,95063.25122405845,980.3699552205362,0.010312817440988446
NIFTY_CONSUMER_DURABLES,TITAN,95063.25122405845,1.0,98.0,98.0,21641.47351660207,1.0,0.0,233.82441370305506,0.0,0.0,0.0,0.0,95063.25122405845,21641.47351660207,0.227653412206515
