year,universe,stock_days,gold_days,cash_days,stock_pnl,gold_pnl,cash_pnl,total_pnl,stock_pnl_share,gold_pnl_share,cash_pnl_share
2026,COMBINED,763,0,149,153936.71891547134,0.0,-246067.57054782083,-92130.85163234948,-1.6708487568286001,-0.0,2.6708487568286
2026,NIFTY_AUTO,48,0,0,-11671.788035876132,0.0,0.0,-11671.788035876132,1.0,-0.0,-0.0
2026,NIFTY_BANK,39,0,9,105277.54150864099,0.0,0.0,105277.54150864099,1.0,0.0,0.0
2026,NIFTY_CHEMICALS,48,0,0,-11816.973795623679,0.0,0.0,-11816.973795623679,1.0,-0.0,-0.0
2026,NIFTY_CONSUMER_DURABLES,48,0,0,-11485.91192559102,0.0,0.0,-11485.91192559102,1.0,-0.0,-0.0
2026,NIFTY_FINANCIAL_SERVICES,48,0,0,-14862.496320904625,0.0,0.0,-14862.496320904625,1.0,-0.0,-0.0
2026,NIFTY_FINANCIAL_SERVICES_EX_BANK,48,0,0,-14809.983568282856,0.0,0.0,-14809.983568282856,1.0,-0.0,-0.0
2026,NIFTY_FMCG,4,0,44,1208.4755493909906,0.0,-119817.611211891,-118609.1356625,-0.010188722332735687,-0.0,1.0101887223327357
2026,NIFTY_HEALTHCARE,48,0,0,-9050.4345586407,0.0,0.0,-9050.4345586407,1.0,-0.0,-0.0
2026,NIFTY_IT,5,0,43,106402.93251335883,0.0,0.0,106402.93251335883,1.0,0.0,0.0
2026,NIFTY_MEDIA,48,0,0,-20737.39954191848,0.0,0.0,-20737.39954191848,1.0,-0.0,-0.0
2026,NIFTY_METAL,48,0,0,-7527.892680362347,0.0,0.0,-7527.892680362347,1.0,-0.0,-0.0
2026,NIFTY_MIDSMALL_FINANCIAL_SERVICES,48,0,0,-10478.41320996589,0.0,0.0,-10478.41320996589,1.0,-0.0,-0.0
2026,NIFTY_MIDSMALL_HEALTHCARE,48,0,0,-10268.274462873014,0.0,0.0,-10268.274462873014,1.0,-0.0,-0.0
2026,NIFTY_MIDSMALL_IT_TELECOM,48,0,0,-10030.324831813952,0.0,0.0,-10030.324831813952,1.0,-0.0,-0.0
2026,NIFTY_OIL_GAS,9,0,39,7640.823673429826,0.0,-126249.95933592983,-118609.1356625,-0.06442019521305375,-0.0,1.0644201952130536
2026,NIFTY_PHARMA,48,0,0,-13657.279965164402,0.0,0.0,-13657.279965164402,1.0,-0.0,-0.0
2026,NIFTY_PRIVATE_BANK,48,0,0,-12545.606049790586,0.0,0.0,-12545.606049790586,1.0,-0.0,-0.0
2026,NIFTY_PSU_BANK,34,0,14,107338.38970237876,0.0,0.0,107338.38970237876,1.0,0.0,0.0
2026,NIFTY_REALTY,48,0,0,-14988.665084920387,0.0,0.0,-14988.665084920387,1.0,-0.0,-0.0
