universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Stocks,48,-0.0984054724847504,-0.41949074024075783
NIFTY_BANK,Cash,9,0.0,0.0
NIFTY_BANK,Stocks,39,inf,inf
NIFTY_CHEMICALS,Stocks,48,-0.09962954143135005,-0.42361655896492756
NIFTY_CONSUMER_DURABLES,Stocks,48,-0.09683834100497957,-0.4141737385075924
NIFTY_FINANCIAL_SERVICES,Stocks,48,-0.1253065055898861,-0.5048423919508767
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,48,-0.12486376774909069,-0.50352516491229
NIFTY_FMCG,Cash,44,-1.0,-1.0
NIFTY_FMCG,Stocks,4,0.010188722332735711,0.8939063220323136
NIFTY_HEALTHCARE,Stocks,48,-0.07630470037648318,-0.34078686583864926
NIFTY_IT,Cash,43,0.0,0.0
NIFTY_IT,Stocks,5,inf,inf
NIFTY_MEDIA,Stocks,48,-0.1748381305207919,-0.6353883479991326
NIFTY_METAL,Stocks,48,-0.0634680679385684,-0.29124914481292186
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,48,-0.08834406516359761,-0.38466366762437687
NIFTY_MIDSMALL_HEALTHCARE,Stocks,48,-0.08657237408837792,-0.3783595767818777
NIFTY_MIDSMALL_IT_TELECOM,Stocks,48,-0.08456620795513647,-0.3711581539512814
NIFTY_OIL_GAS,Cash,39,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,9,0.06442019521305387,4.743372214358234
NIFTY_PHARMA,Stocks,48,-0.11514526169405659,-0.4738883734620475
NIFTY_PRIVATE_BANK,Stocks,48,-0.10577267914243027,-0.44396560590653467
NIFTY_PSU_BANK,Cash,14,0.0,0.0
NIFTY_PSU_BANK,Stocks,34,inf,inf
NIFTY_REALTY,Stocks,48,-0.12637024122298945,-0.5079956409627006
COMBINED,Combined,48,-0.04854751023063364,-0.22992626460378862
