date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2026-06-01,2026-06-02,NIFTY_CHEMICALS,GNFC,12,MARKET_CAP_FILTER,2025-05-28,2026-06-01,0,5
2026-06-01,2026-06-02,NIFTY_MEDIA,SAREGAMA,1,MARKET_CAP_FILTER,2025-05-27,2026-06-01,0,5
2026-06-01,2026-06-02,NIFTY_MEDIA,JAGRAN,2,MARKET_CAP_FILTER,2025-05-27,2026-06-01,0,5
2026-06-01,2026-06-02,NIFTY_MEDIA,DBCORP,5,MARKET_CAP_FILTER,2025-05-27,2026-06-01,0,5
2026-06-01,2026-06-02,NIFTY_MEDIA,TVTODAY,6,MARKET_CAP_FILTER,2025-05-27,2026-06-01,0,5
2026-06-01,2026-06-02,NIFTY_MEDIA,BALAJITELE,7,MARKET_CAP_FILTER,2025-05-27,2026-06-01,1,5
2026-06-01,2026-06-02,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2025-05-28,2026-06-01,7,5
2026-06-01,2026-06-02,NIFTY_MEDIA,NETWORK18,9,MARKET_CAP_FILTER,2025-05-28,2026-06-01,0,5
2026-06-01,2026-06-02,NIFTY_REALTY,IBREALEST,8,MARKET_CAP_FILTER,2025-05-28,2026-06-01,0,5
2026-06-05,2026-06-08,NIFTY_CHEMICALS,GNFC,12,MARKET_CAP_FILTER,2025-06-03,2026-06-05,0,5
2026-06-05,2026-06-08,NIFTY_MEDIA,SAREGAMA,1,MARKET_CAP_FILTER,2025-06-02,2026-06-05,0,5
2026-06-05,2026-06-08,NIFTY_MEDIA,JAGRAN,3,MARKET_CAP_FILTER,2025-06-02,2026-06-05,0,5
2026-06-05,2026-06-08,NIFTY_MEDIA,TVTODAY,5,MARKET_CAP_FILTER,2025-06-02,2026-06-05,0,5
2026-06-05,2026-06-08,NIFTY_MEDIA,DBCORP,6,MARKET_CAP_FILTER,2025-06-02,2026-06-05,0,5
2026-06-05,2026-06-08,NIFTY_MEDIA,BALAJITELE,7,MARKET_CAP_FILTER,2025-06-02,2026-06-05,1,5
2026-06-05,2026-06-08,NIFTY_MEDIA,NETWORK18,8,MARKET_CAP_FILTER,2025-06-03,2026-06-05,0,5
2026-06-05,2026-06-08,NIFTY_MEDIA,DISHTV,9,LOWER_CIRCUIT_FILTER,2025-06-03,2026-06-05,7,5
2026-06-05,2026-06-08,NIFTY_REALTY,IBREALEST,8,MARKET_CAP_FILTER,2025-06-03,2026-06-05,0,5
2026-06-12,2026-06-15,NIFTY_CHEMICALS,GNFC,11,MARKET_CAP_FILTER,2025-06-10,2026-06-12,0,5
2026-06-12,2026-06-15,NIFTY_MEDIA,SAREGAMA,1,MARKET_CAP_FILTER,2025-06-09,2026-06-12,0,5
2026-06-12,2026-06-15,NIFTY_MEDIA,JAGRAN,4,MARKET_CAP_FILTER,2025-06-09,2026-06-12,0,5
2026-06-12,2026-06-15,NIFTY_MEDIA,DBCORP,5,MARKET_CAP_FILTER,2025-06-09,2026-06-12,0,5
2026-06-12,2026-06-15,NIFTY_MEDIA,TVTODAY,6,MARKET_CAP_FILTER,2025-06-09,2026-06-12,0,5
2026-06-12,2026-06-15,NIFTY_MEDIA,BALAJITELE,7,MARKET_CAP_FILTER,2025-06-09,2026-06-12,1,5
2026-06-12,2026-06-15,NIFTY_MEDIA,DISHTV,8,LOWER_CIRCUIT_FILTER,2025-06-10,2026-06-12,7,5
2026-06-12,2026-06-15,NIFTY_MEDIA,NETWORK18,9,MARKET_CAP_FILTER,2025-06-10,2026-06-12,0,5
2026-06-12,2026-06-15,NIFTY_REALTY,IBREALEST,8,MARKET_CAP_FILTER,2025-06-10,2026-06-12,0,5
2026-06-19,2026-06-22,NIFTY_CHEMICALS,GNFC,4,MARKET_CAP_FILTER,2025-06-17,2026-06-19,0,5
2026-06-19,2026-06-22,NIFTY_MEDIA,SAREGAMA,2,MARKET_CAP_FILTER,2025-06-16,2026-06-19,0,5
2026-06-19,2026-06-22,NIFTY_MEDIA,JAGRAN,3,MARKET_CAP_FILTER,2025-06-16,2026-06-19,0,5
2026-06-19,2026-06-22,NIFTY_MEDIA,DBCORP,5,MARKET_CAP_FILTER,2025-06-16,2026-06-19,0,5
2026-06-19,2026-06-22,NIFTY_MEDIA,TVTODAY,6,MARKET_CAP_FILTER,2025-06-16,2026-06-19,0,5
2026-06-19,2026-06-22,NIFTY_MEDIA,BALAJITELE,7,MARKET_CAP_FILTER,2025-06-16,2026-06-19,1,5
2026-06-19,2026-06-22,NIFTY_MEDIA,NETWORK18,8,MARKET_CAP_FILTER,2025-06-17,2026-06-19,0,5
