rebalance_date,beginning_value,ending_value,monthly_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings
2026-06-02,1900000.0,1897746.1706,-0.001186225999999957,0.0,1897746.1706000003,0.0,-2253.8293999999296,1900000.0,0.0,2253.8294,0.0,2253.8294,1.0,32
2026-06-03,1897746.1706,1916300.6437516517,0.009777110047222815,533509.0294734767,1382791.6142781754,-1721.0433109226797,18021.687062574456,236644.92721560065,770952.8380646537,280.7143654312531,798.8813755763839,1079.595741007637,0.5309444333968476,23
2026-06-04,1916300.6437516517,1928963.5422410034,0.006607991564705928,533509.0294734767,1395454.5127675268,5769.157013349475,24915.428538576576,242414.0842289501,242665.54057139423,287.5578894785706,251.4563424441336,539.0142319227041,0.2531333621277067,23
2026-06-05,1928963.5422410034,1933411.3550021232,0.00230580447153117,533509.0294734767,1399902.3255286464,12336.788323956564,17026.45297573974,254750.8725529067,255015.1258567127,302.1921085449443,264.253303805998,566.4454123509422,0.2642693795121658,23
2026-06-08,1933411.3550021232,1911535.24445104,-0.011314772976007026,0.0,1911535.2444510402,-2579.4517913327363,-2270.2057840106136,1913805.450235051,1381728.203450923,2270.205784010523,1431.782689349136,3701.9884733596587,1.7045175850238832,30
2026-06-09,1911535.24445104,1932914.103379613,0.011184130133427228,450208.4206118145,1482705.6827677984,7603.95340874829,11504.699735814094,386711.2278987891,837787.785996936,458.7269130254691,868.1374863324609,1326.8643993579303,0.6405840632289154,23
2026-06-10,1932914.103379613,1909809.7828706692,-0.011953102555642303,514655.61123674357,1395154.1716339258,-5961.533105168826,-5638.087667960928,250366.74220793674,315140.489601844,296.991539142352,326.5567689781604,623.5483081205125,0.29256718175992247,22
2026-06-11,1909809.7828706692,1898063.8975721803,-0.0061502906749348885,509992.29829575284,1388071.5992764276,-5891.337925412765,-11492.635041036978,378867.9941921042,374592.84409557923,449.42306527852304,388.16284446578567,837.5859097443087,0.39452140472081093,22
2026-06-12,1898063.8975721803,1929070.299453122,0.01633580509096788,576018.246995411,1353052.0524577112,13872.065281633797,5641.701558271074,390507.6257819149,457007.13715928304,463.2302989007777,473.56267771001524,936.792976610793,0.4465154013124937,21
2026-06-15,1929070.299453122,1939876.4092265298,0.005601719012765516,0.0,1939876.4092265295,18751.67606934213,-2303.8647376634617,1942180.2739641932,1367579.148039038,2303.864737663449,1417.1210702559003,3720.9858079193486,1.715727738352265,30
2026-06-16,1939876.4092265298,1939917.8499773126,2.1362572680372338e-05,518006.14153978776,1421911.7084375247,2585.3839347080575,-4847.8079215887265,390930.03691154375,909879.018747412,463.7313739654329,942.840296080556,1406.5716700459886,0.6705628510517411,22
2026-06-17,1939917.8499773126,1939624.0915839446,-0.00015142826453784508,452241.18400551315,1487382.9075784313,-1614.0993404142719,-3527.46697454236,519820.2375708772,454526.27197730856,616.6242811327514,470.9919407059585,1087.61622183871,0.5022617372996391,23
2026-06-18,1939624.0915839446,1942633.43121583,0.0015515066269504718,516029.27233035525,1426604.1588854745,-3431.0474637497027,2912.9201210927713,387950.87683077535,452207.5543808632,460.1974168194632,468.58922524586444,928.7866420653277,0.43315528759263067,22
2026-06-19,1942633.43121583,1956229.0184613303,0.006998534580449078,645525.5380128794,1310703.480448451,968.0361683856318,15540.471198207357,259770.85464112752,389670.9074493944,308.1469418175261,403.78712574265614,711.9340675601823,0.3343099895506575,20
2026-06-22,1956229.0184613303,1954649.7308483133,-0.0008073122308854819,0.0,1954649.7308483133,16282.59363377202,-2321.41004858166,1956971.140896895,1312805.9665595198,2321.41004858156,1360.363675504105,3681.773724085664,1.6714694836846122,32
2026-06-23,1954649.7308483133,1931267.5060281288,-0.011962360545301753,0.0,1931267.5060281293,-23409.99436415919,-2293.6405046069995,1933561.1465327358,1935566.831207971,2293.6405046069412,2005.6846752353113,4299.325179842252,1.979448244193355,32
2026-06-24,1931267.5060281288,1914576.5074426143,-0.008642509923361907,596160.7952639159,1318415.7121786983,-8850.727024207008,-10133.912065914497,240921.47931994896,837950.580762366,285.7873227277858,868.3061785010634,1154.0935012288492,0.5586341906104648,22
2026-06-25,1914576.5074426143,1909305.1699652907,-0.0027532655168556186,534593.3828255255,1374711.7871397652,-7316.168740763715,-8089.080802474309,355596.5088467237,294334.0930482362,421.8178243032138,304.99663990300166,726.8144642062155,0.3394644190861306,23
2026-06-29,1909305.1699652907,1910564.2730453364,0.0006594561727755188,414562.8533520679,1496001.4196932684,-16707.717141011024,9877.739418582183,579766.8928374663,460213.24829743896,687.7345622230164,476.884933430262,1164.6194956532784,0.5446903708713108,25
2026-06-30,1910564.2730453364,1907161.9457016035,-0.0017807971140954004,472391.9911385296,1434769.9545630738,-9138.989525528385,15614.401600377823,454653.97497704194,513014.711946405,539.3223661211165,531.5991829013755,1070.9215490224922,0.5064831895872497,24
2026-07-01,1907161.9457016035,1905864.2326308265,-0.0006804419906247805,528717.6235220998,1377146.6091087267,-2683.8381431065573,17000.526672707398,454928.79263915634,511784.7496867555,539.6483619771759,530.3246640289078,1069.9730260060837,0.5068859225640006,22
2026-07-02,1905864.2326308265,1904506.9502920466,-0.0007121610844789128,528717.6235220998,1375789.3267699466,-868.9558892149507,16512.200223142507,454059.83674994146,454530.83341733005,538.6175839085361,470.9966673887063,1009.6142512972424,0.47673420520257453,22
2026-07-03,1904506.9502920466,1904841.0649291605,0.0001754336664734346,529124.0620608563,1375717.002868304,244.64148827534518,16601.673371980927,455604.4233659765,456483.882372228,540.4498127117289,473.0204674950444,1013.4702802067733,0.4789104632032666,22
2026-07-06,1904841.0649291605,1908600.1910151895,0.001973459180001802,465478.7544663693,1443121.4365488202,3984.9035069602905,16375.895951049773,584560.2154564774,521455.25335335167,693.4205261400753,540.3454913613301,1233.7660175014053,0.5806339905061637,23
2026-07-07,1908600.1910151895,1884920.4549797056,-0.012406860350825277,524997.7306279964,1359922.7243517092,-15024.33383513485,7720.493750700705,445827.2764355091,505870.4487087199,528.8519068169883,524.196111583642,1053.0480184006306,0.4986365031421371,22
2026-07-08,1884920.4549797056,1859304.4688169067,-0.013589956061607289,634145.6488886047,1225158.819928302,-21760.089463230128,3864.5970511318737,438884.51617434726,548600.9089604442,520.6162240834313,568.4745254884452,1089.0907495718766,0.5238870545046016,20
2026-07-09,1859304.4688169067,1871927.8733390628,0.00678931543158634,704569.6279419023,1167358.2453971608,-1598.9542196490584,18086.955792937115,424083.29523335263,495020.22711651423,503.05863097147903,512.9528298640371,1016.0114608355162,0.4943265278842154,19
2026-07-10,1871927.8733390628,1894645.8555884562,0.012136141874350193,816698.327364888,1077947.528223568,6603.0965768094175,34201.841465521,208145.87373796437,320606.794256936,246.90804722069058,332.2210959856877,579.1291432063783,0.2824642314085182,17
2026-07-13,1894645.8555884562,1893229.9240182522,-0.0007473331050378285,756075.0675644651,1137154.8564537868,1532.4802206020177,31253.429674715073,330809.79728095257,270466.8022131198,392.41518258939533,280.26473259009225,672.6799151794877,0.3173556671398743,18
2026-07-14,1893229.9240182522,1887551.4221192407,-0.002999372567996983,756562.2193767921,1130989.2027424485,-3199.2775456402887,28774.20532134377,325269.25424286036,326094.31346124795,385.84284638349123,337.9074060606951,723.7502524441863,0.34404884448563605,18
2026-07-15,1887551.4221192407,1889357.5396674396,0.0009568574010931918,758276.7100812066,1131080.8295862332,-2468.634540336083,33048.957409878916,165024.9672665481,319193.46866843075,195.75690682072826,330.7565712644133,526.5134780851416,0.2565325798601686,18
2026-07-16,1889357.5396674396,1888815.7243131371,-0.0002867722720167887,697896.5014174214,1190919.2228957154,2942.4123191996114,30329.576811715597,592400.7652693581,380291.3702848339,702.7211901824096,394.0678054647724,1096.7889956471818,0.5148269266839791,19
2026-07-17,1888815.7243131371,1881555.9138060585,-0.0038435779698512418,758547.4477783798,1123008.4660276785,-3250.828702035338,25904.7597153081,317854.55023957405,378898.1206845369,377.047331712489,392.6240840044549,769.6714157169439,0.3688833494741703,18
2026-07-20,1881555.9138060585,1883795.7063206402,0.0011903938108599466,696664.205732265,1187131.5005883751,-4599.97378903153,32744.526018921482,436233.1363776308,374738.2078056377,517.4710884326915,388.3134741216047,905.7845625542963,0.43101102562655996,19
2026-07-21,1883795.7063206402,1892866.706099324,0.004815277871293544,758671.6719642472,1134195.0341350767,685.8756643191373,41129.65013328602,313099.92193218716,375496.48738730873,371.4072679939307,389.0992231394014,760.506491133332,0.3655366699313891,18
2026-07-22,1892866.706099324,1868273.1410615311,-0.012992761169365874,0.0,1868273.141061531,18754.911299855128,-2218.8262043618597,1870491.967265894,1112973.5874702958,2218.826204361951,1153.2921686499947,3372.1183730119456,1.5761625185348038,31
2026-07-23,1868273.1410615311,1816626.0760673857,-0.027644279553684648,452456.8629956955,1364169.2130716902,-27789.45520241216,-26076.43599609519,454999.66543483885,908397.8338843489,539.7324331301071,941.3054538146436,1481.0378869447504,0.7297634748121044,23
2026-07-24,1816626.0760673857,1798677.5977576093,-0.009880117073201466,618707.4357708739,1179970.1619867352,-11075.477316975892,-32949.43698889574,221916.52888474835,388569.7477353435,263.24315639283947,402.64607541680414,665.8892318096437,0.33605500034529207,20
2026-07-27,1798677.5977576093,1802755.675746394,0.0022672645691861337,563994.587625161,1238761.0881212333,-2702.148367666654,-26169.210632444156,54479.17443753279,276528.3140182471,64.62461317633677,286.5458287218721,351.1704418982089,0.18402824879146942,21
2026-07-28,1802755.675746394,1804768.6502163117,0.0011166096975865347,618668.1771499229,1186100.4730663886,143.98592331840337,-24300.222085844936,498421.28019396716,276906.365396413,591.240281519369,286.93757538926354,878.1778569086324,0.43007915937880575,20
2026-07-29,1804768.6502163117,1822384.1444971547,0.009760527632575844,730626.0392615197,1091758.105235635,5476.281580030758,-6974.140255711849,227183.13658949337,339492.7899568559,269.49054338400833,351.79125576583294,621.2817991498414,0.31398812611158217,18
2026-07-30,1822384.1444971547,1816802.784559947,-0.0030626692808215505,674169.2640929265,1142633.5204670203,475.98354765272234,-13031.483740572447,342568.7692827984,286408.77833694627,406.3639809112568,296.78422274098045,703.1482036522373,0.34513993634053297,19
2026-07-31,1816802.784559947,1819248.678430921,0.0013462627268960858,673423.3664221677,1145825.3120087532,-1387.580508865547,-9198.00936073294,341876.5008126695,341484.4582161101,405.54279405300963,353.85507419944696,759.3978682524566,0.37613381311186095,19
2026-08-03,1819248.678430921,1813545.5569230209,-0.003134877367517941,0.0,1813545.5569230209,-12747.301047893816,-2153.82982073944,0.0,1143460.9042405498,0.0,1184.883918957568,1184.883918957568,0.6285346900604981,33
2026-08-04,1813545.5569230209,1802997.5804214538,-0.0058162181045308126,475573.8701512627,1327423.710270191,-7594.598210226621,-5274.632149137178,2133742.1895121634,794439.892191392,2531.100462496256,823.2192717259172,3354.3197342221733,1.6146173282085616,24
2026-08-05,1802997.5804214538,1807114.685581808,0.0022834779175864295,584677.8777217944,1222436.8078600136,-7221.193521969777,742.3726217773146,420939.28898860095,530593.1109361055,499.32912901979205,549.8143769728769,1049.1435059926691,0.5277502367486728,22
2026-08-06,1807114.685581808,1809508.2058799246,0.0013244982829332397,745974.1131086235,1063534.092771301,-996.7590729614385,4132.651992855295,206462.1992001251,368139.9107340947,244.9108287083676,381.47614714034796,626.3869758487156,0.31796659864408344,19
2026-08-07,1809508.2058799246,1805615.3189676506,-0.0021513507922341635,640781.6095819724,1164833.7093856782,-3289.1017928999645,3528.866873481289,415171.4472129211,310300.4851167605,492.4871651415945,321.5414304906002,814.0285956321948,0.4009221566237111,21
