date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2026-06-02,NIFTY_AUTO,0.0,118609.1356625,0,118609.1356625,"BHARATFORG,BAJAJ-AUTO",2026-06,2026
2026-06-02,NIFTY_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-02,NIFTY_CHEMICALS,0.0,118609.1356625,0,118609.1356625,"SOLARINDS,HSCL",2026-06,2026
2026-06-02,NIFTY_CONSUMER_DURABLES,0.0,118609.1356625,0,118609.1356625,"TITAN,KAJARIACER",2026-06,2026
2026-06-02,NIFTY_FINANCIAL_SERVICES,0.0,118609.1356625,0,118609.1356625,"PFC,AXISBANK",2026-06,2026
2026-06-02,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,118609.1356625,0,118609.1356625,"BSE,MCX",2026-06,2026
2026-06-02,NIFTY_FMCG,0.0,118609.1356625,0,118609.1356625,"NESTLEIND,MARICO",2026-06,2026
2026-06-02,NIFTY_HEALTHCARE,0.0,118609.1356625,0,118609.1356625,"LAURUSLABS,AUROPHARMA",2026-06,2026
2026-06-02,NIFTY_IT,0.0,0.0,0,0.0,,2026-06,2026
2026-06-02,NIFTY_MEDIA,0.0,118609.1356625,0,118609.1356625,"ZEEL,SUNTV",2026-06,2026
2026-06-02,NIFTY_METAL,0.0,118609.1356625,0,118609.1356625,"NATIONALUM,HINDCOPPER",2026-06,2026
2026-06-02,NIFTY_OIL_GAS,0.0,118609.1356625,0,118609.1356625,"CHENNPETRO,ATGL",2026-06,2026
2026-06-02,NIFTY_PHARMA,0.0,118609.1356625,0,118609.1356625,"BIOCON,LUPIN",2026-06,2026
2026-06-02,NIFTY_PRIVATE_BANK,0.0,118609.1356625,0,118609.1356625,"FEDERALBNK,BANDHANBNK",2026-06,2026
2026-06-02,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-02,NIFTY_REALTY,0.0,118609.1356625,0,118609.1356625,"OBEROIRLTY,PHOENIXLTD",2026-06,2026
2026-06-02,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,118609.1356625,0,118609.1356625,"ANGELONE,PNBHOUSING",2026-06,2026
2026-06-02,NIFTY_MIDSMALL_HEALTHCARE,0.0,118609.1356625,0,118609.1356625,"WOCKPHARMA,GRANULES",2026-06,2026
2026-06-02,NIFTY_MIDSMALL_IT_TELECOM,0.0,118609.1356625,0,118609.1356625,"HFCL,IDEA",2026-06,2026
2026-06-03,NIFTY_AUTO,58978.66236967942,60004.85837302216,0,118983.52074270157,BHARATFORG,2026-06,2026
2026-06-03,NIFTY_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-03,NIFTY_CHEMICALS,0.0,120136.81780605637,0,120136.81780605637,"SOLARINDS,HSCL",2026-06,2026
2026-06-03,NIFTY_CONSUMER_DURABLES,59738.150104422704,60358.57164796575,0,120096.72175238846,TITAN,2026-06,2026
2026-06-03,NIFTY_FINANCIAL_SERVICES,58877.24063730037,59375.830228463834,0,118253.0708657642,PFC,2026-06,2026
2026-06-03,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,116656.62332179135,0,116656.62332179135,"BSE,MCX",2026-06,2026
2026-06-03,NIFTY_FMCG,60461.66245236182,59582.89251782265,0,120044.55497018447,NESTLEIND,2026-06,2026
2026-06-03,NIFTY_HEALTHCARE,0.0,119022.76956400274,0,119022.76956400274,"LAURUSLABS,AUROPHARMA",2026-06,2026
2026-06-03,NIFTY_IT,0.0,0.0,0,0.0,,2026-06,2026
2026-06-03,NIFTY_MEDIA,0.0,119259.13169531737,0,119259.13169531737,"ZEEL,SUNTV",2026-06,2026
2026-06-03,NIFTY_METAL,59554.32133020695,59426.98468694213,0,118981.30601714908,NATIONALUM,2026-06,2026
2026-06-03,NIFTY_OIL_GAS,57998.44401945797,64497.7858330458,0,122496.22985250378,CHENNPETRO,2026-06,2026
2026-06-03,NIFTY_PHARMA,0.0,117105.08115485201,0,117105.08115485201,"LUPIN,BIOCON",2026-06,2026
2026-06-03,NIFTY_PRIVATE_BANK,59973.940441248364,62316.36796392705,0,122290.30840517541,FEDERALBNK,2026-06,2026
2026-06-03,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-03,NIFTY_REALTY,58933.013682643,59246.6752988128,0,118179.68898145581,OBEROIRLTY,2026-06,2026
2026-06-03,NIFTY_MIDSMALL_FINANCIAL_SERVICES,58993.594436156076,59331.152777592106,0,118324.74721374818,ANGELONE,2026-06,2026
2026-06-03,NIFTY_MIDSMALL_HEALTHCARE,0.0,117865.28921698002,0,117865.28921698002,"WOCKPHARMA,GRANULES",2026-06,2026
2026-06-03,NIFTY_MIDSMALL_IT_TELECOM,0.0,128604.78219158098,0,128604.78219158098,"HFCL,IDEA",2026-06,2026
2026-06-04,NIFTY_AUTO,58978.66236967942,60035.84377784949,0,119014.50614752891,BHARATFORG,2026-06,2026
2026-06-04,NIFTY_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-04,NIFTY_CHEMICALS,0.0,123158.62597231937,0,123158.62597231937,"SOLARINDS,HSCL",2026-06,2026
2026-06-04,NIFTY_CONSUMER_DURABLES,59738.150104422704,62457.717079057395,0,122195.86718348009,TITAN,2026-06,2026
2026-06-04,NIFTY_FINANCIAL_SERVICES,58877.24063730037,60494.65073462324,0,119371.89137192362,PFC,2026-06,2026
2026-06-04,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,118878.63825558082,0,118878.63825558082,"BSE,MCX",2026-06,2026
2026-06-04,NIFTY_FMCG,60461.66245236182,59214.64859328596,0,119676.31104564777,NESTLEIND,2026-06,2026
2026-06-04,NIFTY_HEALTHCARE,0.0,121385.99343246013,0,121385.99343246013,"LAURUSLABS,AUROPHARMA",2026-06,2026
2026-06-04,NIFTY_IT,0.0,0.0,0,0.0,,2026-06,2026
2026-06-04,NIFTY_MEDIA,0.0,125102.57050081382,0,125102.57050081382,"SUNTV,ZEEL",2026-06,2026
2026-06-04,NIFTY_METAL,59554.32133020695,56312.135509489686,0,115866.45683969664,NATIONALUM,2026-06,2026
2026-06-04,NIFTY_OIL_GAS,57998.44401945797,64541.149005503496,0,122539.59302496148,CHENNPETRO,2026-06,2026
2026-06-04,NIFTY_PHARMA,0.0,117023.95583865771,0,117023.95583865771,"LUPIN,BIOCON",2026-06,2026
2026-06-04,NIFTY_PRIVATE_BANK,59973.940441248364,62119.724845111625,0,122093.66528635999,FEDERALBNK,2026-06,2026
2026-06-04,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-04,NIFTY_REALTY,58933.013682643,59047.666681929404,0,117980.68036457241,OBEROIRLTY,2026-06,2026
2026-06-04,NIFTY_MIDSMALL_FINANCIAL_SERVICES,58993.594436156076,59854.01349439908,0,118847.60793055515,ANGELONE,2026-06,2026
2026-06-04,NIFTY_MIDSMALL_HEALTHCARE,0.0,117651.17922016939,0,117651.17922016939,"WOCKPHARMA,GRANULES",2026-06,2026
2026-06-04,NIFTY_MIDSMALL_IT_TELECOM,0.0,128175.99982627606,0,128175.99982627606,"HFCL,IDEA",2026-06,2026
2026-06-05,NIFTY_AUTO,58978.66236967942,59797.25198730503,0,118775.91435698446,BHARATFORG,2026-06,2026
2026-06-05,NIFTY_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-05,NIFTY_CHEMICALS,0.0,127896.75409062028,0,127896.75409062028,"SOLARINDS,HSCL",2026-06,2026
2026-06-05,NIFTY_CONSUMER_DURABLES,59738.150104422704,62888.76825785232,0,122626.91836227503,TITAN,2026-06,2026
2026-06-05,NIFTY_FINANCIAL_SERVICES,58877.24063730037,61535.07999414051,0,120412.32063144087,PFC,2026-06,2026
2026-06-05,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,114594.34434234662,0,114594.34434234662,"BSE,MCX",2026-06,2026
2026-06-05,NIFTY_FMCG,60461.66245236182,59355.948759529165,0,119817.611211891,NESTLEIND,2026-06,2026
2026-06-05,NIFTY_HEALTHCARE,0.0,122169.7883010634,0,122169.7883010634,"LAURUSLABS,AUROPHARMA",2026-06,2026
2026-06-05,NIFTY_IT,0.0,0.0,0,0.0,,2026-06,2026
2026-06-05,NIFTY_MEDIA,0.0,137682.54332382718,0,137682.54332382718,"ZEEL,SUNTV",2026-06,2026
2026-06-05,NIFTY_METAL,59554.32133020695,53822.97755678518,0,113377.29888699212,NATIONALUM,2026-06,2026
2026-06-05,NIFTY_OIL_GAS,57998.44401945797,64042.429509784444,0,122040.87352924241,CHENNPETRO,2026-06,2026
2026-06-05,NIFTY_PHARMA,0.0,116766.13712053452,0,116766.13712053452,"LUPIN,BIOCON",2026-06,2026
2026-06-05,NIFTY_PRIVATE_BANK,59973.940441248364,62958.059141041296,0,122931.99958228966,FEDERALBNK,2026-06,2026
2026-06-05,NIFTY_PSU_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-05,NIFTY_REALTY,58933.013682643,59101.94175926124,0,118034.95544190424,OBEROIRLTY,2026-06,2026
2026-06-05,NIFTY_MIDSMALL_FINANCIAL_SERVICES,58993.594436156076,58950.0874561785,0,117943.68189233457,ANGELONE,2026-06,2026
2026-06-05,NIFTY_MIDSMALL_HEALTHCARE,0.0,113324.77514218946,0,113324.77514218946,"WOCKPHARMA,GRANULES",2026-06,2026
2026-06-05,NIFTY_MIDSMALL_IT_TELECOM,0.0,125015.43878618724,0,125015.43878618724,"HFCL,IDEA",2026-06,2026
2026-06-08,NIFTY_AUTO,0.0,127435.68296340267,0,127435.68296340267,"BHARATFORG,BAJAJ-AUTO",2026-06,2026
2026-06-08,NIFTY_BANK,0.0,0.0,0,0.0,,2026-06,2026
2026-06-08,NIFTY_CHEMICALS,0.0,127435.68296340267,0,127435.68296340267,"HSCL,SOLARINDS",2026-06,2026
2026-06-08,NIFTY_CONSUMER_DURABLES,0.0,127435.68296340267,0,127435.68296340267,"TITAN,KAJARIACER",2026-06,2026
2026-06-08,NIFTY_FINANCIAL_SERVICES,0.0,127435.68296340267,0,127435.68296340267,"PFC,AXISBANK",2026-06,2026
2026-06-08,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,127435.68296340267,0,127435.68296340267,"BSE,MCX",2026-06,2026
2026-06-08,NIFTY_FMCG,0.0,0.0,0,0.0,,2026-06,2026
2026-06-08,NIFTY_HEALTHCARE,0.0,127435.68296340267,0,127435.68296340267,"LAURUSLABS,AUROPHARMA",2026-06,2026
