universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,BAJAJ-AUTO,309486.99145548407,5.0,1.0,1.0,-6282.134890270085,0.0,5.0,681.6361798976069,0.0,0.0,0.0,0.0,309486.99145548407,-6282.134890270085,-0.020298542632521902
NIFTY_AUTO,BHARATFORG,367939.8654325432,6.0,10.333333333333334,29.0,11806.883534006207,5.0,1.0,830.3714709863015,53402.92313952236,53433.57130035516,30.64816083279584,3.0,421342.7885720656,11837.531694839003,0.028094777022187805
NIFTY_AUTO,EXIDEIND,111855.79711658153,2.0,0.5,1.0,-450.3278973114866,1.0,1.0,248.24724584113386,0.0,0.0,0.0,0.0,111855.79711658153,-450.3278973114866,-0.004025968335303472
NIFTY_BANK,BANDHANBNK,58452.87397705916,1.0,1.0,1.0,-6990.823327755061,0.0,1.0,122.71994921570646,0.0,0.0,0.0,0.0,58452.87397705916,-6990.823327755061,-0.11959759806675598
NIFTY_BANK,FEDERALBNK,244771.35042470822,4.0,12.25,29.0,5584.39915081051,3.0,1.0,550.0483788109212,53402.92313952236,51481.36192397917,-1921.5612155431882,3.0,298174.2735642306,3662.837935267322,0.012284218525909477
NIFTY_BANK,RBLBANK,239721.39958717144,4.0,0.75,1.0,-1763.8499420030566,1.0,3.0,531.1973321536086,0.0,0.0,0.0,0.0,239721.39958717144,-1763.8499420030566,-0.007357916085258198
NIFTY_CHEMICALS,HSCL,427224.15362133435,7.0,5.142857142857143,12.0,-9443.193476869616,2.0,5.0,940.1489556815427,53402.92313952236,54247.48200081035,844.5588612879874,3.0,480627.0767608567,-8598.634615581628,-0.017890449854659374
NIFTY_CHEMICALS,NAVINFLUOR,182476.5046313234,3.0,9.666666666666666,23.0,-995.508895879655,2.0,1.0,404.70877042484847,0.0,0.0,0.0,0.0,182476.5046313234,-995.508895879655,-0.005455545621563648
NIFTY_CHEMICALS,SOLARINDS,298150.57212953334,5.0,3.4,6.0,-7447.6157421690805,1.0,4.0,655.2203925133626,0.0,0.0,0.0,0.0,298150.57212953334,-7447.6157421690805,-0.024979377664696944
NIFTY_CONSUMER_DURABLES,KAJARIACER,491662.0087011778,8.0,3.0,15.0,6829.486333296401,7.0,1.0,1100.307923478021,0.0,0.0,0.0,0.0,491662.0087011778,6829.486333296401,0.013890612275164065
NIFTY_CONSUMER_DURABLES,KALYANKJIL,173667.4209943622,3.0,5.333333333333333,12.0,4659.552949206947,3.0,0.0,390.9875368041271,53625.22350282936,53561.61186845449,-63.61163437486539,0.0,227292.64449719156,4595.941314832082,0.020220369757231054
NIFTY_CONSUMER_DURABLES,TITAN,665329.42969554,11.0,3.1818181818181817,7.0,4205.0008303365175,7.0,4.0,1483.7397207993115,53625.22350282936,53561.61186845449,-63.61163437486539,0.0,718954.6531983693,4141.389195961652,0.005760292638121346
NIFTY_FINANCIAL_SERVICES,AXISBANK,490706.22729047615,8.0,3.125,10.0,-4112.0426444386685,2.0,6.0,1086.8330602049034,0.0,0.0,0.0,0.0,490706.22729047615,-4112.0426444386685,-0.00837984605808665
NIFTY_FINANCIAL_SERVICES,BAJFINANCE,335514.3857482412,6.0,1.8333333333333333,6.0,273.3125107528758,3.0,3.0,746.3087620211736,53168.61895118992,50676.156733579686,-2492.462217610235,2.0,388683.0046994311,-2219.149706857359,-0.005709407615013754
NIFTY_FINANCIAL_SERVICES,CHOLAFIN,113798.34589813661,2.0,1.0,1.0,-3270.703064596979,0.0,2.0,249.64097763131045,0.0,0.0,0.0,0.0,113798.34589813661,-3270.703064596979,-0.02874121797450955
NIFTY_FINANCIAL_SERVICES,ICICIBANK,167442.24732216503,3.0,2.6666666666666665,4.0,-1606.3522395926266,0.0,3.0,370.64606686822657,0.0,0.0,0.0,0.0,167442.24732216503,-1606.3522395926266,-0.009593470377293408
NIFTY_FINANCIAL_SERVICES,M&MFIN,272588.30310826167,5.0,1.6,4.0,-4043.977391771543,1.0,4.0,601.9125973280635,0.0,0.0,0.0,0.0,272588.30310826167,-4043.977391771543,-0.014835476598441678
NIFTY_FINANCIAL_SERVICES,PFC,433400.11726570886,7.0,3.0,7.0,-3298.9316904468506,2.0,5.0,960.2548249898002,0.0,0.0,0.0,0.0,433400.11726570886,-3298.9316904468506,-0.007611746187932714
NIFTY_FINANCIAL_SERVICES,SBIN,110138.96508584682,2.0,3.5,6.0,1031.0361307039711,2.0,0.0,245.96644388264906,0.0,0.0,0.0,0.0,110138.96508584682,1031.0361307039711,0.009361229514916355
NIFTY_FINANCIAL_SERVICES_EX_BANK,ABCAPITAL,58452.87397705916,1.0,7.0,7.0,-2643.2693360323537,0.0,1.0,127.22967078908042,53402.92313952236,51535.82071152068,-1867.102428001679,3.0,111855.79711658153,-4510.371764034033,-0.04032309348556253
NIFTY_FINANCIAL_SERVICES_EX_BANK,ANGELONE,61155.34815302797,1.0,1.0,1.0,-2336.597549952501,0.0,1.0,133.55680566982696,0.0,0.0,0.0,0.0,61155.34815302797,-2336.597549952501,-0.03820757497947152
NIFTY_FINANCIAL_SERVICES_EX_BANK,BSE,421342.7885720656,7.0,9.142857142857142,29.0,-7996.239675852361,1.0,6.0,928.5725088627647,0.0,0.0,0.0,0.0,421342.7885720656,-7996.239675852361,-0.018977991062696688
NIFTY_FINANCIAL_SERVICES_EX_BANK,MCX,248331.64330245613,4.0,8.75,15.0,-1166.849908939701,1.0,3.0,550.9617091404241,0.0,0.0,0.0,0.0,248331.64330245613,-1166.849908939701,-0.004698756442885264
NIFTY_FMCG,MARICO,59375.0,1.0,1.0,1.0,1086.662452361823,1.0,0.0,133.14910430562415,0.0,0.0,0.0,0.0,59375.0,1086.662452361823,0.018301683408199123
NIFTY_FMCG,NESTLEIND,59375.0,1.0,6.0,6.0,462.6858300228414,1.0,0.0,132.50185280733325,0.0,0.0,0.0,0.0,59375.0,462.6858300228414,0.007792603453016276
NIFTY_HEALTHCARE,AUROPHARMA,362889.91459500644,6.0,6.333333333333333,16.0,6534.6588688803895,5.0,1.0,813.673886290869,0.0,0.0,0.0,0.0,362889.91459500644,6534.6588688803895,0.018007276052775453
NIFTY_HEALTHCARE,LAURUSLABS,367939.8654325432,6.0,10.333333333333334,29.0,15704.398512600645,5.0,1.0,834.4143666961603,53402.92313952236,54273.237229837614,870.3140903152525,3.0,421342.7885720656,16574.712602915897,0.03933783383142202
NIFTY_HEALTHCARE,TORNTPHARM,58452.87397705916,1.0,7.0,7.0,-2304.616506489263,0.0,1.0,127.58095566654998,0.0,0.0,0.0,0.0,58452.87397705916,-2304.616506489263,-0.039426915217098644
NIFTY_IT,HCLTECH,53402.92313952236,1.0,0.0,0.0,-1152.775746174797,0.0,1.0,117.54705967815391,0.0,0.0,0.0,0.0,53402.92313952236,-1152.775746174797,-0.021586379141887314
NIFTY_IT,TECHM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53402.92313952236,54152.78512001126,749.8619804888949,3.0,53402.92313952236,749.8619804888949,0.014041590542333778
NIFTY_MEDIA,SUNTV,4514159.910925598,49.0,1.163265306122449,3.0,-19621.632757845815,14.0,32.0,10017.002357273763,97987.97200065598,97871.73612058153,-116.23588007445505,0.0,4612147.882926254,-19737.86863792027,-0.004279539411775594
NIFTY_MEDIA,ZEEL,987034.2327911657,16.0,1.8125,6.0,9513.833054760624,9.0,7.0,2204.5658536373835,0.0,0.0,0.0,0.0,987034.2327911657,9513.833054760624,0.00963880759014519
NIFTY_METAL,HINDCOPPER,249063.2056263361,4.0,1.0,1.0,-1732.1383168279353,2.0,2.0,552.0019834687009,0.0,0.0,0.0,0.0,249063.2056263361,-1732.1383168279353,-0.006954613438271662
NIFTY_METAL,JSWSTEEL,53402.92313952236,1.0,0.0,0.0,-60.36182447169267,0.0,1.0,118.68022159842864,0.0,0.0,0.0,0.0,53402.92313952236,-60.36182447169267,-0.001130309371155381
NIFTY_METAL,NATIONALUM,178251.65980620714,3.0,2.6666666666666665,6.0,-11745.238722843766,1.0,2.0,384.16401021095794,0.0,0.0,0.0,0.0,178251.65980620714,-11745.238722843766,-0.06589132878545442
NIFTY_METAL,WELCORP,308564.8654325432,5.0,11.2,29.0,8175.112636767459,3.0,2.0,694.5823234558457,53402.92313952236,57738.68166708698,4335.75852756462,3.0,361967.7885720656,12510.871164332078,0.034563493104418155
NIFTY_MIDSMALL_FINANCIAL_SERVICES,ABCAPITAL,114613.1097613708,2.0,1.0,1.0,2178.1924338496465,2.0,0.0,257.1047710659791,0.0,0.0,0.0,0.0,114613.1097613708,2178.1924338496465,0.019004740717573517
NIFTY_MIDSMALL_FINANCIAL_SERVICES,ANGELONE,917407.5083351954,15.0,3.1333333333333333,12.0,200.42788695041236,7.0,8.0,2040.0881570136623,0.0,0.0,0.0,0.0,917407.5083351954,200.42788695041236,0.00021847203683140288
NIFTY_MIDSMALL_FINANCIAL_SERVICES,AUBANK,121579.13398217596,2.0,1.0,1.0,553.4040315732855,1.0,1.0,270.9085187182393,0.0,0.0,0.0,0.0,121579.13398217596,553.4040315732855,0.0045518010652585905
NIFTY_MIDSMALL_FINANCIAL_SERVICES,BANDHANBNK,65935.76196075442,1.0,1.0,1.0,-1488.5713358253197,0.0,1.0,145.0658425965368,0.0,0.0,0.0,0.0,65935.76196075442,-1488.5713358253197,-0.022576084533782004
NIFTY_MIDSMALL_FINANCIAL_SERVICES,IDFCFIRSTB,58452.87397705916,1.0,1.0,1.0,-1169.3971198539948,0.0,1.0,128.758519733188,0.0,0.0,0.0,0.0,58452.87397705916,-1169.3971198539948,-0.020005810498093645
NIFTY_MIDSMALL_FINANCIAL_SERVICES,MANAPPURAM,110585.49590207418,2.0,6.0,11.0,3390.2676930411762,1.0,1.0,249.4065501257957,52418.399517017635,52168.30105641707,-250.0984606005659,2.0,163003.8954190918,3140.1692324406104,0.019264381531294488
NIFTY_MIDSMALL_FINANCIAL_SERVICES,MCX,118176.87552331795,2.0,2.0,3.0,35.37105284435529,1.0,1.0,262.80614952484933,0.0,0.0,0.0,0.0,118176.87552331795,35.37105284435529,0.00029930604179305865
NIFTY_MIDSMALL_FINANCIAL_SERVICES,PNBHOUSING,581876.3650362488,10.0,0.9,1.0,-3874.7825693361738,2.0,8.0,1289.7984220505834,0.0,0.0,0.0,0.0,581876.3650362488,-3874.7825693361738,-0.0066591166133630275
NIFTY_MIDSMALL_FINANCIAL_SERVICES,RBLBANK,308282.82876522746,5.0,1.4,3.0,2648.242484200462,3.0,2.0,688.2221800828258,0.0,0.0,0.0,0.0,308282.82876522746,2648.242484200462,0.008590301622725893
NIFTY_MIDSMALL_FINANCIAL_SERVICES,YESBANK,174777.282954645,3.0,2.0,4.0,-1924.8820387950618,0.0,3.0,386.6253045087322,0.0,0.0,0.0,0.0,174777.282954645,-1924.8820387950618,-0.011013342273403873
NIFTY_MIDSMALL_HEALTHCARE,GRANULES,421342.7885720656,7.0,9.0,29.0,-2070.928367453933,3.0,4.0,934.7188394862178,0.0,0.0,0.0,0.0,421342.7885720656,-2070.928367453933,-0.00491506778713913
NIFTY_MIDSMALL_HEALTHCARE,SAILIFE,122246.38898489418,2.0,8.0,12.0,3468.761810744916,2.0,0.0,275.41628133578274,53402.92313952236,54713.89584926788,1310.972709745518,3.0,175649.31212441652,4779.734520490434,0.02721180323840287
NIFTY_MIDSMALL_HEALTHCARE,WOCKPHARMA,245693.47644764907,4.0,3.75,7.0,-11008.751323015429,0.0,4.0,534.8866612503576,0.0,0.0,0.0,0.0,245693.47644764907,-11008.751323015429,-0.04480685235190243
NIFTY_MIDSMALL_IT_TELECOM,HFCL,367939.8654325432,6.0,10.333333333333334,29.0,613.6293649116196,3.0,3.0,818.7606986074583,53402.92313952236,53866.64612073398,463.7229812116202,3.0,421342.7885720656,1077.3523461232398,0.002556949769508092
NIFTY_MIDSMALL_IT_TELECOM,IDEA,309486.99145548407,5.0,7.2,15.0,-6482.013777013999,2.0,3.0,681.4288453528659,0.0,0.0,0.0,0.0,309486.99145548407,-6482.013777013999,-0.020944382012729468
NIFTY_MIDSMALL_IT_TELECOM,OFSS,58452.87397705916,1.0,1.0,1.0,-4085.895684577692,0.0,1.0,125.7332332109068,53402.92313952236,54712.16470995207,1309.241570429709,3.0,111855.79711658153,-2776.654114147983,-0.02482351550589747
NIFTY_OIL_GAS,ATGL,123168.51500783503,2.0,1.0,1.0,-915.9913371870643,1.0,1.0,272.9183450420479,0.0,0.0,0.0,0.0,123168.51500783503,-915.9913371870643,-0.007436895192970347
NIFTY_OIL_GAS,CHENNPETRO,123168.51500783503,2.0,6.5,7.0,7243.676750227067,2.0,0.0,281.38237591445153,0.0,0.0,0.0,0.0,123168.51500783503,7243.676750227067,0.05881110728473328
NIFTY_PHARMA,AUROPHARMA,114152.06760923684,2.0,12.5,13.0,-414.2794490714732,1.0,1.0,253.3904580880471,0.0,0.0,0.0,0.0,114152.06760923684,-414.2794490714732,-0.00362918918376167
NIFTY_PHARMA,BIOCON,964312.3516865021,16.0,1.25,3.0,-12360.914093731772,6.0,10.0,2131.352445853052,0.0,0.0,0.0,0.0,964312.3516865021,-12360.914093731772,-0.012818371632504303
NIFTY_PHARMA,DIVISLAB,1042540.4509488769,17.0,1.2941176470588236,4.0,-3557.360364738015,7.0,10.0,2314.426661202562,53114.22229632229,52257.1121120087,-857.1101843135912,3.0,1095654.6732451993,-4414.470549051606,-0.004029071072162243
NIFTY_PHARMA,LUPIN,1329534.4334734592,22.0,1.5,4.0,4318.138729029713,12.0,10.0,2960.7347573360953,0.0,0.0,0.0,0.0,1329534.4334734592,4318.138729029713,0.003247857761568771
NIFTY_PHARMA,SUNPHARMA,271487.1648487485,5.0,0.6,1.0,-238.40554576940485,3.0,2.0,603.4117098291697,0.0,0.0,0.0,0.0,271487.1648487485,-238.40554576940485,-0.0008781466553021977
NIFTY_PRIVATE_BANK,BANDHANBNK,1715956.5733542417,30.0,1.3,4.0,-17532.91553757617,12.0,18.0,3797.288653890264,0.0,0.0,0.0,0.0,1715956.5733542417,-17532.91553757617,-0.01021757532202808
