universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,853,-1.0,-1.0
NIFTY_AUTO,GOLDBEES,28,inf,inf
NIFTY_AUTO,Stocks,663,inf,inf
NIFTY_BANK,Cash,1238,-1.0,-1.0
NIFTY_BANK,Stocks,306,inf,inf
NIFTY_CHEMICALS,Cash,1539,-1.0,-1.0
NIFTY_CHEMICALS,Stocks,5,inf,inf
NIFTY_CONSUMER_DURABLES,Cash,1359,-1.0,-1.0
NIFTY_CONSUMER_DURABLES,Stocks,185,inf,inf
NIFTY_FINANCIAL_SERVICES,Cash,1402,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,142,inf,inf
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,1487,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,57,inf,inf
NIFTY_FMCG,Cash,1232,-1.0,-1.0
NIFTY_FMCG,Stocks,312,inf,inf
NIFTY_HEALTHCARE,Cash,1053,-1.0,-1.0
NIFTY_HEALTHCARE,Stocks,491,inf,inf
NIFTY_IT,Cash,1374,-1.0,-1.0
NIFTY_IT,Stocks,170,inf,inf
NIFTY_MEDIA,Cash,1516,-1.0,-1.0
NIFTY_MEDIA,Stocks,28,inf,inf
NIFTY_METAL,Cash,1173,-1.0,-1.0
NIFTY_METAL,Stocks,371,inf,inf
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1442,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,102,inf,inf
NIFTY_MIDSMALL_HEALTHCARE,Cash,1397,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,147,inf,inf
NIFTY_MIDSMALL_IT_TELECOM,Cash,1544,0.0,0.0
NIFTY_OIL_GAS,Cash,1356,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,188,inf,inf
NIFTY_PHARMA,Cash,1388,-1.0,-1.0
NIFTY_PHARMA,GOLDBEES,1,-0.001186226000000068,-0.25851948160295946
NIFTY_PHARMA,Stocks,155,inf,inf
NIFTY_PRIVATE_BANK,Cash,1446,-1.0,-1.0
NIFTY_PRIVATE_BANK,Stocks,98,inf,inf
NIFTY_PSU_BANK,Cash,1099,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,445,inf,inf
NIFTY_REALTY,Cash,1345,-1.0,-1.0
NIFTY_REALTY,Stocks,199,inf,inf
COMBINED,Combined,1544,-0.3186993284786057,-0.060711895149544115
