date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold
2020-05-04,2020-05-05,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-22,2020-05-04,0,5
2020-05-05,2020-05-06,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-23,2020-05-05,0,5
2020-05-06,2020-05-07,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-24,2020-05-06,0,5
2020-05-07,2020-05-08,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-25,2020-05-07,0,5
2020-05-08,2020-05-11,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-26,2020-05-08,0,5
2020-05-11,2020-05-12,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-04-30,2020-05-11,0,5
2020-05-12,2020-05-13,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-05-02,2020-05-12,0,5
2020-05-13,2020-05-14,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-05-03,2020-05-13,0,5
2020-05-14,2020-05-15,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-06,2020-05-14,0,5
2020-05-15,2020-05-18,NIFTY_AUTO,APOLLOTYRE,12,MARKET_CAP_FILTER,2019-05-07,2020-05-15,0,5
2020-05-18,2020-05-19,NIFTY_AUTO,APOLLOTYRE,10,MARKET_CAP_FILTER,2019-05-08,2020-05-18,0,5
2020-05-19,2020-05-20,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-09,2020-05-19,0,5
2020-05-20,2020-05-21,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-10,2020-05-20,0,5
2020-05-21,2020-05-22,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-13,2020-05-21,0,5
2020-05-22,2020-05-26,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-14,2020-05-22,0,5
2020-05-26,2020-05-27,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-15,2020-05-26,0,5
2020-05-27,2020-05-28,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-16,2020-05-27,0,5
2020-05-28,2020-05-29,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-17,2020-05-28,0,5
2020-05-29,2020-06-01,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-20,2020-05-29,0,5
2020-06-01,2020-06-02,NIFTY_AUTO,APOLLOTYRE,11,MARKET_CAP_FILTER,2019-05-21,2020-06-01,0,5
