date,portfolio_value,daily_return,month,year
2020-05-05,998813.774,0.0,2020-05,2020
2020-05-06,989239.6698374909,-0.009585474701822694,2020-05,2020
2020-05-07,987363.562249934,-0.0018965147120162396,2020-05,2020
2020-05-08,987200.168615063,-0.00016548477290234676,2020-05,2020
2020-05-11,1008361.143860077,0.02143534403433156,2020-05,2020
2020-05-12,1033191.4633823412,0.024624431111270217,2020-05,2020
2020-05-13,1075556.6814015955,0.041004227697124085,2020-05,2020
2020-05-14,1066354.3776791561,-0.008555851943058412,2020-05,2020
2020-05-15,1078749.3269108108,0.011623667976710772,2020-05,2020
2020-05-18,1003077.562356621,-0.0701476818260357,2020-05,2020
2020-05-19,956323.5001092704,-0.04661061517267617,2020-05,2020
2020-05-20,954248.0606200146,-0.0021702274272448197,2020-05,2020
2020-05-21,984765.3125911544,0.03198041812242347,2020-05,2020
2020-05-22,979684.7684474704,-0.005159142060270017,2020-05,2020
2020-05-26,985611.041613566,0.006049163319633122,2020-05,2020
2020-05-27,987555.6809764495,0.0019730291979074277,2020-05,2020
2020-05-28,989081.8439253346,0.0015453943289316374,2020-05,2020
2020-05-29,1033483.9996724215,0.044892296850652436,2020-05,2020
2020-06-01,1077681.9809590694,0.04276600440902545,2020-06,2020
2020-06-02,1096745.1203234054,0.017689021159443374,2020-06,2020
2020-06-03,1083409.7663930536,-0.012159027364917252,2020-06,2020
2020-06-04,1067523.187487333,-0.014663499811904956,2020-06,2020
2020-06-05,1081595.6726311534,0.013182369534233018,2020-06,2020
2020-06-08,1060035.743950334,-0.019933445765709767,2020-06,2020
2020-06-09,1062424.319634692,0.002253297304350088,2020-06,2020
2020-06-10,1028867.0831491724,-0.031585531190643445,2020-06,2020
2020-06-11,1000839.3802405479,-0.027241325305924602,2020-06,2020
2020-06-12,1019064.0170269769,0.01820935221598563,2020-06,2020
2020-06-15,1059285.6188530936,0.03946916106748555,2020-06,2020
2020-06-16,1045775.6242175314,-0.01275387336060474,2020-06,2020
2020-06-17,1023765.5295150867,-0.0210466702347486,2020-06,2020
2020-06-18,1022241.9569794608,-0.0014882045660861154,2020-06,2020
