date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2020-10-05,2020-10-06,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2019-09-30,2020-10-05,9,5,2020,2020-10-05,9
2020-10-16,2020-10-19,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2019-10-15,2020-10-16,9,5,2020,2020-10-16,9
2020-10-21,2020-10-22,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2019-10-18,2020-10-21,9,5,2020,2020-10-21,9
2020-12-28,2020-12-29,NIFTY_REALTY,IBREALEST,5,LOWER_CIRCUIT_FILTER,2019-12-26,2020-12-28,9,5,2020,2020-12-28,9
2021-01-15,2021-01-18,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2020-01-15,2021-01-15,9,5,2021,2021-01-15,9
2021-01-21,2021-01-22,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2020-01-21,2021-01-21,9,5,2021,2021-01-21,9
2021-01-22,2021-01-25,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2020-01-22,2021-01-22,9,5,2021,2021-01-22,9
2021-01-29,2021-02-01,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2020-01-28,2021-01-29,9,5,2021,2021-01-29,9
2021-02-05,2021-02-08,NIFTY_REALTY,IBREALEST,6,LOWER_CIRCUIT_FILTER,2020-02-04,2021-02-05,9,5,2021,2021-02-05,9
2021-02-12,2021-02-15,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2020-02-11,2021-02-12,9,5,2021,2021-02-12,9
2021-02-19,2021-02-22,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2020-02-18,2021-02-19,9,5,2021,2021-02-19,9
2021-02-22,2021-02-23,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2020-02-19,2021-02-22,9,5,2021,2021-02-22,9
2021-02-26,2021-03-01,NIFTY_REALTY,IBREALEST,5,LOWER_CIRCUIT_FILTER,2020-02-26,2021-02-26,9,5,2021,2021-02-26,9
2021-03-12,2021-03-15,NIFTY_REALTY,IBREALEST,4,LOWER_CIRCUIT_FILTER,2020-03-11,2021-03-12,9,5,2021,2021-03-12,9
2021-10-01,2021-10-04,NIFTY_OIL_GAS,ATGL,2,LOWER_CIRCUIT_FILTER,2020-09-28,2021-10-01,7,5,2021,2021-10-01,7
2021-10-18,2021-10-19,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-10-13,2021-10-18,7,5,2021,2021-10-18,7
2021-10-21,2021-10-22,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-10-16,2021-10-21,7,5,2021,2021-10-21,7
2021-10-22,2021-10-25,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-10-19,2021-10-22,7,5,2021,2021-10-22,7
2021-12-10,2021-12-13,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-12-04,2021-12-10,7,5,2021,2021-12-10,7
2021-12-17,2021-12-20,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-12-11,2021-12-17,7,5,2021,2021-12-17,7
2021-12-21,2021-12-22,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-12-15,2021-12-21,7,5,2021,2021-12-21,7
2021-12-24,2021-12-27,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-12-18,2021-12-24,7,5,2021,2021-12-24,7
2022-01-14,2022-01-17,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2021-01-11,2022-01-14,7,5,2022,2022-01-14,7
2022-01-21,2022-01-24,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2021-01-18,2022-01-21,7,5,2022,2022-01-21,7
2022-02-21,2022-02-22,NIFTY_OIL_GAS,ATGL,3,LOWER_CIRCUIT_FILTER,2021-02-16,2022-02-21,7,5,2022,2022-02-21,7
2022-03-25,2022-03-28,NIFTY_OIL_GAS,ATGL,2,LOWER_CIRCUIT_FILTER,2021-03-19,2022-03-25,7,5,2022,2022-03-25,7
2022-04-01,2022-04-04,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2021-03-26,2022-04-01,7,5,2022,2022-04-01,7
