date,execution_date,universe,rank,symbol,score,return_9m,return_6m,return_3m,volatility_3m,market_cap_crore,status
2020-05-04,2020-05-05,NIFTY_AUTO,1,MRF,0.9891834606726965,7.215845584869385,-8.419904708862305,-17.521997451782227,53.35669708251953,25588.94,SELECTED
2020-05-04,2020-05-05,NIFTY_AUTO,2,BAJAJ-AUTO,0.8471945052345594,-0.4323754608631134,-18.818490982055664,-17.218631744384766,59.32807159423828,85375.4,SELECTED
2020-05-04,2020-05-05,NIFTY_AUTO,3,EXIDEIND,0.730280304948489,-20.954675674438477,-15.096440315246582,-26.233121871948242,52.66480255126953,15849.18,SELECTED
2020-05-04,2020-05-05,NIFTY_AUTO,4,HEROMOTOCO,0.7166475802659988,-14.404821395874023,-22.910144805908203,-16.21903419494629,68.18074035644531,50924.87,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,5,TVSMOTOR,0.5359113588929176,-17.610984802246094,-32.66571807861328,-32.69467544555664,61.57942581176758,19895.78,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,6,EICHERMOT,0.5086189756790798,-18.232053756713867,-35.014076232910156,-34.3103141784668,59.9738883972168,52385.11,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,7,MARUTI,0.4799713877340158,-16.203718185424805,-34.16554260253906,-31.648672103881836,79.08059692382812,200578.8,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,8,BOSCHLTD,0.4319050721824169,-33.95878982543945,-32.409942626953125,-33.303993225097656,65.91807556152344,43712.84,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,9,M&M,0.30232247586051625,-36.794132232666016,-39.63652801513672,-38.258689880371094,73.20526123046875,69491.99,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,10,ASHOKLEY,0.23244068026542664,-34.837154388427734,-34.49351501464844,-41.81889343261719,102.67036437988281,21692.59,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,11,BHARATFORG,0.190742831521978,-37.53213882446289,-39.97156524658203,-46.75273895263672,88.04723358154297,20432.34,ELIGIBLE
2020-05-04,2020-05-05,NIFTY_AUTO,12,APOLLOTYRE,0.11206454286972682,-47.208778381347656,-50.14081573486328,-48.11506652832031,69.0472640991211,9861.96,ENTRY_FILTERED
2020-05-05,2020-05-06,NIFTY_AUTO,1,MRF,0.9973935410380363,7.177494525909424,-11.37922477722168,-17.33673667907715,53.35296630859375,25588.94,SELECTED
2020-05-05,2020-05-06,NIFTY_AUTO,2,BAJAJ-AUTO,0.8692040170232456,0.30707263946533203,-20.40870475769043,-17.292285919189453,59.33081817626953,85375.4,SELECTED
2020-05-05,2020-05-06,NIFTY_AUTO,3,EXIDEIND,0.7455257202188175,-19.997560501098633,-17.825244903564453,-26.40589141845703,52.65636444091797,15849.18,SELECTED
2020-05-05,2020-05-06,NIFTY_AUTO,4,HEROMOTOCO,0.6979541728893917,-18.150938034057617,-25.18744468688965,-18.136009216308594,68.22571563720703,50924.87,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,5,TVSMOTOR,0.5589453006784122,-15.99040412902832,-35.09663772583008,-32.66495895385742,61.5792121887207,19895.78,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,6,EICHERMOT,0.5309226860602697,-17.989479064941406,-36.86896896362305,-33.986602783203125,60.002811431884766,52385.11,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,7,MARUTI,0.48958313961823785,-16.625335693359375,-37.447696685791016,-30.973041534423828,79.02711486816406,200578.8,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,8,BOSCHLTD,0.4405663038293521,-33.42288589477539,-36.655853271484375,-32.493507385253906,65.9133529663086,43712.84,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,9,M&M,0.365176722407341,-34.15309524536133,-39.82509994506836,-35.69432067871094,73.60182189941406,69491.99,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,10,BHARATFORG,0.26460826707383,-34.62071228027344,-39.29185485839844,-43.898841857910156,88.46926879882812,20432.34,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,11,ASHOKLEY,0.2307190311451753,-35.0277214050293,-38.51203918457031,-42.434478759765625,102.69334411621094,21692.59,ELIGIBLE
2020-05-05,2020-05-06,NIFTY_AUTO,12,APOLLOTYRE,0.1115244006117185,-47.72956848144531,-53.14263916015625,-49.65326690673828,69.2112808227539,9861.96,ENTRY_FILTERED
2020-05-06,2020-05-07,NIFTY_AUTO,1,MRF,0.9919651597738266,8.14060115814209,-10.055546760559082,-17.062610626220703,53.382957458496094,25588.94,SELECTED
2020-05-06,2020-05-07,NIFTY_AUTO,2,BAJAJ-AUTO,0.8677432189385097,2.3885269165039062,-19.859352111816406,-16.4625301361084,59.45368957519531,85375.4,SELECTED
2020-05-06,2020-05-07,NIFTY_AUTO,3,EXIDEIND,0.7451331242918968,-17.517183303833008,-16.812782287597656,-26.157978057861328,52.67073440551758,15849.18,SELECTED
2020-05-06,2020-05-07,NIFTY_AUTO,4,HEROMOTOCO,0.7352170720696449,-13.279501914978027,-22.36020278930664,-16.172704696655273,68.53424835205078,50924.87,ELIGIBLE
2020-05-06,2020-05-07,NIFTY_AUTO,5,TVSMOTOR,0.5928845082720121,-9.430657386779785,-34.102272033691406,-30.59595489501953,62.3447151184082,19895.78,ELIGIBLE
2020-05-06,2020-05-07,NIFTY_AUTO,6,EICHERMOT,0.5420825257897377,-14.722198486328125,-37.94548797607422,-30.81801414489746,59.56678771972656,52385.11,ELIGIBLE
2020-05-06,2020-05-07,NIFTY_AUTO,7,MARUTI,0.4918168423076471,-14.861204147338867,-35.90998458862305,-30.912364959716797,79.03082275390625,200578.8,ELIGIBLE
2020-05-06,2020-05-07,NIFTY_AUTO,8,BOSCHLTD,0.4217590888341268,-32.25145721435547,-36.71500778198242,-33.0716552734375,65.88541412353516,43712.84,ELIGIBLE
2020-05-06,2020-05-07,NIFTY_AUTO,9,M&M,0.4042237065732479,-29.60909652709961,-37.20703887939453,-32.99004364013672,74.4253921508789,69491.99,ELIGIBLE
2020-05-06,2020-05-07,NIFTY_AUTO,10,BHARATFORG,0.2734927491595348,-33.09649658203125,-37.058006286621094,-43.35272979736328,88.57731628417969,20432.34,ELIGIBLE
