date,universe,cash,stock_value,gold_value,total_value,holdings,month,year
2020-05-05,NIFTY_AUTO,0.0,998813.774,0.0,998813.774,"MRF,BAJAJ-AUTO,EXIDEIND",2020-05,2020
2020-05-05,NIFTY_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_CHEMICALS,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_CONSUMER_DURABLES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_FMCG,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_HEALTHCARE,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_IT,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_MEDIA,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_METAL,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_OIL_GAS,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_PHARMA,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_PRIVATE_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_PSU_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_REALTY,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-05,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_AUTO,0.0,989239.6698374909,0.0,989239.6698374909,"MRF,BAJAJ-AUTO,EXIDEIND",2020-05,2020
2020-05-06,NIFTY_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_CHEMICALS,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_CONSUMER_DURABLES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_FMCG,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_HEALTHCARE,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_IT,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_MEDIA,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_METAL,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_OIL_GAS,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_PHARMA,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_PRIVATE_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_PSU_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_REALTY,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_FINANCIAL_SERVICES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_HEALTHCARE,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-06,NIFTY_MIDSMALL_IT_TELECOM,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_AUTO,0.0,987363.562249934,0.0,987363.562249934,"MRF,BAJAJ-AUTO,EXIDEIND",2020-05,2020
2020-05-07,NIFTY_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_CHEMICALS,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_CONSUMER_DURABLES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_FINANCIAL_SERVICES,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_FINANCIAL_SERVICES_EX_BANK,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_FMCG,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_HEALTHCARE,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_IT,0.0,0.0,0.0,0.0,,2020-05,2020
2020-05-07,NIFTY_MEDIA,0.0,0.0,0.0,0.0,,2020-05,2020
