universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,1061,-1.0,-1.0
NIFTY_AUTO,Stocks,483,0.3786504231819343,0.18238440062029615
NIFTY_BANK,Cash,1272,-1.0,-1.0
NIFTY_BANK,Stocks,272,0.522728400471828,0.4763669914363602
NIFTY_CHEMICALS,Cash,1544,0.0,0.0
NIFTY_CONSUMER_DURABLES,Cash,1450,-1.0,-1.0
NIFTY_CONSUMER_DURABLES,Stocks,94,-0.05060784189374479,-0.1299682122230318
NIFTY_FINANCIAL_SERVICES,Cash,1318,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,226,0.5415483013332145,0.6202443827668098
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,1518,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,26,-0.08886868173402818,-0.5942613574704895
NIFTY_FMCG,Cash,1386,-1.0,-1.0
NIFTY_FMCG,Stocks,158,-0.021567054648141015,-0.03417675812733245
NIFTY_HEALTHCARE,Cash,1173,-1.0,-1.0
NIFTY_HEALTHCARE,Stocks,371,0.32771375909600686,0.2123223757228907
NIFTY_IT,Cash,1496,-1.0,-1.0
NIFTY_IT,Stocks,48,-0.13269511756780916,-0.5264106756658
NIFTY_MEDIA,Cash,1481,-1.0,-1.0
NIFTY_MEDIA,Stocks,63,-0.13616382683874528,-0.44316625703875845
NIFTY_METAL,Cash,983,-1.0,-1.0
NIFTY_METAL,Stocks,561,1.2646435535675309,0.4436608383435414
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1511,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,33,-0.081383672437502,-0.47702727113820786
NIFTY_MIDSMALL_HEALTHCARE,Cash,1318,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,226,0.3400219794042325,0.38591124089650797
NIFTY_MIDSMALL_IT_TELECOM,Cash,1544,0.0,0.0
NIFTY_OIL_GAS,Cash,1458,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,86,-0.07229543225082491,-0.19739321456981118
NIFTY_PHARMA,Cash,751,-1.0,-1.0
NIFTY_PHARMA,Stocks,793,0.35670741537080675,0.10179688724360658
NIFTY_PRIVATE_BANK,Cash,1517,-1.0,-1.0
NIFTY_PRIVATE_BANK,Stocks,27,-0.10049226134274114,-0.6278547864404791
NIFTY_PSU_BANK,Cash,1306,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,238,-0.19947171826911037,-0.20988018219649018
NIFTY_REALTY,Cash,1279,-1.0,-1.0
NIFTY_REALTY,Stocks,265,0.5249825325983397,0.49373830188083345
COMBINED,Combined,1544,1.2102191252688463,0.13819357417737743
