rebalance_date,date,universe,symbol,rank,score,entry_date,entry_rank,entry_price,current_price,quantity,cost_value,market_value,unrealized_pnl,unrealized_return_pct,holding_days,sleeve_weight,weight
2020-05-05,2020-05-05,NIFTY_AUTO,MRF,1,0.9888037542502086,2020-05-05,1,58056.8724963474,58056.8724963474,1.9115619469375376,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_AUTO,BAJAJ-AUTO,2,0.8112624784310659,2020-05-05,2,2134.3039185939965,2134.3039185939965,51.99789367173698,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_AUTO,EXIDEIND,3,0.6775227561593056,2020-05-05,3,143.39478917837727,143.39478917837727,773.9424065414852,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_METAL,HINDZINC,1,0.9241232400139173,2020-05-05,1,91.13235313688446,91.13235313688446,1217.7816593359203,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_METAL,COALINDIA,2,0.8638840913772583,2020-05-05,2,86.42307167032571,86.42307167032571,1284.1398260590656,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_METAL,NMDC,3,0.6728673540055752,2020-05-05,3,13.35688744062259,13.35688744062259,8308.770191826163,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_PHARMA,BIOCON,1,0.9189446270465851,2020-05-05,1,362.7673378156524,362.7673378156524,305.9242016948577,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_PHARMA,DRREDDY,2,0.8965024724602699,2020-05-05,2,766.4317443932638,766.4317443932638,144.79998908458262,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-05,2020-05-05,NIFTY_PHARMA,DIVISLAB,3,0.7597706342736881,2020-05-05,3,2205.0884151106216,2205.0884151106216,50.328733968998144,111111.11111111111,110979.30822222221,-131.8028888888948,-0.0011862260000000534,0,0.3333333333333333,0.1111111111111111
2020-05-06,2020-05-06,NIFTY_AUTO,MRF,1,0.9973935410380363,2020-05-05,1,58056.8724963474,57775.4296875,1.9115619469375376,111111.11111111111,110441.3128585903,-669.7982525208063,-0.006028184272687256,1,0.3341839236420228,0.11286489502494934
2020-05-06,2020-05-06,NIFTY_AUTO,BAJAJ-AUTO,2,0.8692040170232456,2020-05-05,2,2134.3039185939965,2131.587646484375,51.99789367173698,111111.11111111111,110838.06779388261,-273.0433172284975,-0.0024573898550564774,1,0.3353844628023105,0.11327035655889302
2020-05-06,2020-05-06,NIFTY_AUTO,EXIDEIND,3,0.7455257202188175,2020-05-05,3,143.39478917837727,141.09738159179688,773.9424065414852,111111.11111111111,109201.24706585752,-1909.864045253591,-0.01718877640728232,1,0.33043161355566675,0.11159761657725449
2020-05-06,2020-05-06,NIFTY_METAL,HINDZINC,3,0.7661296427249908,2020-05-05,1,91.13235313688446,91.91889953613281,1217.7816593359203,111111.11111111111,111937.15000144357,826.0388903324638,0.007434350012992174,1,0.34773229637925557,0.11439355760358713
2020-05-06,2020-05-06,NIFTY_METAL,COALINDIA,4,0.6730897972981136,2020-05-05,2,86.42307167032571,80.32720947265625,1284.1398260590656,111111.11111111111,103151.36880002693,-7959.742311084177,-0.0716376807997576,1,0.32043930318964065,0.10541497660573426
2020-05-06,2020-05-06,NIFTY_METAL,NMDC,6,0.5122563739617666,2020-05-05,3,13.35688744062259,12.85600471496582,8308.770191826163,111111.11111111111,106817.58876168462,-4293.522349426494,-0.03864170114483845,1,0.33182840043110384,0.10916165002350396
