month,beginning_value,ending_value,month_return,period_return,cumulative_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings,trades,winning_trades,losing_trades,win_rate,profit_factor,max_drawdown,annualized_volatility,sharpe_ratio,cash_value,stock_value,gold_value
2020-05,1000000.0,1043269.3717305923,0.04326937173059231,0.04450839474565815,0.04326937173059231,0.0,1043269.3717305923,0.0,43269.37173059232,1000000.0,0.0,1186.226,0.0,1186.226,1.0,9,0,0,0,0.0,0.0,0.031927481730124496,0.2207281142789595,2.8756727728686804,0.0,1043269.3717305923,0
2020-06,1043269.3717305923,1069918.5696533867,0.025543928198130006,0.02554392819813045,0.06991856965338661,94045.8078296566,975872.76182373,-17003.92948818719,86922.49914157379,224336.30701251025,318712.3728894766,266.113560122222,330.2580473097708,596.3716074319929,0.5205258532618176,8,3,2,1,0.6666666666666666,0.11058077264165769,0.03446469220393045,0.21078616281607934,1.476116122438094,94045.8078296566,975872.76182373,0
2020-07,1069918.5696533867,1127242.194635604,0.053577558711582984,0.05357755871158343,0.12724219463560393,0.0,1127242.194635604,12872.554111808859,131373.57001198235,329140.58416368766,235338.64035196844,390.43511859015456,243.86401793735882,634.2991365275134,0.5275908284296122,9,2,2,0,1.0,0.0,0.01964386795572237,0.1190784830902972,4.867257642365131,0.0,1127242.194635604,0
2020-08,1127242.194635604,1158934.340567684,0.028114761923301534,0.028114761923301534,0.15893434056768396,0.0,1158934.340567684,12179.398618666644,150886.31732539576,234401.62084088888,234644.76584802452,278.0532970836042,243.145007135635,521.1983042192392,0.41610080683729095,9,2,2,0,1.0,0.0,0.044039838585648305,0.184248328500606,1.899723956083253,0.0,1158934.340567684,0
2020-09,1158934.340567684,1133378.4056268623,-0.022051236248900485,-0.022051236248900152,0.13337840562686232,67132.26143902836,1066246.144187834,68450.37762608116,56880.00475849294,412824.92080603517,480455.0422516758,489.70365450805986,497.860006612285,987.5636611203448,0.7707770248831811,11,4,2,2,0.5,41.33027918456536,0.09030332025572341,0.2914969872711557,-0.728155429976091,67132.26143902836,1066246.144187834,0
2020-10,1133378.4056268623,1131578.9365741513,-0.001587703668763485,-0.0015877036687628188,0.13157893657415132,0.0,1131578.9365741513,23547.589667144595,31532.946038637216,201790.96221728408,134798.38236682216,239.36968594716,139.68158856644266,379.0512745136027,0.29697878741384826,12,1,1,0,1.0,0.0,0.0404101961172052,0.14340922975491388,-0.061095317923852074,0.0,1131578.9365741513,0
2020-11,1131578.9365741513,1246275.232899563,0.10135951864980264,0.10135951864980242,0.246275232899563,147036.42022761583,1099238.812671947,7148.800251337183,139080.4421127116,293557.457006007,441050.90564938035,348.2254879944077,457.0284157574348,805.2539037518425,0.6491887917951266,11,5,2,3,0.4,1.8313702588137977,0.017300559891708533,0.11462700082742139,11.256805879100405,147036.42022761583,1099238.812671947,0
2020-12,1246275.232899563,1326110.304753989,0.06405894119285604,0.06405894119285627,0.32611030475398906,274343.1525047779,1051767.152249211,28792.494604161708,190123.0193629759,382690.1875813354,510525.9401113152,453.9570504538571,529.0202528177878,982.9773032716449,0.7167085601264089,9,6,6,0,1.0,0.0,0.03360734920552788,0.1635262982569288,4.437725589675395,274343.1525047779,1051767.152249211,0
2021-01,1326110.304753989,1307924.2763968133,-0.013713812713754159,-0.01371381271375427,0.3079242763968133,0.0,1307924.2763968133,31555.254776147616,140381.73622965266,417009.5183920366,142814.3538338746,494.66753296411207,147.98794661586052,642.6554795799726,0.42215483147894395,12,1,1,0,1.0,0.0,0.07352270590753196,0.21983460936770732,-0.7233004612325487,0.0,1307924.2763968133,0
2021-02,1307924.2763968133,1566337.7103451963,0.19757522557826013,0.1975752255782599,0.5663377103451963,69751.44775983787,1496586.2625853585,9580.305849456781,389214.8643285789,368920.53234366793,439127.0149336825,437.6231273998999,455.0348301766701,892.65795757657,0.6178091208027976,11,4,2,2,0.5,2.833238846701838,0.03511564733309491,0.3493306021010245,6.704398436992831,69751.44775983787,1496586.2625853585,0
2021-03,1566337.7103451963,1479232.5616423017,-0.05561070778516719,-0.05561070778516708,0.47923256164230166,83231.77601759837,1396000.7856247034,279446.38063134905,22663.334994335077,1389559.2016475592,1404494.9040417552,1648.3312535335776,1455.3741364355717,3103.7053899691496,1.7838133419347666,11,11,9,2,0.8181818181818182,27.87282972323644,0.1102629090436612,0.21646581242106658,-3.058611055001785,83231.77601759837,1396000.7856247032,0
2021-04,1479232.5616423017,1449714.6195362387,-0.019954902881052727,-0.019954902881052283,0.4497146195362387,0.0,1449714.6195362385,-96782.87856290188,89928.27145117389,1042099.1614232276,959862.0193865299,1236.1651198584295,994.6339809008264,2230.799100759256,1.3533782535094425,9,8,1,7,0.125,0.06776996524236853,0.09162729188948204,0.3819132525254661,-0.501963645703324,0.0,1449714.6195362385,0
2021-05,1449714.6195362387,1487006.7375429664,0.02572376487357042,0.02572376487357042,0.4870067375429663,199357.25459517713,1287649.4829477891,-15535.962272289646,142756.35173019127,200590.28695611274,400362.40748735087,237.94541373480178,414.8659360609877,652.8113497957895,0.4145317197916562,8,2,0,2,0.0,0.0,0.038968416508375237,0.18174321364228602,1.852879029557847,199357.25459517713,1287649.4829477891,0
2021-06,1487006.7375429664,1551544.0513937562,0.043400821409475876,0.043400821409475654,0.5515440513937562,0.0,1551544.0513937562,14001.047703912962,193292.61787706835,319254.03118636913,120021.14562283616,378.7074323980819,124.36903164416904,503.0764640422509,0.29540900233917916,9,1,1,0,1.0,0.0,0.029340821160596664,0.1082202118266642,4.555151226273144,0.0,1551544.0513937562,0
2021-07,1551544.0513937562,1659038.5008647342,0.06928224137394978,0.06928224137394934,0.6590385008647341,0.0,1659038.5008647342,0.0,300787.06734804605,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0.0,0.0,0.02105699752464385,0.17370922799815677,4.721622492847863,0.0,1659038.5008647342,0
2021-08,1659038.5008647342,1670762.935597498,0.007067005814905825,0.007067005814906269,0.670762935597498,0.0,1670762.935597498,93245.70983615692,219265.79224465304,854862.5684398767,855749.3181328082,1014.0602051101611,886.7496929314873,1900.8098980416485,1.031086310342448,12,4,3,1,0.75,9.146490005438705,0.05289595179435724,0.17687430887209393,0.5671613634078381,0.0,1670762.935597498,0
