universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,APOLLOTYRE,726437.5119990791,2.0,23.5,42.0,-12628.045724274707,1.0,1.0,1602.1542502999414,0.0,0.0,0.0,0.0,726437.5119990791,-12628.045724274707,-0.017383526477760848
NIFTY_AUTO,ASHOKLEY,362825.7746616811,3.0,46.666666666666664,98.0,33968.7793751174,2.0,1.0,841.9887067172693,0.0,0.0,0.0,0.0,362825.7746616811,33968.7793751174,0.09362283979629557
NIFTY_AUTO,BAJAJ-AUTO,111111.11111111111,1.0,170.0,170.0,23547.589667144595,1.0,0.0,271.48447745533156,0.0,0.0,0.0,0.0,111111.11111111111,23547.589667144595,0.21192830700430135
NIFTY_AUTO,BHARATFORG,369329.6516652743,3.0,36.0,67.0,-6025.614779055366,1.0,2.0,814.9640318700832,0.0,0.0,0.0,0.0,369329.6516652743,-6025.614779055366,-0.016315004094272986
NIFTY_AUTO,BOSCHLTD,115490.36055363795,1.0,94.0,94.0,-9926.201098190577,0.0,1.0,246.49946374132003,0.0,0.0,0.0,0.0,115490.36055363795,-9926.201098190577,-0.0859483081584154
NIFTY_AUTO,EICHERMOT,225715.55553225585,2.0,77.5,148.0,9853.519719518648,1.0,1.0,512.1056691980405,0.0,0.0,0.0,0.0,225715.55553225585,9853.519719518648,0.04365458860947017
NIFTY_AUTO,EXIDEIND,111111.11111111111,1.0,64.0,64.0,3564.610087099689,1.0,0.0,250.75611518910225,0.0,0.0,0.0,0.0,111111.11111111111,3564.610087099689,0.0320814907838972
NIFTY_AUTO,HEROMOTOCO,114675.7211982108,1.0,159.0,159.0,9770.03471018991,1.0,0.0,265.11901393861797,0.0,0.0,0.0,0.0,114675.7211982108,9770.03471018991,0.08519706358160095
NIFTY_AUTO,M&M,813541.5906455012,3.0,144.33333333333334,218.0,53780.31046052357,2.0,1.0,1864.717956552168,0.0,0.0,0.0,0.0,813541.5906455012,53780.31046052357,0.06610640571903867
NIFTY_AUTO,MARUTI,399565.1646069482,1.0,150.0,150.0,26597.752932471805,1.0,0.0,916.0337555452804,0.0,0.0,0.0,0.0,399565.1646069482,26597.752932471805,0.06656674627438051
NIFTY_AUTO,MRF,111111.11111111111,1.0,104.0,104.0,2590.720467782754,1.0,0.0,249.7458986317736,0.0,0.0,0.0,0.0,111111.11111111111,2590.720467782754,0.023316484210044786
NIFTY_AUTO,TVSMOTOR,815330.1196202453,3.0,124.33333333333333,183.0,124171.38351605802,3.0,0.0,1941.7115206935487,0.0,0.0,0.0,0.0,815330.1196202453,124171.38351605802,0.152295837634323
NIFTY_BANK,AXISBANK,415163.34078253363,1.0,161.0,161.0,29241.36169974372,1.0,0.0,953.458937217403,0.0,0.0,0.0,0.0,415163.34078253363,29241.36169974372,0.07043339049307008
NIFTY_BANK,BANKBARODA,530709.0694953301,2.0,101.0,161.0,45784.002615716745,1.0,1.0,1227.5376666134393,0.0,0.0,0.0,0.0,530709.0694953301,45784.002615716745,0.08626949348963334
NIFTY_BANK,FEDERALBNK,115545.72871279647,1.0,41.0,41.0,-2612.0260689095303,0.0,1.0,254.2095765121432,0.0,0.0,0.0,0.0,115545.72871279647,-2612.0260689095303,-0.022605994163592595
NIFTY_BANK,HDFCBANK,108882.79304539062,1.0,140.0,140.0,14632.883136860328,1.0,0.0,257.2825194309356,0.0,0.0,0.0,0.0,108882.79304539062,14632.883136860328,0.13439114416141246
NIFTY_BANK,ICICIBANK,108882.79304539062,1.0,140.0,140.0,6219.958008076996,1.0,0.0,248.55578480712467,0.0,0.0,0.0,0.0,108882.79304539062,6219.958008076996,0.057125261339356394
NIFTY_BANK,IDFCFIRSTB,538136.8515637562,2.0,109.0,161.0,133087.49436919607,2.0,0.0,1334.6135283481,0.0,0.0,0.0,0.0,538136.8515637562,133087.49436919607,0.24731161596248424
NIFTY_BANK,INDUSINDBK,122973.51078122265,1.0,57.0,57.0,14303.758894875515,1.0,0.0,288.2722081836107,0.0,0.0,0.0,0.0,122973.51078122265,14303.758894875515,0.11631577242941996
NIFTY_BANK,KOTAKBANK,108882.79304539062,1.0,127.0,127.0,-6709.89644017916,0.0,1.0,235.1436354337294,0.0,0.0,0.0,0.0,108882.79304539062,-6709.89644017916,-0.06162494782239803
NIFTY_BANK,SBIN,238519.23949401913,2.0,49.0,57.0,39229.46802901091,2.0,0.0,571.0467016038523,0.0,0.0,0.0,0.0,238519.23949401913,39229.46802901091,0.16447087502136107
NIFTY_CONSUMER_DURABLES,BLUESTARCO,371610.2614676091,1.0,42.0,42.0,-27737.371827927243,0.0,1.0,797.5134044113718,0.0,0.0,0.0,0.0,371610.2614676091,-27737.371827927243,-0.07464102772184868
NIFTY_CONSUMER_DURABLES,DIXON,371610.2614676091,1.0,42.0,42.0,2120.231605994166,1.0,0.0,828.4847226725269,0.0,0.0,0.0,0.0,371610.2614676091,2120.231605994166,0.005705524916402162
NIFTY_CONSUMER_DURABLES,HAVELLS,119451.58947209576,1.0,66.0,66.0,2027.2854803517985,1.0,0.0,267.7067248367291,0.0,0.0,0.0,0.0,119451.58947209576,2027.2854803517985,0.01697160740439857
NIFTY_CONSUMER_DURABLES,KALYANKJIL,371610.2614676091,1.0,42.0,42.0,-102634.81998753076,0.0,1.0,719.8222156649887,0.0,0.0,0.0,0.0,371610.2614676091,-102634.81998753076,-0.2761894130215691
NIFTY_CONSUMER_DURABLES,RAJESHEXPO,121478.87495244756,1.0,6.0,6.0,-1027.6031158772385,0.0,1.0,269.04560996846635,0.0,0.0,0.0,0.0,121478.87495244756,-1027.6031158772385,-0.008459109588226675
NIFTY_CONSUMER_DURABLES,RELAXO,119451.58947209576,1.0,98.0,98.0,1231.8824352616357,1.0,0.0,266.88165255958205,0.0,0.0,0.0,0.0,119451.58947209576,1231.8824352616357,0.010312817440988569
NIFTY_CONSUMER_DURABLES,TITAN,119451.58947209576,1.0,98.0,98.0,27193.56193681444,1.0,0.0,293.8117255045256,0.0,0.0,0.0,0.0,119451.58947209576,27193.56193681444,0.22765341220651514
NIFTY_FINANCIAL_SERVICES,BAJAJFINSV,185759.94223915896,2.0,110.0,161.0,7644.831334204442,2.0,0.0,420.9722147066582,0.0,0.0,0.0,0.0,185759.94223915896,7644.831334204442,0.04115435891104019
NIFTY_FINANCIAL_SERVICES,BAJAJHLDNG,108882.79304539062,1.0,161.0,161.0,1242.0948388539546,1.0,0.0,243.39224297043006,0.0,0.0,0.0,0.0,108882.79304539062,1242.0948388539546,0.011407632042798122
NIFTY_FINANCIAL_SERVICES,BAJFINANCE,176189.9472887118,2.0,139.5,161.0,5545.915038651932,1.0,1.0,397.51586599415884,0.0,0.0,0.0,0.0,176189.9472887118,5545.915038651932,0.031476909573984815
NIFTY_FINANCIAL_SERVICES,CHOLAFIN,68804.15346767253,1.0,175.0,175.0,94478.8009190885,1.0,0.0,250.99082772198346,0.0,0.0,0.0,0.0,68804.15346767253,94478.8009190885,1.3731554878221
NIFTY_FINANCIAL_SERVICES,HDFCLIFE,68804.15346767253,1.0,86.0,86.0,8072.995726095833,1.0,0.0,161.3620101189199,0.0,0.0,0.0,0.0,68804.15346767253,8072.995726095833,0.1173329707470191
NIFTY_FINANCIAL_SERVICES,ICICIGI,68804.15346767253,1.0,45.0,45.0,-1496.9992243513407,0.0,1.0,151.43504595302807,0.0,0.0,0.0,0.0,68804.15346767253,-1496.9992243513407,-0.02175739615857206
NIFTY_FINANCIAL_SERVICES_EX_BANK,ABCAPITAL,113597.10794697667,1.0,21.0,21.0,3145.0985152244975,1.0,0.0,255.84863625072379,0.0,0.0,0.0,0.0,113597.10794697667,3145.0985152244975,0.02768643121348234
NIFTY_FINANCIAL_SERVICES_EX_BANK,BAJFINANCE,618512.1997902679,1.0,21.0,21.0,17326.29604998487,1.0,0.0,1393.251082798563,0.0,0.0,0.0,0.0,618512.1997902679,17326.29604998487,0.028012860628876955
NIFTY_FINANCIAL_SERVICES_EX_BANK,BSE,618512.1997902679,1.0,21.0,21.0,-185712.54748509137,0.0,1.0,1182.638712103149,0.0,0.0,0.0,0.0,618512.1997902679,-185712.54748509137,-0.30025688668398925
NIFTY_FINANCIAL_SERVICES_EX_BANK,HDFCAMC,113597.10794697667,1.0,21.0,21.0,-28.42278069749591,0.0,1.0,252.5567398236687,0.0,0.0,0.0,0.0,113597.10794697667,-28.42278069749591,-0.0002502069041296607
NIFTY_FINANCIAL_SERVICES_EX_BANK,PAYTM,732109.3077372445,2.0,21.0,21.0,-35735.58001836293,1.0,1.0,1590.7961749561684,0.0,0.0,0.0,0.0,732109.3077372445,-35735.58001836293,-0.048811809439784505
NIFTY_FMCG,COLPAL,426918.9196269388,1.0,28.0,28.0,-26749.92374519375,0.0,1.0,921.5179731858218,0.0,0.0,0.0,0.0,426918.9196269388,-26749.92374519375,-0.06265808919541221
NIFTY_FMCG,EMAMILTD,132473.17027360908,1.0,162.0,162.0,15293.574329994357,1.0,0.0,310.42169281815234,0.0,0.0,0.0,0.0,132473.17027360908,15293.574329994357,0.11544657909527736
NIFTY_FMCG,GODREJCP,138153.03160730217,1.0,69.0,69.0,-8216.165747091305,0.0,1.0,298.6643431309274,0.0,0.0,0.0,0.0,138153.03160730217,-8216.165747091305,-0.059471483553438245
NIFTY_FMCG,GODREJIND,132473.17027360908,1.0,134.0,134.0,5679.861333693087,1.0,0.0,300.4493798849055,0.0,0.0,0.0,0.0,132473.17027360908,5679.861333693087,0.04287555979797225
NIFTY_FMCG,ITC,426918.9196269388,1.0,28.0,28.0,-15341.07893840212,0.0,1.0,933.3523779224669,0.0,0.0,0.0,0.0,426918.9196269388,-15341.07893840212,-0.03593440869710776
NIFTY_FMCG,JUBLFOOD,147766.74460360344,1.0,40.0,40.0,-14828.856476853427,0.0,1.0,313.1813424760759,0.0,0.0,0.0,0.0,147766.74460360344,-14828.856476853427,-0.10035313775527142
NIFTY_FMCG,MARICO,426918.9196269388,1.0,28.0,28.0,-39970.262376375846,0.0,1.0,907.8045043143917,0.0,0.0,0.0,0.0,426918.9196269388,-39970.262376375846,-0.0936249497007621
NIFTY_FMCG,TATACONSUM,132473.17027360908,1.0,203.0,203.0,29983.892592688062,1.0,0.0,325.65997285219703,0.0,0.0,0.0,0.0,132473.17027360908,29983.892592688062,0.22633936011918154
NIFTY_HEALTHCARE,ABBOTINDIA,466897.7001705289,1.0,34.0,34.0,-17820.46934300044,0.0,1.0,1019.674397172449,0.0,0.0,0.0,0.0,466897.7001705289,-17820.46934300044,-0.0381678242075121
NIFTY_HEALTHCARE,APOLLOHOSP,224379.84484582487,2.0,75.5,88.0,-26617.220363449844,0.0,2.0,471.30454987087296,0.0,0.0,0.0,0.0,224379.84484582487,-26617.220363449844,-0.11862571873039211
NIFTY_HEALTHCARE,CIPLA,466897.7001705289,1.0,34.0,34.0,-26436.815486235195,0.0,1.0,1010.7366537517155,0.0,0.0,0.0,0.0,466897.7001705289,-26436.815486235195,-0.05662228680196852
NIFTY_HEALTHCARE,DIVISLAB,108882.79304539062,1.0,178.0,178.0,6204.937758703629,1.0,0.0,248.5402042892598,0.0,0.0,0.0,0.0,108882.79304539062,6204.937758703629,0.05698731255100096
NIFTY_HEALTHCARE,FORTIS,115087.73080409424,1.0,118.0,118.0,-9374.656272088556,0.0,1.0,246.17632360372,0.0,0.0,0.0,0.0,115087.73080409424,-9374.656272088556,-0.0814566088547386
NIFTY_HEALTHCARE,LALPATHLAB,119451.58947209576,1.0,63.0,63.0,-12290.9971639344,0.0,1.0,252.8543576763579,0.0,0.0,0.0,0.0,119451.58947209576,-12290.9971639344,-0.10289521653293374
