universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Cash,1126,-1.0,-1.0
NIFTY_AUTO,Stocks,418,0.21336215792048585,0.1236612094098899
NIFTY_BANK,Cash,1309,-1.0,-1.0
NIFTY_BANK,Stocks,235,0.05193965370653597,0.05579998681889564
NIFTY_CHEMICALS,Cash,1544,0.0,0.0
NIFTY_CONSUMER_DURABLES,Cash,1462,-1.0,-1.0
NIFTY_CONSUMER_DURABLES,Stocks,82,-0.054516230657459475,-0.15825445827743412
NIFTY_FINANCIAL_SERVICES,Cash,1335,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES,Stocks,209,0.750599398798159,0.9643569949145909
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,1526,-1.0,-1.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Stocks,18,-0.1601804747911717,-0.9131832459025526
NIFTY_FMCG,Cash,1394,-1.0,-1.0
NIFTY_FMCG,Stocks,150,-0.0014191828925027572,-0.0023830766426264915
NIFTY_HEALTHCARE,Cash,1205,-1.0,-1.0
NIFTY_HEALTHCARE,Stocks,339,0.10427757258971937,0.07652165734874927
NIFTY_IT,Cash,1522,-1.0,-1.0
NIFTY_IT,Stocks,22,-0.048993368731576226,-0.43752603237750964
NIFTY_MEDIA,Cash,1482,-1.0,-1.0
NIFTY_MEDIA,Stocks,62,-0.11223544639820304,-0.383610010606786
NIFTY_METAL,Cash,1023,-1.0,-1.0
NIFTY_METAL,Stocks,521,1.2740507435764639,0.48791787091745253
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,1514,-1.0,-1.0
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Stocks,30,-0.0505409669980178,-0.3531548331091696
NIFTY_MIDSMALL_HEALTHCARE,Cash,1324,-1.0,-1.0
NIFTY_MIDSMALL_HEALTHCARE,Stocks,220,0.509315513178366,0.6024496947678288
NIFTY_MIDSMALL_IT_TELECOM,Cash,1544,0.0,0.0
NIFTY_OIL_GAS,Cash,1482,-1.0,-1.0
NIFTY_OIL_GAS,Stocks,62,0.00434976140854948,0.01779786281036433
NIFTY_PHARMA,Cash,802,-1.0,-1.0
NIFTY_PHARMA,Stocks,742,0.6526725072829558,0.18604503062083944
NIFTY_PRIVATE_BANK,Cash,1536,-1.0,-1.0
NIFTY_PRIVATE_BANK,Stocks,8,-0.04547981718909966,-0.769202475647025
NIFTY_PSU_BANK,Cash,1364,-1.0,-1.0
NIFTY_PSU_BANK,Stocks,180,-0.002773277205370017,-0.0038804333931331536
NIFTY_REALTY,Cash,1331,-1.0,-1.0
NIFTY_REALTY,Stocks,213,0.21276144503758276,0.25636125948056376
COMBINED,Combined,1544,0.8691592420857182,0.10748041441493794
