date,execution_date,universe,symbol,rank,reason,lookback_start_date,as_of_date,max_lower_circuit_streak,filter_threshold,year,filter_trigger_date,consecutive_lower_circuit_days
2020-10-21,2020-10-22,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2019-10-18,2020-10-21,9,5,2020,2020-10-21,9
2020-11-23,2020-11-24,NIFTY_REALTY,IBREALEST,8,LOWER_CIRCUIT_FILTER,2019-11-22,2020-11-23,9,5,2020,2020-11-23,9
2020-12-21,2020-12-22,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2019-12-19,2020-12-21,9,5,2020,2020-12-21,9
2021-01-21,2021-01-22,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2020-01-21,2021-01-21,9,5,2021,2021-01-21,9
2021-02-22,2021-02-23,NIFTY_REALTY,IBREALEST,7,LOWER_CIRCUIT_FILTER,2020-02-19,2021-02-22,9,5,2021,2021-02-22,9
2021-03-22,2021-03-23,NIFTY_REALTY,IBREALEST,4,LOWER_CIRCUIT_FILTER,2020-03-19,2021-03-22,9,5,2021,2021-03-22,9
2021-12-21,2021-12-22,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2020-12-15,2021-12-21,7,5,2021,2021-12-21,7
2022-01-21,2022-01-24,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2021-01-18,2022-01-21,7,5,2022,2022-01-21,7
2022-02-21,2022-02-22,NIFTY_OIL_GAS,ATGL,3,LOWER_CIRCUIT_FILTER,2021-02-16,2022-02-21,7,5,2022,2022-02-21,7
2022-04-21,2022-04-22,NIFTY_OIL_GAS,ATGL,1,LOWER_CIRCUIT_FILTER,2021-04-16,2022-04-21,7,5,2022,2022-04-21,7
2024-02-21,2024-02-22,NIFTY_OIL_GAS,ATGL,8,LOWER_CIRCUIT_FILTER,2023-02-13,2024-02-21,7,5,2024,2024-02-21,7
