universe,symbol,closed_invested_amount,closed_trades,average_closed_holding_days,max_closed_holding_days,realized_pnl,winning_trades,losing_trades,total_transaction_cost,open_invested_amount,open_market_value,unrealized_pnl,current_holding_days,total_invested_amount,total_pnl,total_return_pct
NIFTY_AUTO,APOLLOTYRE,674790.6080045591,2.0,15.5,26.0,-12011.35778365418,1.0,1.0,1487.9556620377666,0.0,0.0,0.0,0.0,674790.6080045591,-12011.35778365418,-0.01780012590746229
NIFTY_AUTO,ASHOKLEY,138740.04361138932,1.0,98.0,98.0,33202.9686592496,1.0,0.0,342.9336845912917,0.0,0.0,0.0,0.0,138740.04361138932,33202.9686592496,0.239317847933298
NIFTY_AUTO,BAJAJ-AUTO,559283.6087185434,2.0,100.5,153.0,-9071.335997435803,1.0,1.0,1234.172431692636,0.0,0.0,0.0,0.0,559283.6087185434,-9071.335997435803,-0.016219563484473412
NIFTY_AUTO,BHARATFORG,248586.00427716697,2.0,50.5,67.0,5883.970632909652,1.0,1.0,558.8411099441096,0.0,0.0,0.0,0.0,248586.00427716697,5883.970632909652,0.02366975827950948
NIFTY_AUTO,EICHERMOT,515281.60490940546,2.0,108.0,126.0,-45852.50687857579,1.0,1.0,1098.1796526769954,0.0,0.0,0.0,0.0,515281.60490940546,-45852.50687857579,-0.08898533625441059
NIFTY_AUTO,EXIDEIND,111111.11111111111,1.0,47.0,47.0,873.416203335044,1.0,0.0,247.96453741022884,0.0,0.0,0.0,0.0,111111.11111111111,873.416203335044,0.007860745830015396
NIFTY_AUTO,HEROMOTOCO,204114.58357170038,2.0,142.5,159.0,8155.417895033912,1.0,1.0,462.31388493609364,0.0,0.0,0.0,0.0,204114.58357170038,8155.417895033912,0.03995509655570062
NIFTY_AUTO,M&M,863774.0322418106,3.0,130.66666666666666,218.0,26463.456062525016,2.0,1.0,1948.075343541088,0.0,0.0,0.0,0.0,863774.0322418106,26463.456062525016,0.030637012777337883
NIFTY_AUTO,MRF,111111.11111111111,1.0,87.0,87.0,5244.432455311544,1.0,0.0,252.4985964067672,0.0,0.0,0.0,0.0,111111.11111111111,5244.432455311544,0.0471998920978039
NIFTY_AUTO,TVSMOTOR,839548.5449326421,3.0,103.33333333333333,158.0,64244.786768219856,2.0,1.0,1933.399928891424,0.0,0.0,0.0,0.0,839548.5449326421,64244.786768219856,0.07652301603759469
NIFTY_BANK,AXISBANK,410455.00538273883,1.0,130.0,130.0,11010.016555584967,1.0,0.0,924.0784365769575,0.0,0.0,0.0,0.0,410455.00538273883,11010.016555584967,0.026823930543418292
NIFTY_BANK,BANKBARODA,404984.7609124531,1.0,160.0,160.0,50176.57519131736,1.0,0.0,952.5427066338392,0.0,0.0,0.0,0.0,404984.7609124531,50176.57519131736,0.12389744018581528
NIFTY_BANK,FEDERALBNK,90253.47784042386,1.0,13.0,13.0,-7232.786028954448,0.0,1.0,193.1784585245415,0.0,0.0,0.0,0.0,90253.47784042386,-7232.786028954448,-0.08013858526031156
NIFTY_BANK,HDFCBANK,90458.3989632976,1.0,140.0,140.0,12156.807735687093,1.0,0.0,213.74694878798553,0.0,0.0,0.0,0.0,90458.3989632976,12156.807735687093,0.13439114416141248
NIFTY_BANK,ICICIBANK,90458.3989632976,1.0,140.0,140.0,5167.459681118125,1.0,0.0,206.49689191335682,0.0,0.0,0.0,0.0,90458.3989632976,5167.459681118125,0.05712526133935622
NIFTY_BANK,IDFCFIRSTB,543637.6163113504,2.0,97.5,160.0,93172.00395854437,1.0,1.0,1305.440253360351,0.0,0.0,0.0,0.0,543637.6163113504,93172.00395854437,0.17138623443816883
NIFTY_BANK,INDUSINDBK,138652.85539889723,1.0,35.0,35.0,-9962.611144706345,0.0,1.0,297.96412542130355,0.0,0.0,0.0,0.0,138652.85539889723,-9962.611144706345,-0.07185291003235685
NIFTY_BANK,KOTAKBANK,90458.3989632976,1.0,127.0,127.0,-5574.4941162108735,0.0,1.0,195.3542538064508,0.0,0.0,0.0,0.0,90458.3989632976,-5574.4941162108735,-0.061624947822397975
NIFTY_BANK,PNB,404984.7609124531,1.0,24.0,24.0,5470.244470285717,1.0,0.0,906.168790518507,0.0,0.0,0.0,0.0,404984.7609124531,5470.244470285717,0.013507284713530833
NIFTY_BANK,RBLBANK,90253.47784042386,1.0,13.0,13.0,-6235.968935866433,0.0,1.0,194.21245777054645,0.0,0.0,0.0,0.0,90253.47784042386,-6235.968935866433,-0.06909394612905863
NIFTY_BANK,SBIN,228906.33323932107,2.0,24.0,35.0,-21277.762172224873,0.0,2.0,486.90794314794755,0.0,0.0,0.0,0.0,228906.33323932107,-21277.762172224873,-0.09295401254791417
NIFTY_CONSUMER_DURABLES,DIXON,299333.7123181691,1.0,27.0,27.0,-9264.016804638493,0.0,1.0,655.9669821062481,0.0,0.0,0.0,0.0,299333.7123181691,-9264.016804638493,-0.030948792011744882
NIFTY_CONSUMER_DURABLES,HAVELLS,120351.86174109664,1.0,65.0,65.0,-569.3437207300303,0.0,1.0,267.01501867401095,0.0,0.0,0.0,0.0,120351.86174109664,-569.3437207300303,-0.004730659854309641
NIFTY_CONSUMER_DURABLES,KALYANKJIL,299333.7123181691,1.0,27.0,27.0,-80308.51953626893,0.0,1.0,582.2724570357259,0.0,0.0,0.0,0.0,299333.7123181691,-80308.51953626893,-0.26829092825637707
NIFTY_CONSUMER_DURABLES,RAJESHEXPO,119782.51802036661,1.0,6.0,6.0,-1013.2534466880024,0.0,1.0,265.2885996595167,0.0,0.0,0.0,0.0,119782.51802036661,-1013.2534466880024,-0.008459109588226548
NIFTY_CONSUMER_DURABLES,RELAXO,120351.86174109664,1.0,97.0,97.0,4438.2693098770105,1.0,0.0,272.20942006804376,0.0,0.0,0.0,0.0,120351.86174109664,4438.2693098770105,0.036877446228664956
NIFTY_CONSUMER_DURABLES,TITAN,120351.86174109664,1.0,97.0,97.0,27869.310203657413,1.0,0.0,296.51445936289053,0.0,0.0,0.0,0.0,120351.86174109664,27869.310203657413,0.23156526039963085
NIFTY_CONSUMER_DURABLES,VOLTAS,299333.7123181691,1.0,27.0,27.0,-27659.270711937803,0.0,1.0,636.8855690746028,0.0,0.0,0.0,0.0,299333.7123181691,-27659.270711937803,-0.09240279184637275
NIFTY_FINANCIAL_SERVICES,BAJAJFINSV,170617.12722617618,2.0,110.0,161.0,6916.905562435146,2.0,0.0,386.546680472316,0.0,0.0,0.0,0.0,170617.12722617618,6916.905562435146,0.04054051123053929
NIFTY_FINANCIAL_SERVICES,BAJAJHLDNG,90458.3989632976,1.0,161.0,161.0,1031.916130553931,1.0,0.0,202.20708895677137,0.0,0.0,0.0,0.0,90458.3989632976,1031.916130553931,0.011407632042798132
NIFTY_FINANCIAL_SERVICES,BAJFINANCE,160794.91251257178,2.0,156.0,161.0,47690.01487481901,1.0,1.0,407.00070414798074,0.0,0.0,0.0,0.0,160794.91251257178,47690.01487481901,0.29658907815936253
NIFTY_FINANCIAL_SERVICES,CHOLAFIN,70336.51354927418,1.0,151.0,151.0,95172.1995759575,1.0,0.0,255.11733458608435,0.0,0.0,0.0,0.0,70336.51354927418,95172.1995759575,1.3530980535349495
