universe,asset_class,active_days,total_return,annualized_return
NIFTY_AUTO,Stocks,18,-0.0280334584466716,-0.3283880518629566
NIFTY_BANK,Cash,18,0.0,0.0
NIFTY_CHEMICALS,Cash,18,0.0,0.0
NIFTY_CONSUMER_DURABLES,Cash,18,0.0,0.0
NIFTY_FINANCIAL_SERVICES,Cash,18,0.0,0.0
NIFTY_FINANCIAL_SERVICES_EX_BANK,Cash,18,0.0,0.0
NIFTY_FMCG,Cash,18,0.0,0.0
NIFTY_HEALTHCARE,Cash,18,0.0,0.0
NIFTY_IT,Cash,18,0.0,0.0
NIFTY_MEDIA,Cash,18,0.0,0.0
NIFTY_METAL,Cash,4,-0.08626674556872671,-0.9965988628257394
NIFTY_METAL,Stocks,14,-0.044220843583003044,-0.5569670842973584
NIFTY_MIDSMALL_FINANCIAL_SERVICES,Cash,18,0.0,0.0
NIFTY_MIDSMALL_HEALTHCARE,Cash,18,0.0,0.0
NIFTY_MIDSMALL_IT_TELECOM,Cash,18,0.0,0.0
NIFTY_OIL_GAS,Cash,18,0.0,0.0
NIFTY_PHARMA,Stocks,18,-0.022016804184785244,-0.26778352512101855
NIFTY_PRIVATE_BANK,Cash,18,0.0,0.0
NIFTY_PSU_BANK,Cash,18,0.0,0.0
NIFTY_REALTY,Cash,18,0.0,0.0
COMBINED,Combined,18,-0.05890768784032574,-0.5725836225433834
